n.screened,n.neg,p,or,r,alpha,n.sim,prop.drivers,n.pos
3200,200,0.5,1.25,0.25,0.005,1000,0.2987,1508
3200,375,0.5,1.25,0.25,0.005,1000,0.5157,1506
3200,550,0.5,1.25,0.25,0.005,1000,0.6358,1508
3200,725,0.5,1.25,0.25,0.005,1000,0.698,1507
3200,900,0.5,1.25,0.25,0.005,1000,0.731,1506
3200,1075,0.5,1.25,0.25,0.005,1000,0.7519,1508
3200,1250,0.5,1.25,0.25,0.005,1000,0.7765,1506
3200,1425,0.5,1.25,0.25,0.005,1000,0.7869,1508
3200,1600,0.5,1.25,0.25,0.005,1000,0.7925,1508
3200,200,0.5,1.5,0.25,0.005,1000,0.7151,1463
3200,375,0.5,1.5,0.25,0.005,1000,0.817,1463
3200,550,0.5,1.5,0.25,0.005,1000,0.8561,1465
3200,725,0.5,1.5,0.25,0.005,1000,0.8858,1462
3200,900,0.5,1.5,0.25,0.005,1000,0.9075,1463
3200,1075,0.5,1.5,0.25,0.005,1000,0.9209,1462
3200,1250,0.5,1.5,0.25,0.005,1000,0.9331,1462
3200,1425,0.5,1.5,0.25,0.005,1000,0.9396,1464
3200,1600,0.5,1.5,0.25,0.005,1000,0.9504,1462
3200,200,0.5,1.75,0.25,0.005,1000,0.8225,1442
3200,375,0.5,1.75,0.25,0.005,1000,0.8971,1441
3200,550,0.5,1.75,0.25,0.005,1000,0.9329,1442
3200,725,0.5,1.75,0.25,0.005,1000,0.9545,1440
3200,900,0.5,1.75,0.25,0.005,1000,0.9666,1442
3200,1075,0.5,1.75,0.25,0.005,1000,0.9767,1441
3200,1250,0.5,1.75,0.25,0.005,1000,0.9824,1442
3200,1425,0.5,1.75,0.25,0.005,1000,0.9873,1439
3200,1600,0.5,1.75,0.25,0.005,1000,0.9866,1440
3200,200,0.5,2,0.25,0.005,1000,0.8704,1430
3200,375,0.5,2,0.25,0.005,1000,0.9424,1428
3200,550,0.5,2,0.25,0.005,1000,0.9695,1428
3200,725,0.5,2,0.25,0.005,1000,0.9833,1428
3200,900,0.5,2,0.25,0.005,1000,0.9872,1427
3200,1075,0.5,2,0.25,0.005,1000,0.9932,1430
3200,1250,0.5,2,0.25,0.005,1000,0.9952,1429
3200,1425,0.5,2,0.25,0.005,1000,0.9969,1430
3200,1600,0.5,2,0.25,0.005,1000,0.998,1431
