n,n.communities,p,community.var,or,r,alpha.i,alpha.c,n.sim,n.per.community,prop.drivers.i,prop.drivers.c,or.margin.of.error.i,or.margin.of.error.c
700,25,0.5,2.73,1,0.25,0.01,0.0125,1000,28,0.0114,0.0355,0.29243,1.08742
1100,25,0.5,2.73,1,0.25,0.01,0.0125,1000,44,0.0092,0.03225,0.22393,1.02691
1400,25,0.5,2.73,1,0.25,0.01,0.0125,1000,56,0.009,0.03775,0.19559,1.0298
1800,25,0.5,2.73,1,0.25,0.01,0.0125,1000,72,0.0078,0.03325,0.17011,1.01544
2100,25,0.5,2.73,1,0.25,0.01,0.0125,1000,84,0.008,0.033,0.15597,1.0083
700,50,0.5,2.73,1,0.25,0.01,0.0125,1000,14,0.0114,0.02125,0.29674,0.70271
1100,50,0.5,2.73,1,0.25,0.01,0.0125,1000,22,0.0098,0.01775,0.22666,0.68268
1400,50,0.5,2.73,1,0.25,0.01,0.0125,1000,28,0.009,0.023,0.19719,0.66794
1800,50,0.5,2.73,1,0.25,0.01,0.0125,1000,36,0.01,0.0245,0.17123,0.65925
2100,50,0.5,2.73,1,0.25,0.01,0.0125,1000,42,0.0082,0.01825,0.15698,0.65842
700,100,0.5,2.73,1,0.25,0.01,0.0125,1000,7,0.009,0.02025,0.30582,0.48904
1100,100,0.5,2.73,1,0.25,0.01,0.0125,1000,11,0.011,0.0165,0.23121,0.46358
1400,100,0.5,2.73,1,0.25,0.01,0.0125,1000,14,0.0084,0.016,0.20067,0.45579
1800,100,0.5,2.73,1,0.25,0.01,0.0125,1000,18,0.012,0.014,0.17333,0.44688
2100,100,0.5,2.73,1,0.25,0.01,0.0125,1000,21,0.0102,0.0135,0.15897,0.44613
700,25,0.5,2.73,1.25,0.25,0.01,0.0125,1000,28,0.2724,0.065,0.30452,1.07777
1100,25,0.5,2.73,1.25,0.25,0.01,0.0125,1000,44,0.4452,0.059,0.23302,1.05017
1400,25,0.5,2.73,1.25,0.25,0.01,0.0125,1000,56,0.5684,0.0665,0.20385,1.03489
1800,25,0.5,2.73,1.25,0.25,0.01,0.0125,1000,72,0.6674,0.06825,0.17633,1.02794
2100,25,0.5,2.73,1.25,0.25,0.01,0.0125,1000,84,0.7402,0.06125,0.16248,1.02118
700,50,0.5,2.73,1.25,0.25,0.01,0.0125,1000,14,0.261,0.05675,0.31046,0.71203
1100,50,0.5,2.73,1.25,0.25,0.01,0.0125,1000,22,0.4472,0.0685,0.23641,0.68565
1400,50,0.5,2.73,1.25,0.25,0.01,0.0125,1000,28,0.5442,0.06625,0.20491,0.66797
1800,50,0.5,2.73,1.25,0.25,0.01,0.0125,1000,36,0.665,0.0725,0.17833,0.6692
2100,50,0.5,2.73,1.25,0.25,0.01,0.0125,1000,42,0.7338,0.06425,0.16319,0.65788
700,100,0.5,2.73,1.25,0.25,0.01,0.0125,1000,7,0.2568,0.08425,0.31918,0.49486
1100,100,0.5,2.73,1.25,0.25,0.01,0.0125,1000,11,0.427,0.10175,0.24126,0.47141
1400,100,0.5,2.73,1.25,0.25,0.01,0.0125,1000,14,0.5428,0.10475,0.20914,0.45964
1800,100,0.5,2.73,1.25,0.25,0.01,0.0125,1000,18,0.6542,0.104,0.18069,0.45145
2100,100,0.5,2.73,1.25,0.25,0.01,0.0125,1000,21,0.7222,0.10725,0.16543,0.44751
700,25,0.5,2.73,1.5,0.25,0.01,0.0125,1000,28,0.7096,0.125,0.33064,1.09335
1100,25,0.5,2.73,1.5,0.25,0.01,0.0125,1000,44,0.8372,0.1255,0.25218,1.05017
1400,25,0.5,2.73,1.5,0.25,0.01,0.0125,1000,56,0.8682,0.12975,0.22076,1.04433
1800,25,0.5,2.73,1.5,0.25,0.01,0.0125,1000,72,0.8878,0.12975,0.19102,1.03096
2100,25,0.5,2.73,1.5,0.25,0.01,0.0125,1000,84,0.9048,0.1305,0.17524,1.03123
700,50,0.5,2.73,1.5,0.25,0.01,0.0125,1000,14,0.6976,0.1695,0.33734,0.72869
1100,50,0.5,2.73,1.5,0.25,0.01,0.0125,1000,22,0.8246,0.18175,0.25512,0.6896
1400,50,0.5,2.73,1.5,0.25,0.01,0.0125,1000,28,0.8648,0.199,0.22249,0.67963
1800,50,0.5,2.73,1.5,0.25,0.01,0.0125,1000,36,0.884,0.193,0.19235,0.67213
2100,50,0.5,2.73,1.5,0.25,0.01,0.0125,1000,42,0.9046,0.2055,0.17634,0.66258
700,100,0.5,2.73,1.5,0.25,0.01,0.0125,1000,7,0.6832,0.292,0.34707,0.51157
1100,100,0.5,2.73,1.5,0.25,0.01,0.0125,1000,11,0.8276,0.331,0.26192,0.48128
1400,100,0.5,2.73,1.5,0.25,0.01,0.0125,1000,14,0.8622,0.34825,0.22662,0.47192
1800,100,0.5,2.73,1.5,0.25,0.01,0.0125,1000,18,0.886,0.381,0.19549,0.45709
2100,100,0.5,2.73,1.5,0.25,0.01,0.0125,1000,21,0.8988,0.3665,0.17872,0.45191
700,25,0.5,2.73,1.75,0.25,0.01,0.0125,1000,28,0.835,0.201,0.36105,1.10773
1100,25,0.5,2.73,1.75,0.25,0.01,0.0125,1000,44,0.893,0.2085,0.27469,1.06371
1400,25,0.5,2.73,1.75,0.25,0.01,0.0125,1000,56,0.9136,0.2305,0.23851,1.04278
1800,25,0.5,2.73,1.75,0.25,0.01,0.0125,1000,72,0.9476,0.22225,0.20749,1.04786
2100,25,0.5,2.73,1.75,0.25,0.01,0.0125,1000,84,0.9598,0.224,0.19021,1.03928
700,50,0.5,2.73,1.75,0.25,0.01,0.0125,1000,14,0.8354,0.3325,0.36856,0.74547
1100,50,0.5,2.73,1.75,0.25,0.01,0.0125,1000,22,0.8924,0.35025,0.27896,0.71237
1400,50,0.5,2.73,1.75,0.25,0.01,0.0125,1000,28,0.9174,0.35425,0.24195,0.69559
1800,50,0.5,2.73,1.75,0.25,0.01,0.0125,1000,36,0.9468,0.373,0.20913,0.68361
2100,50,0.5,2.73,1.75,0.25,0.01,0.0125,1000,42,0.9596,0.38025,0.19109,0.66961
700,100,0.5,2.73,1.75,0.25,0.01,0.0125,1000,7,0.8314,0.536,0.38219,0.54272
1100,100,0.5,2.73,1.75,0.25,0.01,0.0125,1000,11,0.8806,0.60675,0.28568,0.49484
1400,100,0.5,2.73,1.75,0.25,0.01,0.0125,1000,14,0.9128,0.62125,0.24675,0.47985
1800,100,0.5,2.73,1.75,0.25,0.01,0.0125,1000,18,0.9436,0.64825,0.21236,0.46632
2100,100,0.5,2.73,1.75,0.25,0.01,0.0125,1000,21,0.9616,0.66175,0.19419,0.45824
700,25,0.5,2.73,2,0.25,0.01,0.0125,1000,28,0.8782,0.29925,0.39331,1.12846
1100,25,0.5,2.73,2,0.25,0.01,0.0125,1000,44,0.9242,0.3055,0.29773,1.08886
1400,25,0.5,2.73,2,0.25,0.01,0.0125,1000,56,0.9536,0.3085,0.25853,1.07246
1800,25,0.5,2.73,2,0.25,0.01,0.0125,1000,72,0.9772,0.32075,0.22324,1.04302
2100,25,0.5,2.73,2,0.25,0.01,0.0125,1000,84,0.9878,0.3255,0.20523,1.04148
700,50,0.5,2.73,2,0.25,0.01,0.0125,1000,14,0.8734,0.48675,0.40226,0.76833
