n,p,or,r,alpha,n.sim,prop.drivers
1000,0.05,1,0.25,0.005,2000,0.0044
1500,0.05,1,0.25,0.005,2000,0.00485
2000,0.05,1,0.25,0.005,2000,0.0051
2500,0.05,1,0.25,0.005,2000,0.00435
3000,0.05,1,0.25,0.005,2000,0.0049
1000,0.1,1,0.25,0.005,2000,0.00445
1500,0.1,1,0.25,0.005,2000,0.00525
2000,0.1,1,0.25,0.005,2000,0.00485
2500,0.1,1,0.25,0.005,2000,0.0045
3000,0.1,1,0.25,0.005,2000,0.0044
1000,0.15,1,0.25,0.005,2000,0.00425
1500,0.15,1,0.25,0.005,2000,0.0048
2000,0.15,1,0.25,0.005,2000,0.0056
2500,0.15,1,0.25,0.005,2000,0.0048
3000,0.15,1,0.25,0.005,2000,0.005
1000,0.2,1,0.25,0.005,2000,0.00555
1500,0.2,1,0.25,0.005,2000,0.0044
2000,0.2,1,0.25,0.005,2000,0.00505
2500,0.2,1,0.25,0.005,2000,0.0057
3000,0.2,1,0.25,0.005,2000,0.00475
1000,0.25,1,0.25,0.005,2000,0.00505
1500,0.25,1,0.25,0.005,2000,0.00545
2000,0.25,1,0.25,0.005,2000,0.00365
2500,0.25,1,0.25,0.005,2000,0.00455
3000,0.25,1,0.25,0.005,2000,0.0062
1000,0.3,1,0.25,0.005,2000,0.00485
1500,0.3,1,0.25,0.005,2000,0.0054
2000,0.3,1,0.25,0.005,2000,0.00525
2500,0.3,1,0.25,0.005,2000,0.0052
3000,0.3,1,0.25,0.005,2000,0.0052
1000,0.05,1.25,0.25,0.005,2000,0.06585
1500,0.05,1.25,0.25,0.005,2000,0.12035
2000,0.05,1.25,0.25,0.005,2000,0.1722
2500,0.05,1.25,0.25,0.005,2000,0.23045
3000,0.05,1.25,0.25,0.005,2000,0.2851
1000,0.1,1.25,0.25,0.005,2000,0.14045
1500,0.1,1.25,0.25,0.005,2000,0.24505
2000,0.1,1.25,0.25,0.005,2000,0.35055
2500,0.1,1.25,0.25,0.005,2000,0.4449
3000,0.1,1.25,0.25,0.005,2000,0.5267
1000,0.15,1.25,0.25,0.005,2000,0.20915
1500,0.15,1.25,0.25,0.005,2000,0.3473
2000,0.15,1.25,0.25,0.005,2000,0.4761
2500,0.15,1.25,0.25,0.005,2000,0.5663
3000,0.15,1.25,0.25,0.005,2000,0.646
1000,0.2,1.25,0.25,0.005,2000,0.26545
1500,0.2,1.25,0.25,0.005,2000,0.422
2000,0.2,1.25,0.25,0.005,2000,0.55315
2500,0.2,1.25,0.25,0.005,2000,0.64385
3000,0.2,1.25,0.25,0.005,2000,0.7024
1000,0.25,1.25,0.25,0.005,2000,0.3117
1500,0.25,1.25,0.25,0.005,2000,0.4808
2000,0.25,1.25,0.25,0.005,2000,0.6064
2500,0.25,1.25,0.25,0.005,2000,0.68985
3000,0.25,1.25,0.25,0.005,2000,0.7391
1000,0.3,1.25,0.25,0.005,2000,0.3435
1500,0.3,1.25,0.25,0.005,2000,0.52115
2000,0.3,1.25,0.25,0.005,2000,0.64255
2500,0.3,1.25,0.25,0.005,2000,0.71725
3000,0.3,1.25,0.25,0.005,2000,0.7529
1000,0.05,1.5,0.25,0.005,2000,0.4004
1500,0.05,1.5,0.25,0.005,2000,0.57585
2000,0.05,1.5,0.25,0.005,2000,0.6806
2500,0.05,1.5,0.25,0.005,2000,0.739
3000,0.05,1.5,0.25,0.005,2000,0.7719
1000,0.1,1.5,0.25,0.005,2000,0.57705
1500,0.1,1.5,0.25,0.005,2000,0.7161
2000,0.1,1.5,0.25,0.005,2000,0.7724
2500,0.1,1.5,0.25,0.005,2000,0.80595
3000,0.1,1.5,0.25,0.005,2000,0.83345
1000,0.15,1.5,0.25,0.005,2000,0.6494
1500,0.15,1.5,0.25,0.005,2000,0.7614
2000,0.15,1.5,0.25,0.005,2000,0.80405
2500,0.15,1.5,0.25,0.005,2000,0.83805
3000,0.15,1.5,0.25,0.005,2000,0.8649
1000,0.2,1.5,0.25,0.005,2000,0.6954
1500,0.2,1.5,0.25,0.005,2000,0.78575
2000,0.2,1.5,0.25,0.005,2000,0.8257
2500,0.2,1.5,0.25,0.005,2000,0.85865
3000,0.2,1.5,0.25,0.005,2000,0.8914
1000,0.25,1.5,0.25,0.005,2000,0.7206
1500,0.25,1.5,0.25,0.005,2000,0.797
2000,0.25,1.5,0.25,0.005,2000,0.8392
2500,0.25,1.5,0.25,0.005,2000,0.87445
3000,0.25,1.5,0.25,0.005,2000,0.9037
1000,0.3,1.5,0.25,0.005,2000,0.73555
1500,0.3,1.5,0.25,0.005,2000,0.80815
2000,0.3,1.5,0.25,0.005,2000,0.853
2500,0.3,1.5,0.25,0.005,2000,0.89035
3000,0.3,1.5,0.25,0.005,2000,0.9159
1000,0.05,1.75,0.25,0.005,2000,0.6869
1500,0.05,1.75,0.25,0.005,2000,0.77475
2000,0.05,1.75,0.25,0.005,2000,0.81465
2500,0.05,1.75,0.25,0.005,2000,0.8416
3000,0.05,1.75,0.25,0.005,2000,0.8701
1000,0.1,1.75,0.25,0.005,2000,0.758
1500,0.1,1.75,0.25,0.005,2000,0.82065
2000,0.1,1.75,0.25,0.005,2000,0.86115
2500,0.1,1.75,0.25,0.005,2000,0.89515
3000,0.1,1.75,0.25,0.005,2000,0.92205
1000,0.15,1.75,0.25,0.005,2000,0.7833
1500,0.15,1.75,0.25,0.005,2000,0.84245
2000,0.15,1.75,0.25,0.005,2000,0.88885
2500,0.15,1.75,0.25,0.005,2000,0.92145
3000,0.15,1.75,0.25,0.005,2000,0.94355
