n,p,or,r,alpha,n.sim,prop.drivers
1000,0.05,1,0.25,0.005,50,0.002
1500,0.05,1,0.25,0.005,50,0.002
2000,0.05,1,0.25,0.005,50,0.008
2500,0.05,1,0.25,0.005,50,0.002
3000,0.05,1,0.25,0.005,50,0.002
1000,0.1,1,0.25,0.005,50,0.002
1500,0.1,1,0.25,0.005,50,0.004
2000,0.1,1,0.25,0.005,50,0.008
2500,0.1,1,0.25,0.005,50,0.006
3000,0.1,1,0.25,0.005,50,0.004
1000,0.15,1,0.25,0.005,50,0.002
1500,0.15,1,0.25,0.005,50,0.004
2000,0.15,1,0.25,0.005,50,0.004
2500,0.15,1,0.25,0.005,50,0.002
3000,0.15,1,0.25,0.005,50,0.014
1000,0.2,1,0.25,0.005,50,0.002
1500,0.2,1,0.25,0.005,50,0.004
2000,0.2,1,0.25,0.005,50,0.006
2500,0.2,1,0.25,0.005,50,0.004
3000,0.2,1,0.25,0.005,50,0.002
1000,0.25,1,0.25,0.005,50,0.004
1500,0.25,1,0.25,0.005,50,0.002
2000,0.25,1,0.25,0.005,50,0.002
2500,0.25,1,0.25,0.005,50,0.01
3000,0.25,1,0.25,0.005,50,0.008
1000,0.3,1,0.25,0.005,50,0.008
1500,0.3,1,0.25,0.005,50,0.014
2000,0.3,1,0.25,0.005,50,0.002
2500,0.3,1,0.25,0.005,50,0.012
3000,0.3,1,0.25,0.005,50,0.002
1000,0.05,1.25,0.25,0.005,50,0.06
1500,0.05,1.25,0.25,0.005,50,0.12
2000,0.05,1.25,0.25,0.005,50,0.164
2500,0.05,1.25,0.25,0.005,50,0.234
3000,0.05,1.25,0.25,0.005,50,0.266
1000,0.1,1.25,0.25,0.005,50,0.15
1500,0.1,1.25,0.25,0.005,50,0.252
2000,0.1,1.25,0.25,0.005,50,0.362
2500,0.1,1.25,0.25,0.005,50,0.436
3000,0.1,1.25,0.25,0.005,50,0.508
1000,0.15,1.25,0.25,0.005,50,0.202
1500,0.15,1.25,0.25,0.005,50,0.312
2000,0.15,1.25,0.25,0.005,50,0.486
2500,0.15,1.25,0.25,0.005,50,0.55
3000,0.15,1.25,0.25,0.005,50,0.618
1000,0.2,1.25,0.25,0.005,50,0.244
1500,0.2,1.25,0.25,0.005,50,0.424
2000,0.2,1.25,0.25,0.005,50,0.524
2500,0.2,1.25,0.25,0.005,50,0.638
3000,0.2,1.25,0.25,0.005,50,0.686
1000,0.25,1.25,0.25,0.005,50,0.31
1500,0.25,1.25,0.25,0.005,50,0.494
2000,0.25,1.25,0.25,0.005,50,0.582
2500,0.25,1.25,0.25,0.005,50,0.67
3000,0.25,1.25,0.25,0.005,50,0.74
1000,0.3,1.25,0.25,0.005,50,0.39
1500,0.3,1.25,0.25,0.005,50,0.546
2000,0.3,1.25,0.25,0.005,50,0.632
2500,0.3,1.25,0.25,0.005,50,0.704
3000,0.3,1.25,0.25,0.005,50,0.762
1000,0.05,1.5,0.25,0.005,50,0.394
1500,0.05,1.5,0.25,0.005,50,0.558
2000,0.05,1.5,0.25,0.005,50,0.688
2500,0.05,1.5,0.25,0.005,50,0.744
3000,0.05,1.5,0.25,0.005,50,0.774
1000,0.1,1.5,0.25,0.005,50,0.594
1500,0.1,1.5,0.25,0.005,50,0.714
2000,0.1,1.5,0.25,0.005,50,0.794
2500,0.1,1.5,0.25,0.005,50,0.802
3000,0.1,1.5,0.25,0.005,50,0.824
1000,0.15,1.5,0.25,0.005,50,0.642
1500,0.15,1.5,0.25,0.005,50,0.752
2000,0.15,1.5,0.25,0.005,50,0.808
2500,0.15,1.5,0.25,0.005,50,0.846
3000,0.15,1.5,0.25,0.005,50,0.86
1000,0.2,1.5,0.25,0.005,50,0.7
1500,0.2,1.5,0.25,0.005,50,0.776
2000,0.2,1.5,0.25,0.005,50,0.828
2500,0.2,1.5,0.25,0.005,50,0.864
3000,0.2,1.5,0.25,0.005,50,0.878
1000,0.25,1.5,0.25,0.005,50,0.724
1500,0.25,1.5,0.25,0.005,50,0.81
2000,0.25,1.5,0.25,0.005,50,0.852
2500,0.25,1.5,0.25,0.005,50,0.866
3000,0.25,1.5,0.25,0.005,50,0.92
1000,0.3,1.5,0.25,0.005,50,0.732
1500,0.3,1.5,0.25,0.005,50,0.804
2000,0.3,1.5,0.25,0.005,50,0.856
2500,0.3,1.5,0.25,0.005,50,0.868
3000,0.3,1.5,0.25,0.005,50,0.912
1000,0.05,1.75,0.25,0.005,50,0.678
1500,0.05,1.75,0.25,0.005,50,0.754
2000,0.05,1.75,0.25,0.005,50,0.824
2500,0.05,1.75,0.25,0.005,50,0.838
3000,0.05,1.75,0.25,0.005,50,0.878
1000,0.1,1.75,0.25,0.005,50,0.788
1500,0.1,1.75,0.25,0.005,50,0.82
2000,0.1,1.75,0.25,0.005,50,0.864
2500,0.1,1.75,0.25,0.005,50,0.878
3000,0.1,1.75,0.25,0.005,50,0.926
1000,0.15,1.75,0.25,0.005,50,0.792
1500,0.15,1.75,0.25,0.005,50,0.854
2000,0.15,1.75,0.25,0.005,50,0.88
2500,0.15,1.75,0.25,0.005,50,0.928
3000,0.15,1.75,0.25,0.005,50,0.936
1000,0.2,1.75,0.25,0.005,50,0.808
1500,0.2,1.75,0.25,0.005,50,0.868
2000,0.2,1.75,0.25,0.005,50,0.896
2500,0.2,1.75,0.25,0.005,50,0.942
3000,0.2,1.75,0.25,0.005,50,0.974
1000,0.25,1.75,0.25,0.005,50,0.814
1500,0.25,1.75,0.25,0.005,50,0.886
2000,0.25,1.75,0.25,0.005,50,0.906
2500,0.25,1.75,0.25,0.005,50,0.96
3000,0.25,1.75,0.25,0.005,50,0.968
1000,0.3,1.75,0.25,0.005,50,0.818
1500,0.3,1.75,0.25,0.005,50,0.892
2000,0.3,1.75,0.25,0.005,50,0.956
2500,0.3,1.75,0.25,0.005,50,0.95
3000,0.3,1.75,0.25,0.005,50,0.976
1000,0.05,2,0.25,0.005,50,0.798
1500,0.05,2,0.25,0.005,50,0.8
2000,0.05,2,0.25,0.005,50,0.878
2500,0.05,2,0.25,0.005,50,0.91
3000,0.05,2,0.25,0.005,50,0.938
1000,0.1,2,0.25,0.005,50,0.81
1500,0.1,2,0.25,0.005,50,0.854
2000,0.1,2,0.25,0.005,50,0.922
2500,0.1,2,0.25,0.005,50,0.944
3000,0.1,2,0.25,0.005,50,0.966
1000,0.15,2,0.25,0.005,50,0.838
1500,0.15,2,0.25,0.005,50,0.882
2000,0.15,2,0.25,0.005,50,0.94
2500,0.15,2,0.25,0.005,50,0.964
3000,0.15,2,0.25,0.005,50,0.982
1000,0.2,2,0.25,0.005,50,0.864
1500,0.2,2,0.25,0.005,50,0.89
2000,0.2,2,0.25,0.005,50,0.942
2500,0.2,2,0.25,0.005,50,0.968
3000,0.2,2,0.25,0.005,50,0.984
1000,0.25,2,0.25,0.005,50,0.854
1500,0.25,2,0.25,0.005,50,0.918
2000,0.25,2,0.25,0.005,50,0.94
2500,0.25,2,0.25,0.005,50,0.974
3000,0.25,2,0.25,0.005,50,0.99
1000,0.3,2,0.25,0.005,50,0.864
1500,0.3,2,0.25,0.005,50,0.92
2000,0.3,2,0.25,0.005,50,0.966
2500,0.3,2,0.25,0.005,50,0.982
3000,0.3,2,0.25,0.005,50,0.992
