n,p,or,r,alpha,n.sim,prop.drivers
600,0.1,1.25,0.25,0.005,50,0.062
1200,0.1,1.25,0.25,0.005,50,0.186
1800,0.1,1.25,0.25,0.005,50,0.31
2400,0.1,1.25,0.25,0.005,50,0.446
3600,0.1,1.25,0.25,0.005,50,0.594
4800,0.1,1.25,0.25,0.005,50,0.69
6000,0.1,1.25,0.25,0.005,50,0.75
7200,0.1,1.25,0.25,0.005,50,0.79
8400,0.1,1.25,0.25,0.005,50,0.812
9600,0.1,1.25,0.25,0.005,50,0.818
600,0.2,1.25,0.25,0.005,50,0.126
1200,0.2,1.25,0.25,0.005,50,0.308
1800,0.2,1.25,0.25,0.005,50,0.498
2400,0.2,1.25,0.25,0.005,50,0.618
3600,0.2,1.25,0.25,0.005,50,0.744
4800,0.2,1.25,0.25,0.005,50,0.81
6000,0.2,1.25,0.25,0.005,50,0.856
7200,0.2,1.25,0.25,0.005,50,0.874
8400,0.2,1.25,0.25,0.005,50,0.898
9600,0.2,1.25,0.25,0.005,50,0.89
600,0.3,1.25,0.25,0.005,50,0.172
1200,0.3,1.25,0.25,0.005,50,0.422
1800,0.3,1.25,0.25,0.005,50,0.61
2400,0.3,1.25,0.25,0.005,50,0.682
3600,0.3,1.25,0.25,0.005,50,0.786
4800,0.3,1.25,0.25,0.005,50,0.834
6000,0.3,1.25,0.25,0.005,50,0.868
7200,0.3,1.25,0.25,0.005,50,0.902
8400,0.3,1.25,0.25,0.005,50,0.914
9600,0.3,1.25,0.25,0.005,50,0.934
600,0.1,1.5,0.25,0.005,50,0.314
1200,0.1,1.5,0.25,0.005,50,0.628
1800,0.1,1.5,0.25,0.005,50,0.762
2400,0.1,1.5,0.25,0.005,50,0.792
3600,0.1,1.5,0.25,0.005,50,0.858
4800,0.1,1.5,0.25,0.005,50,0.916
6000,0.1,1.5,0.25,0.005,50,0.932
7200,0.1,1.5,0.25,0.005,50,0.97
8400,0.1,1.5,0.25,0.005,50,0.974
9600,0.1,1.5,0.25,0.005,50,0.97
600,0.2,1.5,0.25,0.005,50,0.466
1200,0.2,1.5,0.25,0.005,50,0.72
1800,0.2,1.5,0.25,0.005,50,0.812
2400,0.2,1.5,0.25,0.005,50,0.866
3600,0.2,1.5,0.25,0.005,50,0.912
4800,0.2,1.5,0.25,0.005,50,0.972
6000,0.2,1.5,0.25,0.005,50,0.972
7200,0.2,1.5,0.25,0.005,50,0.994
8400,0.2,1.5,0.25,0.005,50,0.99
9600,0.2,1.5,0.25,0.005,50,0.998
600,0.3,1.5,0.25,0.005,50,0.562
1200,0.3,1.5,0.25,0.005,50,0.762
1800,0.3,1.5,0.25,0.005,50,0.836
2400,0.3,1.5,0.25,0.005,50,0.87
3600,0.3,1.5,0.25,0.005,50,0.936
4800,0.3,1.5,0.25,0.005,50,0.978
6000,0.3,1.5,0.25,0.005,50,0.994
7200,0.3,1.5,0.25,0.005,50,0.994
8400,0.3,1.5,0.25,0.005,50,1
9600,0.3,1.5,0.25,0.005,50,1
600,0.1,1.75,0.25,0.005,50,0.592
1200,0.1,1.75,0.25,0.005,50,0.778
1800,0.1,1.75,0.25,0.005,50,0.818
2400,0.1,1.75,0.25,0.005,50,0.908
3600,0.1,1.75,0.25,0.005,50,0.956
4800,0.1,1.75,0.25,0.005,50,0.982
6000,0.1,1.75,0.25,0.005,50,0.988
7200,0.1,1.75,0.25,0.005,50,1
8400,0.1,1.75,0.25,0.005,50,0.996
9600,0.1,1.75,0.25,0.005,50,1
600,0.2,1.75,0.25,0.005,50,0.698
1200,0.2,1.75,0.25,0.005,50,0.822
1800,0.2,1.75,0.25,0.005,50,0.896
2400,0.2,1.75,0.25,0.005,50,0.934
3600,0.2,1.75,0.25,0.005,50,0.982
4800,0.2,1.75,0.25,0.005,50,0.99
6000,0.2,1.75,0.25,0.005,50,1
