n,p,or,r,alpha,n.sim,prop.drivers
600,0.1,1.25,0.25,0.005,1000,0.0732
1200,0.1,1.25,0.25,0.005,1000,0.181
1800,0.1,1.25,0.25,0.005,1000,0.3077
2400,0.1,1.25,0.25,0.005,1000,0.4227
3600,0.1,1.25,0.25,0.005,1000,0.6026
4800,0.1,1.25,0.25,0.005,1000,0.6996
6000,0.1,1.25,0.25,0.005,1000,0.7563
7200,0.1,1.25,0.25,0.005,1000,0.7801
8400,0.1,1.25,0.25,0.005,1000,0.8041
9600,0.1,1.25,0.25,0.005,1000,0.8286
600,0.2,1.25,0.25,0.005,1000,0.1276
1200,0.2,1.25,0.25,0.005,1000,0.3274
1800,0.2,1.25,0.25,0.005,1000,0.5085
2400,0.2,1.25,0.25,0.005,1000,0.627
3600,0.2,1.25,0.25,0.005,1000,0.7482
4800,0.2,1.25,0.25,0.005,1000,0.8029
6000,0.2,1.25,0.25,0.005,1000,0.8279
7200,0.2,1.25,0.25,0.005,1000,0.8599
8400,0.2,1.25,0.25,0.005,1000,0.8832
9600,0.2,1.25,0.25,0.005,1000,0.9027
600,0.3,1.25,0.25,0.005,1000,0.1782
1200,0.3,1.25,0.25,0.005,1000,0.4181
1800,0.3,1.25,0.25,0.005,1000,0.6027
2400,0.3,1.25,0.25,0.005,1000,0.7074
3600,0.3,1.25,0.25,0.005,1000,0.7896
4800,0.3,1.25,0.25,0.005,1000,0.8381
6000,0.3,1.25,0.25,0.005,1000,0.8685
7200,0.3,1.25,0.25,0.005,1000,0.8967
8400,0.3,1.25,0.25,0.005,1000,0.922
9600,0.3,1.25,0.25,0.005,1000,0.9419
600,0.1,1.5,0.25,0.005,1000,0.3488
1200,0.1,1.5,0.25,0.005,1000,0.6409
1800,0.1,1.5,0.25,0.005,1000,0.7549
2400,0.1,1.5,0.25,0.005,1000,0.8
3600,0.1,1.5,0.25,0.005,1000,0.8542
4800,0.1,1.5,0.25,0.005,1000,0.903
6000,0.1,1.5,0.25,0.005,1000,0.9361
7200,0.1,1.5,0.25,0.005,1000,0.9524
8400,0.1,1.5,0.25,0.005,1000,0.969
9600,0.1,1.5,0.25,0.005,1000,0.9812
600,0.2,1.5,0.25,0.005,1000,0.4922
1200,0.2,1.5,0.25,0.005,1000,0.7425
1800,0.2,1.5,0.25,0.005,1000,0.8104
2400,0.2,1.5,0.25,0.005,1000,0.8502
3600,0.2,1.5,0.25,0.005,1000,0.9151
4800,0.2,1.5,0.25,0.005,1000,0.951
6000,0.2,1.5,0.25,0.005,1000,0.975
7200,0.2,1.5,0.25,0.005,1000,0.9882
8400,0.2,1.5,0.25,0.005,1000,0.9931
9600,0.2,1.5,0.25,0.005,1000,0.9973
600,0.3,1.5,0.25,0.005,1000,0.5544
1200,0.3,1.5,0.25,0.005,1000,0.7716
1800,0.3,1.5,0.25,0.005,1000,0.8332
2400,0.3,1.5,0.25,0.005,1000,0.8828
3600,0.3,1.5,0.25,0.005,1000,0.9386
4800,0.3,1.5,0.25,0.005,1000,0.975
6000,0.3,1.5,0.25,0.005,1000,0.991
7200,0.3,1.5,0.25,0.005,1000,0.9956
8400,0.3,1.5,0.25,0.005,1000,0.9984
9600,0.3,1.5,0.25,0.005,1000,0.9993
600,0.1,1.75,0.25,0.005,1000,0.6083
1200,0.1,1.75,0.25,0.005,1000,0.787
1800,0.1,1.75,0.25,0.005,1000,0.8404
2400,0.1,1.75,0.25,0.005,1000,0.8842
3600,0.1,1.75,0.25,0.005,1000,0.9464
4800,0.1,1.75,0.25,0.005,1000,0.9724
6000,0.1,1.75,0.25,0.005,1000,0.9904
7200,0.1,1.75,0.25,0.005,1000,0.9951
8400,0.1,1.75,0.25,0.005,1000,0.999
9600,0.1,1.75,0.25,0.005,1000,0.9995
600,0.2,1.75,0.25,0.005,1000,0.694
1200,0.2,1.75,0.25,0.005,1000,0.8274
