n,n.communities,p,community.var,or,r,alpha.i,alpha.c,n.sim,n.per.community,prop.drivers.i,prop.drivers.c,or.margin.of.error.i,or.margin.of.error.c
400,25,0.5,2.73,1.25,0.25,0.01,0.0125,500,16,0.1328,0.064,0.43317,1.13989
800,25,0.5,2.73,1.25,0.25,0.01,0.0125,500,32,0.3272,0.063,0.2813,1.06451
1300,25,0.5,2.73,1.25,0.25,0.01,0.0125,500,52,0.5308,0.0625,0.21233,1.03427
1700,25,0.5,2.73,1.25,0.25,0.01,0.0125,500,68,0.6552,0.0625,0.18332,1.03991
2500,25,0.5,2.73,1.25,0.25,0.01,0.0125,500,100,0.786,0.053,0.14729,1.0126
3400,25,0.5,2.73,1.25,0.25,0.01,0.0125,500,136,0.8448,0.0575,0.12476,0.99317
4200,25,0.5,2.73,1.25,0.25,0.01,0.0125,500,168,0.8676,0.068,0.11162,0.98512
5000,25,0.5,2.73,1.25,0.25,0.01,0.0125,500,200,0.8936,0.065,0.10182,1.01455
5900,25,0.5,2.73,1.25,0.25,0.01,0.0125,500,236,0.902,0.0665,0.09317,0.98622
6700,25,0.5,2.73,1.25,0.25,0.01,0.0125,500,268,0.9152,0.0715,0.08737,0.98635
400,50,0.5,2.73,1.25,0.25,0.01,0.0125,500,8,0.1152,0.066,0.44519,0.76494
800,50,0.5,2.73,1.25,0.25,0.01,0.0125,500,16,0.3092,0.0605,0.28491,0.69475
1300,50,0.5,2.73,1.25,0.25,0.01,0.0125,500,26,0.522,0.077,0.21393,0.67742
1700,50,0.5,2.73,1.25,0.25,0.01,0.0125,500,34,0.6396,0.063,0.18409,0.66385
2500,50,0.5,2.73,1.25,0.25,0.01,0.0125,500,50,0.784,0.0765,0.14848,0.65429
3400,50,0.5,2.73,1.25,0.25,0.01,0.0125,500,68,0.848,0.076,0.12543,0.64615
4200,50,0.5,2.73,1.25,0.25,0.01,0.0125,500,84,0.8692,0.0665,0.11188,0.64611
5000,50,0.5,2.73,1.25,0.25,0.01,0.0125,500,100,0.8856,0.0755,0.1018,0.64179
5900,50,0.5,2.73,1.25,0.25,0.01,0.0125,500,118,0.9056,0.07,0.09357,0.64121
6700,50,0.5,2.73,1.25,0.25,0.01,0.0125,500,134,0.9164,0.066,0.08722,0.64125
400,100,0.5,2.73,1.25,0.25,0.01,0.0125,500,4,0.1172,0.08,0.46132,0.54558
800,100,0.5,2.73,1.25,0.25,0.01,0.0125,500,8,0.2956,0.089,0.29327,0.48571
1300,100,0.5,2.73,1.25,0.25,0.01,0.0125,500,13,0.5128,0.1085,0.21842,0.46073
1700,100,0.5,2.73,1.25,0.25,0.01,0.0125,500,17,0.6332,0.1105,0.18624,0.44791
2500,100,0.5,2.73,1.25,0.25,0.01,0.0125,500,25,0.7708,0.1125,0.15004,0.44177
3400,100,0.5,2.73,1.25,0.25,0.01,0.0125,500,34,0.8364,0.109,0.1264,0.43432
4200,100,0.5,2.73,1.25,0.25,0.01,0.0125,500,42,0.8704,0.116,0.11292,0.43173
5000,100,0.5,2.73,1.25,0.25,0.01,0.0125,500,50,0.8832,0.1145,0.1027,0.43241
5900,100,0.5,2.73,1.25,0.25,0.01,0.0125,500,59,0.9012,0.117,0.09391,0.42875
6700,100,0.5,2.73,1.25,0.25,0.01,0.0125,500,67,0.9136,0.114,0.08776,0.42446
400,25,0.5,2.73,1.5,0.25,0.01,0.0125,500,16,0.4312,0.102,0.47261,1.1817
800,25,0.5,2.73,1.5,0.25,0.01,0.0125,500,32,0.7532,0.126,0.30499,1.0699
1300,25,0.5,2.73,1.5,0.25,0.01,0.0125,500,52,0.858,0.127,0.22947,1.0635
1700,25,0.5,2.73,1.5,0.25,0.01,0.0125,500,68,0.8764,0.1245,0.19682,1.03743
2500,25,0.5,2.73,1.5,0.25,0.01,0.0125,500,100,0.9292,0.1165,0.15855,1.03168
3400,25,0.5,2.73,1.5,0.25,0.01,0.0125,500,136,0.9588,0.126,0.13485,1.02739
4200,25,0.5,2.73,1.5,0.25,0.01,0.0125,500,168,0.976,0.141,0.12062,1.01351
5000,25,0.5,2.73,1.5,0.25,0.01,0.0125,500,200,0.986,0.1395,0.10976,1.00988
5900,25,0.5,2.73,1.5,0.25,0.01,0.0125,500,236,0.9948,0.1385,0.10047,0.99212
6700,25,0.5,2.73,1.5,0.25,0.01,0.0125,500,268,0.9968,0.131,0.09414,1.01611
400,50,0.5,2.73,1.5,0.25,0.01,0.0125,500,8,0.4356,0.1455,0.48771,0.79967
800,50,0.5,2.73,1.5,0.25,0.01,0.0125,500,16,0.7572,0.1765,0.31071,0.71374
1300,50,0.5,2.73,1.5,0.25,0.01,0.0125,500,26,0.8552,0.1925,0.23243,0.68768
1700,50,0.5,2.73,1.5,0.25,0.01,0.0125,500,34,0.8804,0.19,0.19841,0.67571
2500,50,0.5,2.73,1.5,0.25,0.01,0.0125,500,50,0.9168,0.2115,0.15992,0.66142
3400,50,0.5,2.73,1.5,0.25,0.01,0.0125,500,68,0.9568,0.2045,0.13553,0.65946
4200,50,0.5,2.73,1.5,0.25,0.01,0.0125,500,84,0.9796,0.2155,0.12061,0.64119
5000,50,0.5,2.73,1.5,0.25,0.01,0.0125,500,100,0.988,0.22,0.10965,0.6441
5900,50,0.5,2.73,1.5,0.25,0.01,0.0125,500,118,0.994,0.211,0.10078,0.64485
6700,50,0.5,2.73,1.5,0.25,0.01,0.0125,500,134,0.9956,0.208,0.09401,0.64203
400,100,0.5,2.73,1.5,0.25,0.01,0.0125,500,4,0.39,0.232,0.50416,0.57322
800,100,0.5,2.73,1.5,0.25,0.01,0.0125,500,8,0.7368,0.3185,0.31943,0.50245
1300,100,0.5,2.73,1.5,0.25,0.01,0.0125,500,13,0.8556,0.349,0.237,0.47715
1700,100,0.5,2.73,1.5,0.25,0.01,0.0125,500,17,0.8788,0.3465,0.20234,0.46315
2500,100,0.5,2.73,1.5,0.25,0.01,0.0125,500,25,0.9204,0.3735,0.16184,0.44687
3400,100,0.5,2.73,1.5,0.25,0.01,0.0125,500,34,0.956,0.362,0.13636,0.43924
4200,100,0.5,2.73,1.5,0.25,0.01,0.0125,500,42,0.9732,0.4065,0.1214,0.43234
5000,100,0.5,2.73,1.5,0.25,0.01,0.0125,500,50,0.9864,0.3945,0.11061,0.43269
5900,100,0.5,2.73,1.5,0.25,0.01,0.0125,500,59,0.9936,0.404,0.10089,0.42441
6700,100,0.5,2.73,1.5,0.25,0.01,0.0125,500,67,0.9964,0.415,0.0945,0.42845
400,25,0.5,2.73,1.75,0.25,0.01,0.0125,500,16,0.676,0.167,0.51899,1.22384
800,25,0.5,2.73,1.75,0.25,0.01,0.0125,500,32,0.854,0.212,0.33395,1.12164
1300,25,0.5,2.73,1.75,0.25,0.01,0.0125,500,52,0.9104,0.2295,0.24986,1.04794
1700,25,0.5,2.73,1.75,0.25,0.01,0.0125,500,68,0.944,0.2225,0.21371,1.03017
2500,25,0.5,2.73,1.75,0.25,0.01,0.0125,500,100,0.9784,0.2165,0.17258,1.0407
3400,25,0.5,2.73,1.75,0.25,0.01,0.0125,500,136,0.9908,0.2305,0.14586,1.01789
4200,25,0.5,2.73,1.75,0.25,0.01,0.0125,500,168,0.9976,0.2265,0.13026,1.02091
5000,25,0.5,2.73,1.75,0.25,0.01,0.0125,500,200,0.9992,0.227,0.11836,0.99863
5900,25,0.5,2.73,1.75,0.25,0.01,0.0125,500,236,1,0.236,0.10831,0.99009
6700,25,0.5,2.73,1.75,0.25,0.01,0.0125,500,268,1,0.2385,0.10136,0.99721
400,50,0.5,2.73,1.75,0.25,0.01,0.0125,500,8,0.6624,0.2665,0.54205,0.84033
800,50,0.5,2.73,1.75,0.25,0.01,0.0125,500,16,0.862,0.3325,0.33981,0.73876
1300,50,0.5,2.73,1.75,0.25,0.01,0.0125,500,26,0.9056,0.3615,0.25206,0.69007
1700,50,0.5,2.73,1.75,0.25,0.01,0.0125,500,34,0.944,0.373,0.21584,0.68497
2500,50,0.5,2.73,1.75,0.25,0.01,0.0125,500,50,0.9756,0.384,0.17317,0.66381
3400,50,0.5,2.73,1.75,0.25,0.01,0.0125,500,68,0.9944,0.3865,0.1462,0.65754
4200,50,0.5,2.73,1.75,0.25,0.01,0.0125,500,84,0.9996,0.391,0.13048,0.64739
5000,50,0.5,2.73,1.75,0.25,0.01,0.0125,500,100,0.9996,0.3985,0.11868,0.64668
5900,50,0.5,2.73,1.75,0.25,0.01,0.0125,500,118,1,0.404,0.1085,0.64237
6700,50,0.5,2.73,1.75,0.25,0.01,0.0125,500,134,1,0.416,0.10171,0.63826
400,100,0.5,2.73,1.75,0.25,0.01,0.0125,500,4,0.618,0.4215,0.55992,0.61825
800,100,0.5,2.73,1.75,0.25,0.01,0.0125,500,8,0.852,0.5525,0.34967,0.52443
1300,100,0.5,2.73,1.75,0.25,0.01,0.0125,500,13,0.9076,0.6215,0.25837,0.48398
1700,100,0.5,2.73,1.75,0.25,0.01,0.0125,500,17,0.9284,0.642,0.21937,0.47126
2500,100,0.5,2.73,1.75,0.25,0.01,0.0125,500,25,0.9692,0.6645,0.17538,0.45198
3400,100,0.5,2.73,1.75,0.25,0.01,0.0125,500,34,0.9912,0.687,0.14753,0.44316
4200,100,0.5,2.73,1.75,0.25,0.01,0.0125,500,42,0.996,0.6995,0.13156,0.43829
5000,100,0.5,2.73,1.75,0.25,0.01,0.0125,500,50,0.9996,0.6975,0.11957,0.43773
5900,100,0.5,2.73,1.75,0.25,0.01,0.0125,500,59,1,0.7155,0.10924,0.43137
6700,100,0.5,2.73,1.75,0.25,0.01,0.0125,500,67,1,0.7205,0.10192,0.42937
400,25,0.5,2.73,2,0.25,0.01,0.0125,500,16,0.7784,0.275,0.56861,1.21602
800,25,0.5,2.73,2,0.25,0.01,0.0125,500,32,0.8888,0.315,0.36077,1.0962
1300,25,0.5,2.73,2,0.25,0.01,0.0125,500,52,0.9408,0.313,0.27045,1.07898
1700,25,0.5,2.73,2,0.25,0.01,0.0125,500,68,0.9676,0.317,0.23139,1.06454
2500,25,0.5,2.73,2,0.25,0.01,0.0125,500,100,0.9952,0.3135,0.18602,1.02699
3400,25,0.5,2.73,2,0.25,0.01,0.0125,500,136,1,0.36,0.15665,0.9853
4200,25,0.5,2.73,2,0.25,0.01,0.0125,500,168,1,0.349,0.1398,1.01261
5000,25,0.5,2.73,2,0.25,0.01,0.0125,500,200,1,0.3255,0.12712,1.02453
5900,25,0.5,2.73,2,0.25,0.01,0.0125,500,236,1,0.3455,0.11633,0.99531
6700,25,0.5,2.73,2,0.25,0.01,0.0125,500,268,1,0.344,0.10885,0.99619
400,50,0.5,2.73,2,0.25,0.01,0.0125,500,8,0.7716,0.4195,0.58921,0.86807
800,50,0.5,2.73,2,0.25,0.01,0.0125,500,16,0.8884,0.4905,0.36917,0.7564
1300,50,0.5,2.73,2,0.25,0.01,0.0125,500,26,0.9384,0.533,0.2736,0.70948
1700,50,0.5,2.73,2,0.25,0.01,0.0125,500,34,0.97,0.5575,0.23361,0.68495
