n,n.communities,p,community.var,or,r,alpha,n.sim,n.per.community,prop.drivers,or.margin.of.error
600,25,0.1,2.73,1.25,0.25,0.0125,5,24,0.025,1.05818
1200,25,0.1,2.73,1.25,0.25,0.0125,5,48,0.075,0.93731
1800,25,0.1,2.73,1.25,0.25,0.0125,5,72,0.025,1.19477
2400,25,0.1,2.73,1.25,0.25,0.0125,5,96,0.1,0.96767
3600,25,0.1,2.73,1.25,0.25,0.0125,5,144,0.025,1.08274
4800,25,0.1,2.73,1.25,0.25,0.0125,5,192,0.075,1.02465
6000,25,0.1,2.73,1.25,0.25,0.0125,5,240,0.075,1.07948
7200,25,0.1,2.73,1.25,0.25,0.0125,5,288,0.075,0.89753
8400,25,0.1,2.73,1.25,0.25,0.0125,5,336,0,1.111
9600,25,0.1,2.73,1.25,0.25,0.0125,5,384,0.025,1.0513
600,50,0.1,2.73,1.25,0.25,0.0125,5,12,0.025,0.78033
1200,50,0.1,2.73,1.25,0.25,0.0125,5,24,0.025,0.7329
1800,50,0.1,2.73,1.25,0.25,0.0125,5,36,0.075,0.65302
2400,50,0.1,2.73,1.25,0.25,0.0125,5,48,0.1,0.66948
3600,50,0.1,2.73,1.25,0.25,0.0125,5,72,0.05,0.70576
4800,50,0.1,2.73,1.25,0.25,0.0125,5,96,0.05,0.64055
6000,50,0.1,2.73,1.25,0.25,0.0125,5,120,0,0.62312
7200,50,0.1,2.73,1.25,0.25,0.0125,5,144,0.075,0.63402
8400,50,0.1,2.73,1.25,0.25,0.0125,5,168,0,0.67896
9600,50,0.1,2.73,1.25,0.25,0.0125,5,192,0.15,0.6364
600,100,0.1,2.73,1.25,0.25,0.0125,5,6,0.075,0.63962
1200,100,0.1,2.73,1.25,0.25,0.0125,5,12,0.1,0.52916
1800,100,0.1,2.73,1.25,0.25,0.0125,5,18,0.075,0.48848
2400,100,0.1,2.73,1.25,0.25,0.0125,5,24,0.15,0.48225
3600,100,0.1,2.73,1.25,0.25,0.0125,5,36,0.1,0.44567
4800,100,0.1,2.73,1.25,0.25,0.0125,5,48,0.075,0.44176
6000,100,0.1,2.73,1.25,0.25,0.0125,5,60,0.05,0.49974
7200,100,0.1,2.73,1.25,0.25,0.0125,5,72,0.1,0.43921
8400,100,0.1,2.73,1.25,0.25,0.0125,5,84,0.075,0.43873
9600,100,0.1,2.73,1.25,0.25,0.0125,5,96,0.075,0.46633
600,25,0.5,2.73,1.25,0.25,0.0125,5,24,0.125,1.05917
1200,25,0.5,2.73,1.25,0.25,0.0125,5,48,0.025,1.08973
1800,25,0.5,2.73,1.25,0.25,0.0125,5,72,0.075,0.98584
2400,25,0.5,2.73,1.25,0.25,0.0125,5,96,0.05,1.03672
3600,25,0.5,2.73,1.25,0.25,0.0125,5,144,0.075,1.0265
4800,25,0.5,2.73,1.25,0.25,0.0125,5,192,0.05,1.05004
6000,25,0.5,2.73,1.25,0.25,0.0125,5,240,0.1,1.0089
7200,25,0.5,2.73,1.25,0.25,0.0125,5,288,0.05,1.1192
8400,25,0.5,2.73,1.25,0.25,0.0125,5,336,0.025,1.03359
9600,25,0.5,2.73,1.25,0.25,0.0125,5,384,0.025,0.98999
600,50,0.5,2.73,1.25,0.25,0.0125,5,12,0.125,0.83789
1200,50,0.5,2.73,1.25,0.25,0.0125,5,24,0.125,0.65975
1800,50,0.5,2.73,1.25,0.25,0.0125,5,36,0.05,0.69313
2400,50,0.5,2.73,1.25,0.25,0.0125,5,48,0.075,0.67902
3600,50,0.5,2.73,1.25,0.25,0.0125,5,72,0.125,0.63872
4800,50,0.5,2.73,1.25,0.25,0.0125,5,96,0.025,0.63585
6000,50,0.5,2.73,1.25,0.25,0.0125,5,120,0.05,0.65984
7200,50,0.5,2.73,1.25,0.25,0.0125,5,144,0.075,0.6724
8400,50,0.5,2.73,1.25,0.25,0.0125,5,168,0.075,0.6286
9600,50,0.5,2.73,1.25,0.25,0.0125,5,192,0.1,0.6485
600,100,0.5,2.73,1.25,0.25,0.0125,5,6,0.075,0.52664
1200,100,0.5,2.73,1.25,0.25,0.0125,5,12,0.125,0.45836
1800,100,0.5,2.73,1.25,0.25,0.0125,5,18,0.175,0.44872
2400,100,0.5,2.73,1.25,0.25,0.0125,5,24,0.1,0.46254
3600,100,0.5,2.73,1.25,0.25,0.0125,5,36,0.1,0.45572
4800,100,0.5,2.73,1.25,0.25,0.0125,5,48,0.05,0.42694
6000,100,0.5,2.73,1.25,0.25,0.0125,5,60,0.15,0.42111
7200,100,0.5,2.73,1.25,0.25,0.0125,5,72,0.05,0.41102
8400,100,0.5,2.73,1.25,0.25,0.0125,5,84,0.15,0.43551
9600,100,0.5,2.73,1.25,0.25,0.0125,5,96,0.1,0.40655
600,25,0.1,2.73,1.5,0.25,0.0125,5,24,0.1,1.15061
1200,25,0.1,2.73,1.5,0.25,0.0125,5,48,0.125,1.09752
1800,25,0.1,2.73,1.5,0.25,0.0125,5,72,0.125,1.06146
2400,25,0.1,2.73,1.5,0.25,0.0125,5,96,0.15,1.04115
3600,25,0.1,2.73,1.5,0.25,0.0125,5,144,0.125,1.04474
4800,25,0.1,2.73,1.5,0.25,0.0125,5,192,0.075,1.16961
6000,25,0.1,2.73,1.5,0.25,0.0125,5,240,0.2,0.98153
7200,25,0.1,2.73,1.5,0.25,0.0125,5,288,0.175,1.13875
8400,25,0.1,2.73,1.5,0.25,0.0125,5,336,0.125,0.93179
9600,25,0.1,2.73,1.5,0.25,0.0125,5,384,0.1,1.12663
600,50,0.1,2.73,1.5,0.25,0.0125,5,12,0.175,0.86655
1200,50,0.1,2.73,1.5,0.25,0.0125,5,24,0.1,0.76806
1800,50,0.1,2.73,1.5,0.25,0.0125,5,36,0.2,0.67192
2400,50,0.1,2.73,1.5,0.25,0.0125,5,48,0.1,0.71699
3600,50,0.1,2.73,1.5,0.25,0.0125,5,72,0.225,0.65011
4800,50,0.1,2.73,1.5,0.25,0.0125,5,96,0.125,0.643
6000,50,0.1,2.73,1.5,0.25,0.0125,5,120,0.225,0.67348
7200,50,0.1,2.73,1.5,0.25,0.0125,5,144,0.225,0.6203
8400,50,0.1,2.73,1.5,0.25,0.0125,5,168,0.275,0.63462
9600,50,0.1,2.73,1.5,0.25,0.0125,5,192,0.2,0.63388
600,100,0.1,2.73,1.5,0.25,0.0125,5,6,0.2,0.66707
1200,100,0.1,2.73,1.5,0.25,0.0125,5,12,0.3,0.54397
1800,100,0.1,2.73,1.5,0.25,0.0125,5,18,0.425,0.48106
2400,100,0.1,2.73,1.5,0.25,0.0125,5,24,0.375,0.47372
3600,100,0.1,2.73,1.5,0.25,0.0125,5,36,0.4,0.45461
4800,100,0.1,2.73,1.5,0.25,0.0125,5,48,0.325,0.44401
6000,100,0.1,2.73,1.5,0.25,0.0125,5,60,0.3,0.4702
7200,100,0.1,2.73,1.5,0.25,0.0125,5,72,0.6,0.4399
8400,100,0.1,2.73,1.5,0.25,0.0125,5,84,0.3,0.46234
