n,p,or,r,alpha,n.sim,prop.drivers
500,0.05,1,0.25,0.005,1000,0.0047
1000,0.05,1,0.25,0.005,1000,0.0042
1500,0.05,1,0.25,0.005,1000,0.0046
2000,0.05,1,0.25,0.005,1000,0.0051
2500,0.05,1,0.25,0.005,1000,0.0049
3000,0.05,1,0.25,0.005,1000,0.0046
500,0.1,1,0.25,0.005,1000,0.004
1000,0.1,1,0.25,0.005,1000,0.004
1500,0.1,1,0.25,0.005,1000,0.0047
2000,0.1,1,0.25,0.005,1000,0.0058
2500,0.1,1,0.25,0.005,1000,0.0057
3000,0.1,1,0.25,0.005,1000,0.0049
500,0.15,1,0.25,0.005,1000,0.0051
1000,0.15,1,0.25,0.005,1000,0.0042
1500,0.15,1,0.25,0.005,1000,0.0045
2000,0.15,1,0.25,0.005,1000,0.0049
2500,0.15,1,0.25,0.005,1000,0.0049
3000,0.15,1,0.25,0.005,1000,0.0045
500,0.2,1,0.25,0.005,1000,0.0027
1000,0.2,1,0.25,0.005,1000,0.0051
1500,0.2,1,0.25,0.005,1000,0.0059
2000,0.2,1,0.25,0.005,1000,0.0047
2500,0.2,1,0.25,0.005,1000,0.0045
3000,0.2,1,0.25,0.005,1000,0.0056
500,0.25,1,0.25,0.005,1000,0.0049
1000,0.25,1,0.25,0.005,1000,0.0048
1500,0.25,1,0.25,0.005,1000,0.0052
2000,0.25,1,0.25,0.005,1000,0.005
2500,0.25,1,0.25,0.005,1000,0.0047
3000,0.25,1,0.25,0.005,1000,0.0054
500,0.3,1,0.25,0.005,1000,0.0056
1000,0.3,1,0.25,0.005,1000,0.0046
1500,0.3,1,0.25,0.005,1000,0.0033
2000,0.3,1,0.25,0.005,1000,0.0051
2500,0.3,1,0.25,0.005,1000,0.0057
3000,0.3,1,0.25,0.005,1000,0.0045
500,0.05,1.25,0.25,0.005,1000,0.0229
1000,0.05,1.25,0.25,0.005,1000,0.0546
1500,0.05,1.25,0.25,0.005,1000,0.0909
2000,0.05,1.25,0.25,0.005,1000,0.1322
2500,0.05,1.25,0.25,0.005,1000,0.1798
3000,0.05,1.25,0.25,0.005,1000,0.225
500,0.1,1.25,0.25,0.005,1000,0.0463
1000,0.1,1.25,0.25,0.005,1000,0.1158
1500,0.1,1.25,0.25,0.005,1000,0.1945
2000,0.1,1.25,0.25,0.005,1000,0.2776
2500,0.1,1.25,0.25,0.005,1000,0.3622
3000,0.1,1.25,0.25,0.005,1000,0.4411
500,0.15,1.25,0.25,0.005,1000,0.0685
1000,0.15,1.25,0.25,0.005,1000,0.1725
1500,0.15,1.25,0.25,0.005,1000,0.2978
2000,0.15,1.25,0.25,0.005,1000,0.4015
2500,0.15,1.25,0.25,0.005,1000,0.4843
3000,0.15,1.25,0.25,0.005,1000,0.5567
500,0.2,1.25,0.25,0.005,1000,0.0865
1000,0.2,1.25,0.25,0.005,1000,0.2243
1500,0.2,1.25,0.25,0.005,1000,0.3624
2000,0.2,1.25,0.25,0.005,1000,0.4741
2500,0.2,1.25,0.25,0.005,1000,0.5637
3000,0.2,1.25,0.25,0.005,1000,0.6161
500,0.25,1.25,0.25,0.005,1000,0.1057
1000,0.25,1.25,0.25,0.005,1000,0.2748
1500,0.25,1.25,0.25,0.005,1000,0.4209
2000,0.25,1.25,0.25,0.005,1000,0.5354
2500,0.25,1.25,0.25,0.005,1000,0.608
3000,0.25,1.25,0.25,0.005,1000,0.6577
500,0.3,1.25,0.25,0.005,1000,0.1206
1000,0.3,1.25,0.25,0.005,1000,0.3083
1500,0.3,1.25,0.25,0.005,1000,0.4633
2000,0.3,1.25,0.25,0.005,1000,0.5709
2500,0.3,1.25,0.25,0.005,1000,0.6359
3000,0.3,1.25,0.25,0.005,1000,0.6774
500,0.05,1.5,0.25,0.005,1000,0.1199
1000,0.05,1.5,0.25,0.005,1000,0.2993
1500,0.05,1.5,0.25,0.005,1000,0.4517
2000,0.05,1.5,0.25,0.005,1000,0.5568
2500,0.05,1.5,0.25,0.005,1000,0.629
3000,0.05,1.5,0.25,0.005,1000,0.6687
500,0.1,1.5,0.25,0.005,1000,0.2197
1000,0.1,1.5,0.25,0.005,1000,0.4718
1500,0.1,1.5,0.25,0.005,1000,0.6096
2000,0.1,1.5,0.25,0.005,1000,0.6853
2500,0.1,1.5,0.25,0.005,1000,0.7182
3000,0.1,1.5,0.25,0.005,1000,0.753
500,0.15,1.5,0.25,0.005,1000,0.2895
1000,0.15,1.5,0.25,0.005,1000,0.5691
1500,0.15,1.5,0.25,0.005,1000,0.6734
2000,0.15,1.5,0.25,0.005,1000,0.7201
2500,0.15,1.5,0.25,0.005,1000,0.7706
3000,0.15,1.5,0.25,0.005,1000,0.8076
500,0.2,1.5,0.25,0.005,1000,0.3522
1000,0.2,1.5,0.25,0.005,1000,0.6142
1500,0.2,1.5,0.25,0.005,1000,0.7023
2000,0.2,1.5,0.25,0.005,1000,0.7532
2500,0.2,1.5,0.25,0.005,1000,0.8039
3000,0.2,1.5,0.25,0.005,1000,0.8408
500,0.25,1.5,0.25,0.005,1000,0.391
1000,0.25,1.5,0.25,0.005,1000,0.6433
1500,0.25,1.5,0.25,0.005,1000,0.7282
2000,0.25,1.5,0.25,0.005,1000,0.7734
2500,0.25,1.5,0.25,0.005,1000,0.8267
3000,0.25,1.5,0.25,0.005,1000,0.8646
500,0.3,1.5,0.25,0.005,1000,0.43
1000,0.3,1.5,0.25,0.005,1000,0.6628
1500,0.3,1.5,0.25,0.005,1000,0.7391
2000,0.3,1.5,0.25,0.005,1000,0.796
2500,0.3,1.5,0.25,0.005,1000,0.8462
3000,0.3,1.5,0.25,0.005,1000,0.8873
500,0.05,1.75,0.25,0.005,1000,0.2993
1000,0.05,1.75,0.25,0.005,1000,0.5693
1500,0.05,1.75,0.25,0.005,1000,0.6739
2000,0.05,1.75,0.25,0.005,1000,0.7242
2500,0.05,1.75,0.25,0.005,1000,0.7556
3000,0.05,1.75,0.25,0.005,1000,0.7926
500,0.1,1.75,0.25,0.005,1000,0.4415
1000,0.1,1.75,0.25,0.005,1000,0.6627
1500,0.1,1.75,0.25,0.005,1000,0.7463
2000,0.1,1.75,0.25,0.005,1000,0.7879
2500,0.1,1.75,0.25,0.005,1000,0.839
3000,0.1,1.75,0.25,0.005,1000,0.8689
500,0.15,1.75,0.25,0.005,1000,0.5149
1000,0.15,1.75,0.25,0.005,1000,0.7014
1500,0.15,1.75,0.25,0.005,1000,0.7814
2000,0.15,1.75,0.25,0.005,1000,0.8386
2500,0.15,1.75,0.25,0.005,1000,0.8876
3000,0.15,1.75,0.25,0.005,1000,0.9142
500,0.2,1.75,0.25,0.005,1000,0.5577
1000,0.2,1.75,0.25,0.005,1000,0.7306
1500,0.2,1.75,0.25,0.005,1000,0.8053
2000,0.2,1.75,0.25,0.005,1000,0.8693
2500,0.2,1.75,0.25,0.005,1000,0.9095
3000,0.2,1.75,0.25,0.005,1000,0.94
500,0.25,1.75,0.25,0.005,1000,0.581
1000,0.25,1.75,0.25,0.005,1000,0.7439
1500,0.25,1.75,0.25,0.005,1000,0.8289
2000,0.25,1.75,0.25,0.005,1000,0.888
2500,0.25,1.75,0.25,0.005,1000,0.9305
3000,0.25,1.75,0.25,0.005,1000,0.9581
500,0.3,1.75,0.25,0.005,1000,0.6098
1000,0.3,1.75,0.25,0.005,1000,0.7666
1500,0.3,1.75,0.25,0.005,1000,0.8457
2000,0.3,1.75,0.25,0.005,1000,0.9004
2500,0.3,1.75,0.25,0.005,1000,0.9425
3000,0.3,1.75,0.25,0.005,1000,0.9678
500,0.05,2,0.25,0.005,1000,0.4772
1000,0.05,2,0.25,0.005,1000,0.6862
1500,0.05,2,0.25,0.005,1000,0.7496
2000,0.05,2,0.25,0.005,1000,0.8005
2500,0.05,2,0.25,0.005,1000,0.8477
3000,0.05,2,0.25,0.005,1000,0.8829
500,0.1,2,0.25,0.005,1000,0.5859
1000,0.1,2,0.25,0.005,1000,0.7393
1500,0.1,2,0.25,0.005,1000,0.8168
2000,0.1,2,0.25,0.005,1000,0.8743
2500,0.1,2,0.25,0.005,1000,0.9133
3000,0.1,2,0.25,0.005,1000,0.9444
500,0.15,2,0.25,0.005,1000,0.6266
1000,0.15,2,0.25,0.005,1000,0.7665
1500,0.15,2,0.25,0.005,1000,0.8544
2000,0.15,2,0.25,0.005,1000,0.9079
2500,0.15,2,0.25,0.005,1000,0.9455
3000,0.15,2,0.25,0.005,1000,0.9692
500,0.2,2,0.25,0.005,1000,0.6503
1000,0.2,2,0.25,0.005,1000,0.7918
1500,0.2,2,0.25,0.005,1000,0.874
2000,0.2,2,0.25,0.005,1000,0.9297
2500,0.2,2,0.25,0.005,1000,0.9652
3000,0.2,2,0.25,0.005,1000,0.9814
500,0.25,2,0.25,0.005,1000,0.67
1000,0.25,2,0.25,0.005,1000,0.8148
1500,0.25,2,0.25,0.005,1000,0.8941
2000,0.25,2,0.25,0.005,1000,0.9431
2500,0.25,2,0.25,0.005,1000,0.9724
3000,0.25,2,0.25,0.005,1000,0.9888
500,0.3,2,0.25,0.005,1000,0.6807
1000,0.3,2,0.25,0.005,1000,0.8227
1500,0.3,2,0.25,0.005,1000,0.9081
2000,0.3,2,0.25,0.005,1000,0.9589
2500,0.3,2,0.25,0.005,1000,0.9786
3000,0.3,2,0.25,0.005,1000,0.9916
