n,n.communities,p,community.var,or,r,alpha,n.sim,n.per.community,prop.drivers,or.margin.of.error
600,25,0.1,2.73,1.25,0.25,0.0125,500,24,0.05225,1.1769
1200,25,0.1,2.73,1.25,0.25,0.0125,500,48,0.0605,1.09669
1800,25,0.1,2.73,1.25,0.25,0.0125,500,72,0.0665,1.06396
2400,25,0.1,2.73,1.25,0.25,0.0125,500,96,0.063,1.06131
3600,25,0.1,2.73,1.25,0.25,0.0125,500,144,0.066,1.03512
4800,25,0.1,2.73,1.25,0.25,0.0125,500,192,0.0585,1.03345
6000,25,0.1,2.73,1.25,0.25,0.0125,500,240,0.067,1.01274
7200,25,0.1,2.73,1.25,0.25,0.0125,500,288,0.06525,1.00809
8400,25,0.1,2.73,1.25,0.25,0.0125,500,336,0.07,1.01504
9600,25,0.1,2.73,1.25,0.25,0.0125,500,384,0.06475,1.01324
600,50,0.1,2.73,1.25,0.25,0.0125,500,12,0.05075,0.80498
1200,50,0.1,2.73,1.25,0.25,0.0125,500,24,0.066,0.72877
1800,50,0.1,2.73,1.25,0.25,0.0125,500,36,0.063,0.70361
2400,50,0.1,2.73,1.25,0.25,0.0125,500,48,0.06425,0.68624
3600,50,0.1,2.73,1.25,0.25,0.0125,500,72,0.07325,0.67336
4800,50,0.1,2.73,1.25,0.25,0.0125,500,96,0.07,0.66756
6000,50,0.1,2.73,1.25,0.25,0.0125,500,120,0.06425,0.66484
7200,50,0.1,2.73,1.25,0.25,0.0125,500,144,0.06525,0.66285
8400,50,0.1,2.73,1.25,0.25,0.0125,500,168,0.07275,0.65443
9600,50,0.1,2.73,1.25,0.25,0.0125,500,192,0.08075,0.64524
600,100,0.1,2.73,1.25,0.25,0.0125,500,6,0.06625,0.59315
1200,100,0.1,2.73,1.25,0.25,0.0125,500,12,0.08425,0.51994
1800,100,0.1,2.73,1.25,0.25,0.0125,500,18,0.0875,0.48774
2400,100,0.1,2.73,1.25,0.25,0.0125,500,24,0.10325,0.47283
3600,100,0.1,2.73,1.25,0.25,0.0125,500,36,0.105,0.45764
4800,100,0.1,2.73,1.25,0.25,0.0125,500,48,0.11425,0.44963
6000,100,0.1,2.73,1.25,0.25,0.0125,500,60,0.11,0.44353
7200,100,0.1,2.73,1.25,0.25,0.0125,500,72,0.109,0.44097
8400,100,0.1,2.73,1.25,0.25,0.0125,500,84,0.11675,0.43565
9600,100,0.1,2.73,1.25,0.25,0.0125,500,96,0.11175,0.43403
600,25,0.5,2.73,1.25,0.25,0.0125,500,24,0.05275,1.07594
1200,25,0.5,2.73,1.25,0.25,0.0125,500,48,0.06175,1.05351
1800,25,0.5,2.73,1.25,0.25,0.0125,500,72,0.05925,1.04191
2400,25,0.5,2.73,1.25,0.25,0.0125,500,96,0.0615,1.02354
3600,25,0.5,2.73,1.25,0.25,0.0125,500,144,0.06725,1.01002
4800,25,0.5,2.73,1.25,0.25,0.0125,500,192,0.0615,1.00485
6000,25,0.5,2.73,1.25,0.25,0.0125,500,240,0.06325,1.00361
7200,25,0.5,2.73,1.25,0.25,0.0125,500,288,0.0635,0.98537
8400,25,0.5,2.73,1.25,0.25,0.0125,500,336,0.06575,0.99252
9600,25,0.5,2.73,1.25,0.25,0.0125,500,384,0.06375,0.98802
600,50,0.5,2.73,1.25,0.25,0.0125,500,12,0.064,0.71171
1200,50,0.5,2.73,1.25,0.25,0.0125,500,24,0.07425,0.67687
1800,50,0.5,2.73,1.25,0.25,0.0125,500,36,0.07325,0.66606
2400,50,0.5,2.73,1.25,0.25,0.0125,500,48,0.0785,0.65508
3600,50,0.5,2.73,1.25,0.25,0.0125,500,72,0.07375,0.64491
4800,50,0.5,2.73,1.25,0.25,0.0125,500,96,0.0655,0.64756
6000,50,0.5,2.73,1.25,0.25,0.0125,500,120,0.0685,0.6477
7200,50,0.5,2.73,1.25,0.25,0.0125,500,144,0.0735,0.63345
8400,50,0.5,2.73,1.25,0.25,0.0125,500,168,0.0725,0.63546
9600,50,0.5,2.73,1.25,0.25,0.0125,500,192,0.072,0.63733
600,100,0.5,2.73,1.25,0.25,0.0125,500,6,0.09175,0.49833
1200,100,0.5,2.73,1.25,0.25,0.0125,500,12,0.11225,0.46284
1800,100,0.5,2.73,1.25,0.25,0.0125,500,18,0.10625,0.44888
2400,100,0.5,2.73,1.25,0.25,0.0125,500,24,0.10975,0.44224
3600,100,0.5,2.73,1.25,0.25,0.0125,500,36,0.11075,0.43138
4800,100,0.5,2.73,1.25,0.25,0.0125,500,48,0.12325,0.42682
6000,100,0.5,2.73,1.25,0.25,0.0125,500,60,0.1155,0.4274
7200,100,0.5,2.73,1.25,0.25,0.0125,500,72,0.114,0.42365
8400,100,0.5,2.73,1.25,0.25,0.0125,500,84,0.1115,0.42583
9600,100,0.5,2.73,1.25,0.25,0.0125,500,96,0.11875,0.4204
600,25,0.1,2.73,1.5,0.25,0.0125,500,24,0.11175,1.20897
1200,25,0.1,2.73,1.5,0.25,0.0125,500,48,0.11675,1.13032
1800,25,0.1,2.73,1.5,0.25,0.0125,500,72,0.12875,1.09301
2400,25,0.1,2.73,1.5,0.25,0.0125,500,96,0.113,1.08362
3600,25,0.1,2.73,1.5,0.25,0.0125,500,144,0.12575,1.05566
4800,25,0.1,2.73,1.5,0.25,0.0125,500,192,0.12275,1.05401
6000,25,0.1,2.73,1.5,0.25,0.0125,500,240,0.13925,1.0201
7200,25,0.1,2.73,1.5,0.25,0.0125,500,288,0.13575,1.00508
8400,25,0.1,2.73,1.5,0.25,0.0125,500,336,0.1305,1.01606
9600,25,0.1,2.73,1.5,0.25,0.0125,500,384,0.13725,1.00587
600,50,0.1,2.73,1.5,0.25,0.0125,500,12,0.13675,0.83055
1200,50,0.1,2.73,1.5,0.25,0.0125,500,24,0.158,0.75405
1800,50,0.1,2.73,1.5,0.25,0.0125,500,36,0.1635,0.71923
2400,50,0.1,2.73,1.5,0.25,0.0125,500,48,0.1825,0.69975
3600,50,0.1,2.73,1.5,0.25,0.0125,500,72,0.1895,0.68662
4800,50,0.1,2.73,1.5,0.25,0.0125,500,96,0.2015,0.66925
6000,50,0.1,2.73,1.5,0.25,0.0125,500,120,0.192,0.66537
7200,50,0.1,2.73,1.5,0.25,0.0125,500,144,0.20375,0.6634
8400,50,0.1,2.73,1.5,0.25,0.0125,500,168,0.20875,0.65879
9600,50,0.1,2.73,1.5,0.25,0.0125,500,192,0.2065,0.65379
600,100,0.1,2.73,1.5,0.25,0.0125,500,6,0.217,0.60668
1200,100,0.1,2.73,1.5,0.25,0.0125,500,12,0.27975,0.52677
1800,100,0.1,2.73,1.5,0.25,0.0125,500,18,0.313,0.50149
2400,100,0.1,2.73,1.5,0.25,0.0125,500,24,0.3345,0.48364
3600,100,0.1,2.73,1.5,0.25,0.0125,500,36,0.354,0.4661
4800,100,0.1,2.73,1.5,0.25,0.0125,500,48,0.358,0.45372
6000,100,0.1,2.73,1.5,0.25,0.0125,500,60,0.36625,0.44997
7200,100,0.1,2.73,1.5,0.25,0.0125,500,72,0.37875,0.4424
8400,100,0.1,2.73,1.5,0.25,0.0125,500,84,0.38225,0.43935
9600,100,0.1,2.73,1.5,0.25,0.0125,500,96,0.4015,0.44032
600,25,0.5,2.73,1.5,0.25,0.0125,500,24,0.12175,1.10171
1200,25,0.5,2.73,1.5,0.25,0.0125,500,48,0.12225,1.05085
1800,25,0.5,2.73,1.5,0.25,0.0125,500,72,0.13325,1.0259
2400,25,0.5,2.73,1.5,0.25,0.0125,500,96,0.12925,1.03149
3600,25,0.5,2.73,1.5,0.25,0.0125,500,144,0.128,1.00874
4800,25,0.5,2.73,1.5,0.25,0.0125,500,192,0.137,1.01073
6000,25,0.5,2.73,1.5,0.25,0.0125,500,240,0.1355,0.99034
7200,25,0.5,2.73,1.5,0.25,0.0125,500,288,0.13,0.99961
8400,25,0.5,2.73,1.5,0.25,0.0125,500,336,0.13675,0.99343
9600,25,0.5,2.73,1.5,0.25,0.0125,500,384,0.13525,0.99692
600,50,0.5,2.73,1.5,0.25,0.0125,500,12,0.16325,0.73388
1200,50,0.5,2.73,1.5,0.25,0.0125,500,24,0.1895,0.69119
1800,50,0.5,2.73,1.5,0.25,0.0125,500,36,0.19975,0.66529
2400,50,0.5,2.73,1.5,0.25,0.0125,500,48,0.205,0.66452
3600,50,0.5,2.73,1.5,0.25,0.0125,500,72,0.2115,0.64856
4800,50,0.5,2.73,1.5,0.25,0.0125,500,96,0.2115,0.64516
6000,50,0.5,2.73,1.5,0.25,0.0125,500,120,0.20825,0.64234
7200,50,0.5,2.73,1.5,0.25,0.0125,500,144,0.2125,0.63996
8400,50,0.5,2.73,1.5,0.25,0.0125,500,168,0.20775,0.64366
9600,50,0.5,2.73,1.5,0.25,0.0125,500,192,0.20275,0.63934
600,100,0.5,2.73,1.5,0.25,0.0125,500,6,0.288,0.51502
1200,100,0.5,2.73,1.5,0.25,0.0125,500,12,0.33475,0.47255
1800,100,0.5,2.73,1.5,0.25,0.0125,500,18,0.36225,0.45672
2400,100,0.5,2.73,1.5,0.25,0.0125,500,24,0.37875,0.44687
3600,100,0.5,2.73,1.5,0.25,0.0125,500,36,0.37975,0.43833
4800,100,0.5,2.73,1.5,0.25,0.0125,500,48,0.39575,0.43281
