n,p,or,r,alpha,n.sim,prop.drivers
1500,0.1,1.75,0.25,0.005,10,0.83
2000,0.1,1.75,0.25,0.005,10,0.92
2500,0.1,1.75,0.25,0.005,10,0.9
3000,0.1,1.75,0.25,0.005,10,0.94
500,0.15,1.75,0.25,0.005,10,0.56
1000,0.15,1.75,0.25,0.005,10,0.75
1500,0.15,1.75,0.25,0.005,10,0.86
2000,0.15,1.75,0.25,0.005,10,0.87
2500,0.15,1.75,0.25,0.005,10,0.9
3000,0.15,1.75,0.25,0.005,10,0.95
500,0.2,1.75,0.25,0.005,10,0.64
1000,0.2,1.75,0.25,0.005,10,0.75
1500,0.2,1.75,0.25,0.005,10,0.89
2000,0.2,1.75,0.25,0.005,10,0.93
2500,0.2,1.75,0.25,0.005,10,0.95
3000,0.2,1.75,0.25,0.005,10,0.96
500,0.25,1.75,0.25,0.005,10,0.7
1000,0.25,1.75,0.25,0.005,10,0.81
1500,0.25,1.75,0.25,0.005,10,0.89
2000,0.25,1.75,0.25,0.005,10,0.91
2500,0.25,1.75,0.25,0.005,10,0.95
3000,0.25,1.75,0.25,0.005,10,0.97
500,0.3,1.75,0.25,0.005,10,0.72
1000,0.3,1.75,0.25,0.005,10,0.83
1500,0.3,1.75,0.25,0.005,10,0.88
2000,0.3,1.75,0.25,0.005,10,0.93
2500,0.3,1.75,0.25,0.005,10,0.93
3000,0.3,1.75,0.25,0.005,10,0.97
500,0.05,2,0.25,0.005,10,0.55
1000,0.05,2,0.25,0.005,10,0.76
1500,0.05,2,0.25,0.005,10,0.83
2000,0.05,2,0.25,0.005,10,0.91
2500,0.05,2,0.25,0.005,10,0.92
3000,0.05,2,0.25,0.005,10,0.94
500,0.1,2,0.25,0.005,10,0.69
1000,0.1,2,0.25,0.005,10,0.83
1500,0.1,2,0.25,0.005,10,0.86
2000,0.1,2,0.25,0.005,10,0.92
2500,0.1,2,0.25,0.005,10,0.94
3000,0.1,2,0.25,0.005,10,0.96
500,0.15,2,0.25,0.005,10,0.73
1000,0.15,2,0.25,0.005,10,0.85
1500,0.15,2,0.25,0.005,10,0.91
2000,0.15,2,0.25,0.005,10,0.94
2500,0.15,2,0.25,0.005,10,0.99
3000,0.15,2,0.25,0.005,10,0.99
500,0.2,2,0.25,0.005,10,0.73
1000,0.2,2,0.25,0.005,10,0.85
1500,0.2,2,0.25,0.005,10,0.89
2000,0.2,2,0.25,0.005,10,0.95
2500,0.2,2,0.25,0.005,10,0.98
3000,0.2,2,0.25,0.005,10,0.97
500,0.25,2,0.25,0.005,10,0.74
1000,0.25,2,0.25,0.005,10,0.85
1500,0.25,2,0.25,0.005,10,0.91
2000,0.25,2,0.25,0.005,10,0.94
2500,0.25,2,0.25,0.005,10,0.96
3000,0.25,2,0.25,0.005,10,0.98
500,0.3,2,0.25,0.005,10,0.75
1000,0.3,2,0.25,0.005,10,0.87
1500,0.3,2,0.25,0.005,10,0.94
2000,0.3,2,0.25,0.005,10,0.96
2500,0.3,2,0.25,0.005,10,0.99
3000,0.3,2,0.25,0.005,10,0.99
