n,n.communities,p,community.var,or,r,alpha,n.sim,n.per.community,prop.drivers,or.margin.of.error
1000,25,0.1,2.73,1,0.25,0.0125,500,40,0.0425,1.10855
1500,25,0.1,2.73,1,0.25,0.0125,500,60,0.0315,1.07834
2000,25,0.1,2.73,1,0.25,0.0125,500,80,0.03075,1.06534
2500,25,0.1,2.73,1,0.25,0.0125,500,100,0.0325,1.05744
3000,25,0.1,2.73,1,0.25,0.0125,500,120,0.03175,1.06264
1000,50,0.1,2.73,1,0.25,0.0125,500,20,0.02525,0.73855
1500,50,0.1,2.73,1,0.25,0.0125,500,30,0.0205,0.71229
2000,50,0.1,2.73,1,0.25,0.0125,500,40,0.02275,0.69287
2500,50,0.1,2.73,1,0.25,0.0125,500,50,0.02175,0.68522
3000,50,0.1,2.73,1,0.25,0.0125,500,60,0.0225,0.67739
1000,100,0.1,2.73,1,0.25,0.0125,500,10,0.02425,0.52235
1500,100,0.1,2.73,1,0.25,0.0125,500,15,0.0195,0.49413
2000,100,0.1,2.73,1,0.25,0.0125,500,20,0.01625,0.47084
2500,100,0.1,2.73,1,0.25,0.0125,500,25,0.0175,0.46473
3000,100,0.1,2.73,1,0.25,0.0125,500,30,0.01375,0.45911
1000,25,0.5,2.73,1,0.25,0.0125,500,40,0.035,1.05337
1500,25,0.5,2.73,1,0.25,0.0125,500,60,0.0345,1.01965
2000,25,0.5,2.73,1,0.25,0.0125,500,80,0.0315,1.0206
2500,25,0.5,2.73,1,0.25,0.0125,500,100,0.03325,1.01423
3000,25,0.5,2.73,1,0.25,0.0125,500,120,0.0415,0.99412
1000,50,0.5,2.73,1,0.25,0.0125,500,20,0.0245,0.68641
1500,50,0.5,2.73,1,0.25,0.0125,500,30,0.02175,0.66756
2000,50,0.5,2.73,1,0.25,0.0125,500,40,0.02225,0.66141
2500,50,0.5,2.73,1,0.25,0.0125,500,50,0.01725,0.65671
3000,50,0.5,2.73,1,0.25,0.0125,500,60,0.02025,0.65026
1000,100,0.5,2.73,1,0.25,0.0125,500,10,0.01975,0.46733
1500,100,0.5,2.73,1,0.25,0.0125,500,15,0.01275,0.45062
2000,100,0.5,2.73,1,0.25,0.0125,500,20,0.015,0.44138
2500,100,0.5,2.73,1,0.25,0.0125,500,25,0.02075,0.4352
3000,100,0.5,2.73,1,0.25,0.0125,500,30,0.01575,0.4327
1000,25,0.1,2.73,1.25,0.25,0.0125,500,40,0.06525,1.12655
1500,25,0.1,2.73,1.25,0.25,0.0125,500,60,0.0615,1.0796
2000,25,0.1,2.73,1.25,0.25,0.0125,500,80,0.07,1.07399
2500,25,0.1,2.73,1.25,0.25,0.0125,500,100,0.053,1.06746
3000,25,0.1,2.73,1.25,0.25,0.0125,500,120,0.06225,1.04526
1000,50,0.1,2.73,1.25,0.25,0.0125,500,20,0.06125,0.75136
1500,50,0.1,2.73,1.25,0.25,0.0125,500,30,0.06525,0.72089
2000,50,0.1,2.73,1.25,0.25,0.0125,500,40,0.06425,0.70181
