n,n.communities,p,community.var,or,r,alpha.i,alpha.c,n.sim,n.per.community,prop.drivers.i,prop.drivers.c,or.margin.of.error.i,or.margin.of.error.c
400,25,0.5,2.73,1.25,0.25,0.01,0.0125,5,16,0.12,0.05,0.4182,0.96058
800,25,0.5,2.73,1.25,0.25,0.01,0.0125,5,32,0.36,0.05,0.28445,1.03007
1300,25,0.5,2.73,1.25,0.25,0.01,0.0125,5,52,0.44,0.05,0.20144,0.90193
1700,25,0.5,2.73,1.25,0.25,0.01,0.0125,5,68,0.72,0,0.17819,0.98637
2500,25,0.5,2.73,1.25,0.25,0.01,0.0125,5,100,0.76,0.1,0.15182,1.11089
3400,25,0.5,2.73,1.25,0.25,0.01,0.0125,5,136,0.84,0.05,0.12917,1.1625
4200,25,0.5,2.73,1.25,0.25,0.01,0.0125,5,168,0.92,0.15,0.11345,1.107
5000,25,0.5,2.73,1.25,0.25,0.01,0.0125,5,200,0.92,0.15,0.10364,0.89963
5900,25,0.5,2.73,1.25,0.25,0.01,0.0125,5,236,0.84,0.05,0.09721,1.06295
6700,25,0.5,2.73,1.25,0.25,0.01,0.0125,5,268,0.84,0.1,0.08631,0.85232
400,50,0.5,2.73,1.25,0.25,0.01,0.0125,5,8,0.16,0.05,0.42876,0.70764
800,50,0.5,2.73,1.25,0.25,0.01,0.0125,5,16,0.32,0,0.28939,0.72009
1300,50,0.5,2.73,1.25,0.25,0.01,0.0125,5,26,0.52,0.05,0.21368,0.66925
1700,50,0.5,2.73,1.25,0.25,0.01,0.0125,5,34,0.6,0.05,0.18286,0.6444
2500,50,0.5,2.73,1.25,0.25,0.01,0.0125,5,50,0.68,0,0.14978,0.69171
3400,50,0.5,2.73,1.25,0.25,0.01,0.0125,5,68,0.84,0.05,0.12735,0.63944
4200,50,0.5,2.73,1.25,0.25,0.01,0.0125,5,84,0.84,0,0.11117,0.63185
5000,50,0.5,2.73,1.25,0.25,0.01,0.0125,5,100,0.88,0.1,0.10287,0.68616
5900,50,0.5,2.73,1.25,0.25,0.01,0.0125,5,118,0.84,0.05,0.09511,0.70279
6700,50,0.5,2.73,1.25,0.25,0.01,0.0125,5,134,0.96,0.15,0.08796,0.66058
400,100,0.5,2.73,1.25,0.25,0.01,0.0125,5,4,0.04,0.05,0.44096,0.49591
800,100,0.5,2.73,1.25,0.25,0.01,0.0125,5,8,0.2,0.05,0.28032,0.43356
1300,100,0.5,2.73,1.25,0.25,0.01,0.0125,5,13,0.4,0.2,0.21768,0.44172
1700,100,0.5,2.73,1.25,0.25,0.01,0.0125,5,17,0.68,0.1,0.18635,0.44274
2500,100,0.5,2.73,1.25,0.25,0.01,0.0125,5,25,0.84,0.15,0.15144,0.44591
3400,100,0.5,2.73,1.25,0.25,0.01,0.0125,5,34,0.84,0.1,0.12747,0.45288
4200,100,0.5,2.73,1.25,0.25,0.01,0.0125,5,42,0.84,0.1,0.11363,0.44422
5000,100,0.5,2.73,1.25,0.25,0.01,0.0125,5,50,0.96,0.15,0.10293,0.42765
5900,100,0.5,2.73,1.25,0.25,0.01,0.0125,5,59,0.88,0.15,0.0941,0.42763
6700,100,0.5,2.73,1.25,0.25,0.01,0.0125,5,67,0.92,0.05,0.08832,0.4516
400,25,0.5,2.73,1.5,0.25,0.01,0.0125,5,16,0.4,0.05,0.45287,1.17703
800,25,0.5,2.73,1.5,0.25,0.01,0.0125,5,32,0.8,0.1,0.30113,1.06191
1300,25,0.5,2.73,1.5,0.25,0.01,0.0125,5,52,0.84,0.05,0.22499,0.87672
1700,25,0.5,2.73,1.5,0.25,0.01,0.0125,5,68,0.92,0.1,0.19584,1.17542
2500,25,0.5,2.73,1.5,0.25,0.01,0.0125,5,100,0.92,0.15,0.16152,1.17138
3400,25,0.5,2.73,1.5,0.25,0.01,0.0125,5,136,0.92,0.2,0.13472,0.92967
4200,25,0.5,2.73,1.5,0.25,0.01,0.0125,5,168,1,0.2,0.11815,0.90737
5000,25,0.5,2.73,1.5,0.25,0.01,0.0125,5,200,1,0.15,0.1085,1.0296
5900,25,0.5,2.73,1.5,0.25,0.01,0.0125,5,236,1,0.25,0.10049,0.97211
6700,25,0.5,2.73,1.5,0.25,0.01,0.0125,5,268,1,0.15,0.095,1.01558
400,50,0.5,2.73,1.5,0.25,0.01,0.0125,5,8,0.36,0.15,0.52206,1.00984
800,50,0.5,2.73,1.5,0.25,0.01,0.0125,5,16,0.68,0.2,0.30069,0.61442
1300,50,0.5,2.73,1.5,0.25,0.01,0.0125,5,26,0.8,0.25,0.22809,0.63937
1700,50,0.5,2.73,1.5,0.25,0.01,0.0125,5,34,0.8,0.3,0.2004,0.68485
2500,50,0.5,2.73,1.5,0.25,0.01,0.0125,5,50,0.88,0.4,0.16038,0.57725
3400,50,0.5,2.73,1.5,0.25,0.01,0.0125,5,68,0.92,0.25,0.13734,0.69581
4200,50,0.5,2.73,1.5,0.25,0.01,0.0125,5,84,0.92,0.4,0.11988,0.58247
5000,50,0.5,2.73,1.5,0.25,0.01,0.0125,5,100,0.96,0.5,0.1083,0.57114
5900,50,0.5,2.73,1.5,0.25,0.01,0.0125,5,118,1,0.05,0.10083,0.64439
6700,50,0.5,2.73,1.5,0.25,0.01,0.0125,5,134,0.96,0.2,0.09624,0.62505
400,100,0.5,2.73,1.5,0.25,0.01,0.0125,5,4,0.36,0.35,0.53914,0.65241
800,100,0.5,2.73,1.5,0.25,0.01,0.0125,5,8,0.68,0.4,0.32066,0.5007
