n,n.communities,p,community.var,or,r,alpha,n.sim,n.per.community,prop.drivers,or.margin.of.error
1000,25,0.1,2.73,1,0.25,0.0125,500,40,0.03725,1.09041
1500,25,0.1,2.73,1,0.25,0.0125,500,60,0.038,1.06666
2000,25,0.1,2.73,1,0.25,0.0125,500,80,0.0355,1.04362
2500,25,0.1,2.73,1,0.25,0.0125,500,100,0.0365,1.04384
3000,25,0.1,2.73,1,0.25,0.0125,500,120,0.0455,1.03746
1000,50,0.1,2.73,1,0.25,0.0125,500,20,0.02025,0.73707
1500,50,0.1,2.73,1,0.25,0.0125,500,30,0.0245,0.71494
2000,50,0.1,2.73,1,0.25,0.0125,500,40,0.0225,0.69338
2500,50,0.1,2.73,1,0.25,0.0125,500,50,0.02175,0.68048
3000,50,0.1,2.73,1,0.25,0.0125,500,60,0.02525,0.67857
1000,100,0.1,2.73,1,0.25,0.0125,500,10,0.01675,0.52045
1500,100,0.1,2.73,1,0.25,0.0125,500,15,0.01825,0.49145
2000,100,0.1,2.73,1,0.25,0.0125,500,20,0.0175,0.47687
2500,100,0.1,2.73,1,0.25,0.0125,500,25,0.01675,0.46641
3000,100,0.1,2.73,1,0.25,0.0125,500,30,0.01775,0.45996
1000,25,0.5,2.73,1,0.25,0.0125,500,40,0.03075,1.03527
1500,25,0.5,2.73,1,0.25,0.0125,500,60,0.03525,1.01613
2000,25,0.5,2.73,1,0.25,0.0125,500,80,0.034,1.01575
2500,25,0.5,2.73,1,0.25,0.0125,500,100,0.03425,0.99823
3000,25,0.5,2.73,1,0.25,0.0125,500,120,0.03375,1.00872
1000,50,0.5,2.73,1,0.25,0.0125,500,20,0.01825,0.68244
1500,50,0.5,2.73,1,0.25,0.0125,500,30,0.0215,0.66316
2000,50,0.5,2.73,1,0.25,0.0125,500,40,0.01975,0.65834
2500,50,0.5,2.73,1,0.25,0.0125,500,50,0.02075,0.65199
3000,50,0.5,2.73,1,0.25,0.0125,500,60,0.02225,0.64988
1000,100,0.5,2.73,1,0.25,0.0125,500,10,0.02,0.46445
1500,100,0.5,2.73,1,0.25,0.0125,500,15,0.01525,0.45143
2000,100,0.5,2.73,1,0.25,0.0125,500,20,0.0195,0.44039
2500,100,0.5,2.73,1,0.25,0.0125,500,25,0.0175,0.43684
3000,100,0.5,2.73,1,0.25,0.0125,500,30,0.0195,0.43262
1000,25,0.1,2.73,1.25,0.25,0.0125,500,40,0.05875,1.12593
1500,25,0.1,2.73,1.25,0.25,0.0125,500,60,0.065,1.07909
2000,25,0.1,2.73,1.25,0.25,0.0125,500,80,0.0635,1.08112
2500,25,0.1,2.73,1.25,0.25,0.0125,500,100,0.05975,1.05844
3000,25,0.1,2.73,1.25,0.25,0.0125,500,120,0.063,1.04166
1000,50,0.1,2.73,1.25,0.25,0.0125,500,20,0.05775,0.74703
1500,50,0.1,2.73,1.25,0.25,0.0125,500,30,0.055,0.71654
2000,50,0.1,2.73,1.25,0.25,0.0125,500,40,0.06275,0.6974
2500,50,0.1,2.73,1.25,0.25,0.0125,500,50,0.06375,0.69389
3000,50,0.1,2.73,1.25,0.25,0.0125,500,60,0.06475,0.68168
1000,100,0.1,2.73,1.25,0.25,0.0125,500,10,0.07775,0.52512
1500,100,0.1,2.73,1.25,0.25,0.0125,500,15,0.085,0.50385
2000,100,0.1,2.73,1.25,0.25,0.0125,500,20,0.09575,0.4809
2500,100,0.1,2.73,1.25,0.25,0.0125,500,25,0.09575,0.4689
3000,100,0.1,2.73,1.25,0.25,0.0125,500,30,0.095,0.46611
1000,25,0.5,2.73,1.25,0.25,0.0125,500,40,0.0685,1.05216
1500,25,0.5,2.73,1.25,0.25,0.0125,500,60,0.0565,1.04179
2000,25,0.5,2.73,1.25,0.25,0.0125,500,80,0.06,1.02474
2500,25,0.5,2.73,1.25,0.25,0.0125,500,100,0.06325,1.00889
3000,25,0.5,2.73,1.25,0.25,0.0125,500,120,0.06625,1.00903
1000,50,0.5,2.73,1.25,0.25,0.0125,500,20,0.0665,0.68597
1500,50,0.5,2.73,1.25,0.25,0.0125,500,30,0.072,0.66278
