n,p,or,r,alpha,n.sim,prop.drivers
600,0.1,1.25,0.25,0.005,500,0.0686
1200,0.1,1.25,0.25,0.005,500,0.1782
1800,0.1,1.25,0.25,0.005,500,0.3066
2400,0.1,1.25,0.25,0.005,500,0.4318
3600,0.1,1.25,0.25,0.005,500,0.6118
4800,0.1,1.25,0.25,0.005,500,0.6954
6000,0.1,1.25,0.25,0.005,500,0.7526
7200,0.1,1.25,0.25,0.005,500,0.78
8400,0.1,1.25,0.25,0.005,500,0.8022
9600,0.1,1.25,0.25,0.005,500,0.8268
600,0.2,1.25,0.25,0.005,500,0.1318
1200,0.2,1.25,0.25,0.005,500,0.3244
1800,0.2,1.25,0.25,0.005,500,0.5048
2400,0.2,1.25,0.25,0.005,500,0.6308
3600,0.2,1.25,0.25,0.005,500,0.7506
4800,0.2,1.25,0.25,0.005,500,0.7992
6000,0.2,1.25,0.25,0.005,500,0.8316
7200,0.2,1.25,0.25,0.005,500,0.864
8400,0.2,1.25,0.25,0.005,500,0.8788
9600,0.2,1.25,0.25,0.005,500,0.9072
600,0.3,1.25,0.25,0.005,500,0.1782
1200,0.3,1.25,0.25,0.005,500,0.422
1800,0.3,1.25,0.25,0.005,500,0.6024
2400,0.3,1.25,0.25,0.005,500,0.7018
3600,0.3,1.25,0.25,0.005,500,0.7922
4800,0.3,1.25,0.25,0.005,500,0.836
6000,0.3,1.25,0.25,0.005,500,0.8706
7200,0.3,1.25,0.25,0.005,500,0.9034
8400,0.3,1.25,0.25,0.005,500,0.9266
9600,0.3,1.25,0.25,0.005,500,0.942
600,0.1,1.5,0.25,0.005,500,0.3452
1200,0.1,1.5,0.25,0.005,500,0.6406
1800,0.1,1.5,0.25,0.005,500,0.7506
2400,0.1,1.5,0.25,0.005,500,0.7944
3600,0.1,1.5,0.25,0.005,500,0.8588
4800,0.1,1.5,0.25,0.005,500,0.8986
6000,0.1,1.5,0.25,0.005,500,0.9334
7200,0.1,1.5,0.25,0.005,500,0.9542
8400,0.1,1.5,0.25,0.005,500,0.9692
9600,0.1,1.5,0.25,0.005,500,0.982
600,0.2,1.5,0.25,0.005,500,0.484
1200,0.2,1.5,0.25,0.005,500,0.7422
1800,0.2,1.5,0.25,0.005,500,0.8092
2400,0.2,1.5,0.25,0.005,500,0.851
3600,0.2,1.5,0.25,0.005,500,0.9134
4800,0.2,1.5,0.25,0.005,500,0.9574
6000,0.2,1.5,0.25,0.005,500,0.9772
7200,0.2,1.5,0.25,0.005,500,0.9876
8400,0.2,1.5,0.25,0.005,500,0.9944
9600,0.2,1.5,0.25,0.005,500,0.9972
600,0.3,1.5,0.25,0.005,500,0.5536
1200,0.3,1.5,0.25,0.005,500,0.769
1800,0.3,1.5,0.25,0.005,500,0.8378
2400,0.3,1.5,0.25,0.005,500,0.88
3600,0.3,1.5,0.25,0.005,500,0.9442
4800,0.3,1.5,0.25,0.005,500,0.9764
6000,0.3,1.5,0.25,0.005,500,0.9894
7200,0.3,1.5,0.25,0.005,500,0.9946
8400,0.3,1.5,0.25,0.005,500,0.9986
9600,0.3,1.5,0.25,0.005,500,0.9998
600,0.1,1.75,0.25,0.005,500,0.6046
1200,0.1,1.75,0.25,0.005,500,0.7858
1800,0.1,1.75,0.25,0.005,500,0.8462
2400,0.1,1.75,0.25,0.005,500,0.8864
3600,0.1,1.75,0.25,0.005,500,0.9446
4800,0.1,1.75,0.25,0.005,500,0.9766
6000,0.1,1.75,0.25,0.005,500,0.9856
7200,0.1,1.75,0.25,0.005,500,0.9942
8400,0.1,1.75,0.25,0.005,500,0.9978
9600,0.1,1.75,0.25,0.005,500,0.9998
600,0.2,1.75,0.25,0.005,500,0.69
1200,0.2,1.75,0.25,0.005,500,0.8284
1800,0.2,1.75,0.25,0.005,500,0.8924
2400,0.2,1.75,0.25,0.005,500,0.9388
3600,0.2,1.75,0.25,0.005,500,0.9772
4800,0.2,1.75,0.25,0.005,500,0.9928
6000,0.2,1.75,0.25,0.005,500,0.9982
7200,0.2,1.75,0.25,0.005,500,0.999
8400,0.2,1.75,0.25,0.005,500,0.9996
9600,0.2,1.75,0.25,0.005,500,1
600,0.3,1.75,0.25,0.005,500,0.7252
1200,0.3,1.75,0.25,0.005,500,0.8428
1800,0.3,1.75,0.25,0.005,500,0.9126
2400,0.3,1.75,0.25,0.005,500,0.9552
3600,0.3,1.75,0.25,0.005,500,0.988
4800,0.3,1.75,0.25,0.005,500,0.9964
6000,0.3,1.75,0.25,0.005,500,0.9996
7200,0.3,1.75,0.25,0.005,500,0.9998
8400,0.3,1.75,0.25,0.005,500,1
9600,0.3,1.75,0.25,0.005,500,1
600,0.1,2,0.25,0.005,500,0.72
1200,0.1,2,0.25,0.005,500,0.8404
1800,0.1,2,0.25,0.005,500,0.8984
2400,0.1,2,0.25,0.005,500,0.9382
3600,0.1,2,0.25,0.005,500,0.9834
4800,0.1,2,0.25,0.005,500,0.9948
6000,0.1,2,0.25,0.005,500,0.9986
7200,0.1,2,0.25,0.005,500,1
8400,0.1,2,0.25,0.005,500,1
9600,0.1,2,0.25,0.005,500,1
600,0.2,2,0.25,0.005,500,0.764
1200,0.2,2,0.25,0.005,500,0.878
1800,0.2,2,0.25,0.005,500,0.9336
2400,0.2,2,0.25,0.005,500,0.9696
3600,0.2,2,0.25,0.005,500,0.9944
4800,0.2,2,0.25,0.005,500,0.999
6000,0.2,2,0.25,0.005,500,0.9998
7200,0.2,2,0.25,0.005,500,1
8400,0.2,2,0.25,0.005,500,1
9600,0.2,2,0.25,0.005,500,1
600,0.3,2,0.25,0.005,500,0.788
1200,0.3,2,0.25,0.005,500,0.8938
1800,0.3,2,0.25,0.005,500,0.9546
2400,0.3,2,0.25,0.005,500,0.9828
3600,0.3,2,0.25,0.005,500,0.9968
4800,0.3,2,0.25,0.005,500,0.9998
6000,0.3,2,0.25,0.005,500,1
7200,0.3,2,0.25,0.005,500,1
8400,0.3,2,0.25,0.005,500,1
9600,0.3,2,0.25,0.005,500,1
