n,p,or,r,alpha,n.sim,prop.drivers
600,0.1,1.25,0.25,0.005,50,0.054
1200,0.1,1.25,0.25,0.005,50,0.164
1800,0.1,1.25,0.25,0.005,50,0.286
2400,0.1,1.25,0.25,0.005,50,0.41
3600,0.1,1.25,0.25,0.005,50,0.582
4800,0.1,1.25,0.25,0.005,50,0.71
6000,0.1,1.25,0.25,0.005,50,0.752
7200,0.1,1.25,0.25,0.005,50,0.788
8400,0.1,1.25,0.25,0.005,50,0.808
9600,0.1,1.25,0.25,0.005,50,0.84
600,0.2,1.25,0.25,0.005,50,0.14
1200,0.2,1.25,0.25,0.005,50,0.338
1800,0.2,1.25,0.25,0.005,50,0.498
2400,0.2,1.25,0.25,0.005,50,0.626
3600,0.2,1.25,0.25,0.005,50,0.76
4800,0.2,1.25,0.25,0.005,50,0.816
6000,0.2,1.25,0.25,0.005,50,0.834
7200,0.2,1.25,0.25,0.005,50,0.852
8400,0.2,1.25,0.25,0.005,50,0.904
9600,0.2,1.25,0.25,0.005,50,0.916
600,0.3,1.25,0.25,0.005,50,0.188
1200,0.3,1.25,0.25,0.005,50,0.426
1800,0.3,1.25,0.25,0.005,50,0.564
2400,0.3,1.25,0.25,0.005,50,0.72
3600,0.3,1.25,0.25,0.005,50,0.792
4800,0.3,1.25,0.25,0.005,50,0.85
6000,0.3,1.25,0.25,0.005,50,0.848
7200,0.3,1.25,0.25,0.005,50,0.882
8400,0.3,1.25,0.25,0.005,50,0.93
9600,0.3,1.25,0.25,0.005,50,0.93
600,0.1,1.5,0.25,0.005,50,0.342
1200,0.1,1.5,0.25,0.005,50,0.638
1800,0.1,1.5,0.25,0.005,50,0.758
2400,0.1,1.5,0.25,0.005,50,0.81
3600,0.1,1.5,0.25,0.005,50,0.866
4800,0.1,1.5,0.25,0.005,50,0.92
6000,0.1,1.5,0.25,0.005,50,0.938
7200,0.1,1.5,0.25,0.005,50,0.958
8400,0.1,1.5,0.25,0.005,50,0.986
9600,0.1,1.5,0.25,0.005,50,0.982
600,0.2,1.5,0.25,0.005,50,0.516
1200,0.2,1.5,0.25,0.005,50,0.756
1800,0.2,1.5,0.25,0.005,50,0.808
2400,0.2,1.5,0.25,0.005,50,0.844
3600,0.2,1.5,0.25,0.005,50,0.914
4800,0.2,1.5,0.25,0.005,50,0.946
6000,0.2,1.5,0.25,0.005,50,0.98
7200,0.2,1.5,0.25,0.005,50,0.992
8400,0.2,1.5,0.25,0.005,50,0.994
9600,0.2,1.5,0.25,0.005,50,0.998
600,0.3,1.5,0.25,0.005,50,0.554
1200,0.3,1.5,0.25,0.005,50,0.766
1800,0.3,1.5,0.25,0.005,50,0.83
2400,0.3,1.5,0.25,0.005,50,0.88
3600,0.3,1.5,0.25,0.005,50,0.938
4800,0.3,1.5,0.25,0.005,50,0.98
6000,0.3,1.5,0.25,0.005,50,0.992
7200,0.3,1.5,0.25,0.005,50,0.996
8400,0.3,1.5,0.25,0.005,50,0.996
9600,0.3,1.5,0.25,0.005,50,1
600,0.1,1.75,0.25,0.005,50,0.632
1200,0.1,1.75,0.25,0.005,50,0.788
1800,0.1,1.75,0.25,0.005,50,0.83
2400,0.1,1.75,0.25,0.005,50,0.904
3600,0.1,1.75,0.25,0.005,50,0.948
