n,n.neg,p,or,r,alpha,n.sim,prop.drivers,n.pos
2400,240,0.5,1.25,0.25,0.005,50,0.33,1132
2400,360,0.5,1.25,0.25,0.005,50,0.474,1130
2400,480,0.5,1.25,0.25,0.005,50,0.556,1129
2400,600,0.5,1.25,0.25,0.005,50,0.626,1131
2400,720,0.5,1.25,0.25,0.005,50,0.67,1133
2400,840,0.5,1.25,0.25,0.005,50,0.672,1133
2400,960,0.5,1.25,0.25,0.005,50,0.726,1136
2400,1080,0.5,1.25,0.25,0.005,50,0.732,1123
2400,1200,0.5,1.25,0.25,0.005,50,0.756,1130
2400,240,0.5,1.5,0.25,0.005,50,0.738,1102
2400,360,0.5,1.5,0.25,0.005,50,0.794,1093
2400,480,0.5,1.5,0.25,0.005,50,0.816,1098
2400,600,0.5,1.5,0.25,0.005,50,0.816,1095
2400,720,0.5,1.5,0.25,0.005,50,0.836,1101
2400,840,0.5,1.5,0.25,0.005,50,0.898,1092
2400,960,0.5,1.5,0.25,0.005,50,0.884,1097
2400,1080,0.5,1.5,0.25,0.005,50,0.896,1100
2400,1200,0.5,1.5,0.25,0.005,50,0.914,1096
2400,240,0.5,1.75,0.25,0.005,50,0.814,1073
2400,360,0.5,1.75,0.25,0.005,50,0.878,1073
2400,480,0.5,1.75,0.25,0.005,50,0.894,1085
2400,600,0.5,1.75,0.25,0.005,50,0.932,1081
2400,720,0.5,1.75,0.25,0.005,50,0.936,1082
2400,840,0.5,1.75,0.25,0.005,50,0.962,1081
2400,960,0.5,1.75,0.25,0.005,50,0.958,1084
2400,1080,0.5,1.75,0.25,0.005,50,0.97,1078
2400,1200,0.5,1.75,0.25,0.005,50,0.964,1072
2400,240,0.5,2,0.25,0.005,50,0.88,1072
2400,360,0.5,2,0.25,0.005,50,0.908,1066
2400,480,0.5,2,0.25,0.005,50,0.944,1067
2400,600,0.5,2,0.25,0.005,50,0.95,1078
2400,720,0.5,2,0.25,0.005,50,0.976,1069
2400,840,0.5,2,0.25,0.005,50,0.972,1076
2400,960,0.5,2,0.25,0.005,50,0.99,1075
2400,1080,0.5,2,0.25,0.005,50,0.982,1072
2400,1200,0.5,2,0.25,0.005,50,0.994,1074
