n,p,or,r,alpha,n.sim,prop.drivers
600,0.1,1.25,0.25,0.005,50,0.058
1200,0.1,1.25,0.25,0.005,50,0.2
1800,0.1,1.25,0.25,0.005,50,0.308
2400,0.1,1.25,0.25,0.005,50,0.41
3600,0.1,1.25,0.25,0.005,50,0.606
4800,0.1,1.25,0.25,0.005,50,0.706
6000,0.1,1.25,0.25,0.005,50,0.776
7200,0.1,1.25,0.25,0.005,50,0.766
8400,0.1,1.25,0.25,0.005,50,0.814
9600,0.1,1.25,0.25,0.005,50,0.826
600,0.2,1.25,0.25,0.005,50,0.124
1200,0.2,1.25,0.25,0.005,50,0.332
1800,0.2,1.25,0.25,0.005,50,0.5
2400,0.2,1.25,0.25,0.005,50,0.604
3600,0.2,1.25,0.25,0.005,50,0.75
4800,0.2,1.25,0.25,0.005,50,0.808
6000,0.2,1.25,0.25,0.005,50,0.844
7200,0.2,1.25,0.25,0.005,50,0.848
8400,0.2,1.25,0.25,0.005,50,0.88
9600,0.2,1.25,0.25,0.005,50,0.894
600,0.3,1.25,0.25,0.005,50,0.17
1200,0.3,1.25,0.25,0.005,50,0.436
1800,0.3,1.25,0.25,0.005,50,0.596
2400,0.3,1.25,0.25,0.005,50,0.69
3600,0.3,1.25,0.25,0.005,50,0.772
4800,0.3,1.25,0.25,0.005,50,0.84
6000,0.3,1.25,0.25,0.005,50,0.872
7200,0.3,1.25,0.25,0.005,50,0.888
8400,0.3,1.25,0.25,0.005,50,0.932
9600,0.3,1.25,0.25,0.005,50,0.95
600,0.1,1.5,0.25,0.005,50,0.366
1200,0.1,1.5,0.25,0.005,50,0.644
1800,0.1,1.5,0.25,0.005,50,0.76
2400,0.1,1.5,0.25,0.005,50,0.794
3600,0.1,1.5,0.25,0.005,50,0.854
4800,0.1,1.5,0.25,0.005,50,0.86
6000,0.1,1.5,0.25,0.005,50,0.946
7200,0.1,1.5,0.25,0.005,50,0.962
8400,0.1,1.5,0.25,0.005,50,0.968
