n,n.communities,p,community.var,or,r,alpha.i,alpha.c,n.sim,n.per.community,n.real,prop.drivers.i,prop.drivers.c,or.margin.of.error.i,or.margin.of.error.c
800,20,0.5,2.73,1.25,0.25,0.01,0.0125,500,40,800,0.3184,0.064,0.28173,1.25112
900,20,0.5,2.73,1.25,0.25,0.01,0.0125,500,45,900,0.3608,0.0645,0.2624,1.24515
1000,20,0.5,2.73,1.25,0.25,0.01,0.0125,500,50,1000,0.4036,0.0675,0.2463,1.22629
1100,20,0.5,2.73,1.25,0.25,0.01,0.0125,500,55,1100,0.4632,0.07,0.23399,1.22904
1100,20,0.5,2.73,1.25,0.25,0.01,0.0125,500,55,1100,0.4584,0.079,0.2338,1.20912
1200,20,0.5,2.73,1.25,0.25,0.01,0.0125,500,60,1200,0.508,0.077,0.22214,1.20681
1300,20,0.5,2.73,1.25,0.25,0.01,0.0125,500,65,1300,0.5496,0.0715,0.21172,1.20087
1300,20,0.5,2.73,1.25,0.25,0.01,0.0125,500,65,1300,0.5432,0.075,0.2109,1.20513
1400,20,0.5,2.73,1.25,0.25,0.01,0.0125,500,70,1400,0.5664,0.077,0.20251,1.17562
800,22,0.5,2.73,1.25,0.25,0.01,0.0125,500,37,814,0.3192,0.062,0.27908,1.19586
900,22,0.5,2.73,1.25,0.25,0.01,0.0125,500,41,902,0.3672,0.0575,0.26217,1.16256
1000,22,0.5,2.73,1.25,0.25,0.01,0.0125,500,46,1012,0.4376,0.067,0.24348,1.10967
1100,22,0.5,2.73,1.25,0.25,0.01,0.0125,500,50,1100,0.4408,0.066,0.23248,1.12336
1100,22,0.5,2.73,1.25,0.25,0.01,0.0125,500,50,1100,0.442,0.062,0.23415,1.14366
1200,22,0.5,2.73,1.25,0.25,0.01,0.0125,500,55,1210,0.4936,0.0645,0.22151,1.15613
1300,22,0.5,2.73,1.25,0.25,0.01,0.0125,500,60,1320,0.5372,0.057,0.20949,1.10883
1300,22,0.5,2.73,1.25,0.25,0.01,0.0125,500,60,1320,0.556,0.0745,0.20997,1.13111
1400,22,0.5,2.73,1.25,0.25,0.01,0.0125,500,64,1408,0.5752,0.064,0.20241,1.11695
800,24,0.5,2.73,1.25,0.25,0.01,0.0125,500,34,816,0.3168,0.061,0.27674,1.09233
900,24,0.5,2.73,1.25,0.25,0.01,0.0125,500,38,912,0.3596,0.0605,0.25952,1.06631
1000,24,0.5,2.73,1.25,0.25,0.01,0.0125,500,42,1008,0.416,0.065,0.24537,1.06965
1100,24,0.5,2.73,1.25,0.25,0.01,0.0125,500,46,1104,0.4512,0.0555,0.23393,1.10227
1100,24,0.5,2.73,1.25,0.25,0.01,0.0125,500,46,1104,0.46,0.0705,0.23324,1.07773
1200,24,0.5,2.73,1.25,0.25,0.01,0.0125,500,50,1200,0.4804,0.071,0.22224,1.07372
1300,24,0.5,2.73,1.25,0.25,0.01,0.0125,500,55,1320,0.5316,0.057,0.20991,1.06946
