n,p,or,r,alpha,n.sim,prop.drivers
1000,0.05,1,0.25,0.005,1000,0.0043
1500,0.05,1,0.25,0.005,1000,0.0039
2000,0.05,1,0.25,0.005,1000,0.0058
2500,0.05,1,0.25,0.005,1000,0.0051
3000,0.05,1,0.25,0.005,1000,0.0051
1000,0.1,1,0.25,0.005,1000,0.0049
1500,0.1,1,0.25,0.005,1000,0.0059
2000,0.1,1,0.25,0.005,1000,0.0063
2500,0.1,1,0.25,0.005,1000,0.0055
3000,0.1,1,0.25,0.005,1000,0.0053
1000,0.15,1,0.25,0.005,1000,0.0066
1500,0.15,1,0.25,0.005,1000,0.0043
2000,0.15,1,0.25,0.005,1000,0.0044
2500,0.15,1,0.25,0.005,1000,0.0052
3000,0.15,1,0.25,0.005,1000,0.0045
1000,0.2,1,0.25,0.005,1000,0.0052
1500,0.2,1,0.25,0.005,1000,0.0035
2000,0.2,1,0.25,0.005,1000,0.0046
2500,0.2,1,0.25,0.005,1000,0.0058
3000,0.2,1,0.25,0.005,1000,0.006
1000,0.25,1,0.25,0.005,1000,0.005
1500,0.25,1,0.25,0.005,1000,0.0052
2000,0.25,1,0.25,0.005,1000,0.0054
2500,0.25,1,0.25,0.005,1000,0.0052
3000,0.25,1,0.25,0.005,1000,0.0037
1000,0.3,1,0.25,0.005,1000,0.0031
1500,0.3,1,0.25,0.005,1000,0.0045
2000,0.3,1,0.25,0.005,1000,0.005
2500,0.3,1,0.25,0.005,1000,0.0049
3000,0.3,1,0.25,0.005,1000,0.0052
1000,0.05,1.25,0.25,0.005,1000,0.0666
1500,0.05,1.25,0.25,0.005,1000,0.1174
2000,0.05,1.25,0.25,0.005,1000,0.1716
2500,0.05,1.25,0.25,0.005,1000,0.2354
3000,0.05,1.25,0.25,0.005,1000,0.2939
1000,0.1,1.25,0.25,0.005,1000,0.1393
1500,0.1,1.25,0.25,0.005,1000,0.2477
2000,0.1,1.25,0.25,0.005,1000,0.343
2500,0.1,1.25,0.25,0.005,1000,0.4463
3000,0.1,1.25,0.25,0.005,1000,0.5192
1000,0.15,1.25,0.25,0.005,1000,0.215
1500,0.15,1.25,0.25,0.005,1000,0.3504
2000,0.15,1.25,0.25,0.005,1000,0.4752
2500,0.15,1.25,0.25,0.005,1000,0.57
3000,0.15,1.25,0.25,0.005,1000,0.6369
1000,0.2,1.25,0.25,0.005,1000,0.2655
1500,0.2,1.25,0.25,0.005,1000,0.4183
2000,0.2,1.25,0.25,0.005,1000,0.5596
2500,0.2,1.25,0.25,0.005,1000,0.6422
3000,0.2,1.25,0.25,0.005,1000,0.7033
1000,0.25,1.25,0.25,0.005,1000,0.3087
1500,0.25,1.25,0.25,0.005,1000,0.4847
2000,0.25,1.25,0.25,0.005,1000,0.6053
2500,0.25,1.25,0.25,0.005,1000,0.6885
3000,0.25,1.25,0.25,0.005,1000,0.7383
1000,0.3,1.25,0.25,0.005,1000,0.3477
1500,0.3,1.25,0.25,0.005,1000,0.519
2000,0.3,1.25,0.25,0.005,1000,0.6401
2500,0.3,1.25,0.25,0.005,1000,0.72
3000,0.3,1.25,0.25,0.005,1000,0.7564
1000,0.05,1.5,0.25,0.005,1000,0.4029
1500,0.05,1.5,0.25,0.005,1000,0.5749
2000,0.05,1.5,0.25,0.005,1000,0.6813
2500,0.05,1.5,0.25,0.005,1000,0.74
3000,0.05,1.5,0.25,0.005,1000,0.769
1000,0.1,1.5,0.25,0.005,1000,0.5762
1500,0.1,1.5,0.25,0.005,1000,0.7155
2000,0.1,1.5,0.25,0.005,1000,0.7787
2500,0.1,1.5,0.25,0.005,1000,0.8036
3000,0.1,1.5,0.25,0.005,1000,0.8346
