n,n.communities,p,community.var,or,r,alpha,n.sim,n.per.community,prop.drivers,or.margin.of.error
1000,25,0.1,2.73,1,0.25,0.0125,1000,40,0.03663,1.11431
1500,25,0.1,2.73,1,0.25,0.0125,1000,60,0.03675,1.07619
2000,25,0.1,2.73,1,0.25,0.0125,1000,80,0.03513,1.06444
2500,25,0.1,2.73,1,0.25,0.0125,1000,100,0.03825,1.05753
3000,25,0.1,2.73,1,0.25,0.0125,1000,120,0.03513,1.04127
1000,50,0.1,2.73,1,0.25,0.0125,1000,20,0.025,0.7377
1500,50,0.1,2.73,1,0.25,0.0125,1000,30,0.02312,0.70727
2000,50,0.1,2.73,1,0.25,0.0125,1000,40,0.01975,0.69424
2500,50,0.1,2.73,1,0.25,0.0125,1000,50,0.02325,0.68327
3000,50,0.1,2.73,1,0.25,0.0125,1000,60,0.02463,0.67687
1000,100,0.1,2.73,1,0.25,0.0125,1000,10,0.0175,0.52378
1500,100,0.1,2.73,1,0.25,0.0125,1000,15,0.01688,0.48973
2000,100,0.1,2.73,1,0.25,0.0125,1000,20,0.019,0.47733
2500,100,0.1,2.73,1,0.25,0.0125,1000,25,0.01838,0.46863
3000,100,0.1,2.73,1,0.25,0.0125,1000,30,0.01387,0.46167
1000,25,0.5,2.73,1,0.25,0.0125,1000,40,0.03312,1.04216
1500,25,0.5,2.73,1,0.25,0.0125,1000,60,0.0325,1.03062
2000,25,0.5,2.73,1,0.25,0.0125,1000,80,0.0365,1.01774
2500,25,0.5,2.73,1,0.25,0.0125,1000,100,0.036,1.0147
3000,25,0.5,2.73,1,0.25,0.0125,1000,120,0.03512,1.00408
1000,50,0.5,2.73,1,0.25,0.0125,1000,20,0.023,0.68028
1500,50,0.5,2.73,1,0.25,0.0125,1000,30,0.023,0.66395
2000,50,0.5,2.73,1,0.25,0.0125,1000,40,0.0225,0.65238
2500,50,0.5,2.73,1,0.25,0.0125,1000,50,0.02388,0.65298
3000,50,0.5,2.73,1,0.25,0.0125,1000,60,0.02187,0.64938
1000,100,0.5,2.73,1,0.25,0.0125,1000,10,0.01763,0.4676
1500,100,0.5,2.73,1,0.25,0.0125,1000,15,0.02,0.44986
2000,100,0.5,2.73,1,0.25,0.0125,1000,20,0.01675,0.43999
2500,100,0.5,2.73,1,0.25,0.0125,1000,25,0.01587,0.43635
3000,100,0.5,2.73,1,0.25,0.0125,1000,30,0.01562,0.43477
1000,25,0.1,2.73,1.25,0.25,0.0125,1000,40,0.05838,1.12693
1500,25,0.1,2.73,1.25,0.25,0.0125,1000,60,0.05762,1.08146
2000,25,0.1,2.73,1.25,0.25,0.0125,1000,80,0.05763,1.06799
2500,25,0.1,2.73,1.25,0.25,0.0125,1000,100,0.06225,1.05158
3000,25,0.1,2.73,1.25,0.25,0.0125,1000,120,0.06675,1.03701
1000,50,0.1,2.73,1.25,0.25,0.0125,1000,20,0.05888,0.74757
1500,50,0.1,2.73,1.25,0.25,0.0125,1000,30,0.0645,0.71516
2000,50,0.1,2.73,1.25,0.25,0.0125,1000,40,0.06775,0.69645
2500,50,0.1,2.73,1.25,0.25,0.0125,1000,50,0.06675,0.68273
3000,50,0.1,2.73,1.25,0.25,0.0125,1000,60,0.06587,0.67891
1000,100,0.1,2.73,1.25,0.25,0.0125,1000,10,0.08362,0.53119
1500,100,0.1,2.73,1.25,0.25,0.0125,1000,15,0.08775,0.49904
2000,100,0.1,2.73,1.25,0.25,0.0125,1000,20,0.098,0.48097
2500,100,0.1,2.73,1.25,0.25,0.0125,1000,25,0.10088,0.47076
3000,100,0.1,2.73,1.25,0.25,0.0125,1000,30,0.09825,0.46462
1000,25,0.5,2.73,1.25,0.25,0.0125,1000,40,0.0585,1.04859
1500,25,0.5,2.73,1.25,0.25,0.0125,1000,60,0.06162,1.03862
2000,25,0.5,2.73,1.25,0.25,0.0125,1000,80,0.06488,1.01918
2500,25,0.5,2.73,1.25,0.25,0.0125,1000,100,0.06163,1.02231
3000,25,0.5,2.73,1.25,0.25,0.0125,1000,120,0.0665,1.00575
1000,50,0.5,2.73,1.25,0.25,0.0125,1000,20,0.066,0.68115
1500,50,0.5,2.73,1.25,0.25,0.0125,1000,30,0.07162,0.66835
2000,50,0.5,2.73,1.25,0.25,0.0125,1000,40,0.06638,0.66267
2500,50,0.5,2.73,1.25,0.25,0.0125,1000,50,0.07125,0.65324
3000,50,0.5,2.73,1.25,0.25,0.0125,1000,60,0.06775,0.64872
1000,100,0.5,2.73,1.25,0.25,0.0125,1000,10,0.093,0.472
1500,100,0.5,2.73,1.25,0.25,0.0125,1000,15,0.10175,0.45332
2000,100,0.5,2.73,1.25,0.25,0.0125,1000,20,0.10575,0.44563
2500,100,0.5,2.73,1.25,0.25,0.0125,1000,25,0.10512,0.44106
3000,100,0.5,2.73,1.25,0.25,0.0125,1000,30,0.11787,0.43431
1000,25,0.1,2.73,1.5,0.25,0.0125,1000,40,0.11425,1.14889
1500,25,0.1,2.73,1.5,0.25,0.0125,1000,60,0.11875,1.10416
2000,25,0.1,2.73,1.5,0.25,0.0125,1000,80,0.12375,1.07986
2500,25,0.1,2.73,1.5,0.25,0.0125,1000,100,0.12663,1.05901
3000,25,0.1,2.73,1.5,0.25,0.0125,1000,120,0.12537,1.06071
1000,50,0.1,2.73,1.5,0.25,0.0125,1000,20,0.166,0.76822
1500,50,0.1,2.73,1.5,0.25,0.0125,1000,30,0.16238,0.73729
2000,50,0.1,2.73,1.5,0.25,0.0125,1000,40,0.18362,0.71124
2500,50,0.1,2.73,1.5,0.25,0.0125,1000,50,0.18488,0.69931
3000,50,0.1,2.73,1.5,0.25,0.0125,1000,60,0.18888,0.68502
1000,100,0.1,2.73,1.5,0.25,0.0125,1000,10,0.26512,0.54371
1500,100,0.1,2.73,1.5,0.25,0.0125,1000,15,0.3005,0.51178
2000,100,0.1,2.73,1.5,0.25,0.0125,1000,20,0.31475,0.48902
2500,100,0.1,2.73,1.5,0.25,0.0125,1000,25,0.32887,0.483
3000,100,0.1,2.73,1.5,0.25,0.0125,1000,30,0.3445,0.47442
1000,25,0.5,2.73,1.5,0.25,0.0125,1000,40,0.12913,1.0618
1500,25,0.5,2.73,1.5,0.25,0.0125,1000,60,0.12525,1.04366
2000,25,0.5,2.73,1.5,0.25,0.0125,1000,80,0.13,1.02915
2500,25,0.5,2.73,1.5,0.25,0.0125,1000,100,0.1255,1.02203
3000,25,0.5,2.73,1.5,0.25,0.0125,1000,120,0.12775,1.01866
1000,50,0.5,2.73,1.5,0.25,0.0125,1000,20,0.18475,0.70087
1500,50,0.5,2.73,1.5,0.25,0.0125,1000,30,0.19212,0.67486
2000,50,0.5,2.73,1.5,0.25,0.0125,1000,40,0.20387,0.6656
2500,50,0.5,2.73,1.5,0.25,0.0125,1000,50,0.2045,0.66533
3000,50,0.5,2.73,1.5,0.25,0.0125,1000,60,0.19875,0.66308
1000,100,0.5,2.73,1.5,0.25,0.0125,1000,10,0.32725,0.48396
1500,100,0.5,2.73,1.5,0.25,0.0125,1000,15,0.34575,0.46389
2000,100,0.5,2.73,1.5,0.25,0.0125,1000,20,0.37238,0.45279
2500,100,0.5,2.73,1.5,0.25,0.0125,1000,25,0.36925,0.44685
3000,100,0.5,2.73,1.5,0.25,0.0125,1000,30,0.38488,0.44189
1000,25,0.1,2.73,1.75,0.25,0.0125,1000,40,0.19487,1.17985
1500,25,0.1,2.73,1.75,0.25,0.0125,1000,60,0.2025,1.12921
2000,25,0.1,2.73,1.75,0.25,0.0125,1000,80,0.202,1.11375
2500,25,0.1,2.73,1.75,0.25,0.0125,1000,100,0.21075,1.07941
3000,25,0.1,2.73,1.75,0.25,0.0125,1000,120,0.206,1.07885
1000,50,0.1,2.73,1.75,0.25,0.0125,1000,20,0.29013,0.78716
1500,50,0.1,2.73,1.75,0.25,0.0125,1000,30,0.31613,0.74538
2000,50,0.1,2.73,1.75,0.25,0.0125,1000,40,0.338,0.72308
2500,50,0.1,2.73,1.75,0.25,0.0125,1000,50,0.35225,0.71309
3000,50,0.1,2.73,1.75,0.25,0.0125,1000,60,0.35187,0.70658
1000,100,0.1,2.73,1.75,0.25,0.0125,1000,10,0.49625,0.56238
1500,100,0.1,2.73,1.75,0.25,0.0125,1000,15,0.54262,0.52537
2000,100,0.1,2.73,1.75,0.25,0.0125,1000,20,0.57725,0.50684
2500,100,0.1,2.73,1.75,0.25,0.0125,1000,25,0.59488,0.49419
3000,100,0.1,2.73,1.75,0.25,0.0125,1000,30,0.6215,0.48421
1000,25,0.5,2.73,1.75,0.25,0.0125,1000,40,0.20363,1.09352
1500,25,0.5,2.73,1.75,0.25,0.0125,1000,60,0.22425,1.05689
2000,25,0.5,2.73,1.75,0.25,0.0125,1000,80,0.21487,1.05049
2500,25,0.5,2.73,1.75,0.25,0.0125,1000,100,0.22775,1.03247
3000,25,0.5,2.73,1.75,0.25,0.0125,1000,120,0.22825,1.02488
1000,50,0.5,2.73,1.75,0.25,0.0125,1000,20,0.3365,0.7189
1500,50,0.5,2.73,1.75,0.25,0.0125,1000,30,0.35863,0.6996
2000,50,0.5,2.73,1.75,0.25,0.0125,1000,40,0.3715,0.68058
2500,50,0.5,2.73,1.75,0.25,0.0125,1000,50,0.38075,0.67388
3000,50,0.5,2.73,1.75,0.25,0.0125,1000,60,0.40063,0.66022
1000,100,0.5,2.73,1.75,0.25,0.0125,1000,10,0.597,0.49648
1500,100,0.5,2.73,1.75,0.25,0.0125,1000,15,0.63287,0.4768
2000,100,0.5,2.73,1.75,0.25,0.0125,1000,20,0.65262,0.46377
2500,100,0.5,2.73,1.75,0.25,0.0125,1000,25,0.67075,0.45887
3000,100,0.5,2.73,1.75,0.25,0.0125,1000,30,0.68413,0.44965
1000,25,0.1,2.73,2,0.25,0.0125,1000,40,0.27425,1.19457
1500,25,0.1,2.73,2,0.25,0.0125,1000,60,0.28262,1.15159
2000,25,0.1,2.73,2,0.25,0.0125,1000,80,0.29063,1.12954
2500,25,0.1,2.73,2,0.25,0.0125,1000,100,0.29912,1.11328
3000,25,0.1,2.73,2,0.25,0.0125,1000,120,0.29963,1.09392
1000,50,0.1,2.73,2,0.25,0.0125,1000,20,0.4335,0.81429
1500,50,0.1,2.73,2,0.25,0.0125,1000,30,0.471,0.77307
2000,50,0.1,2.73,2,0.25,0.0125,1000,40,0.49262,0.74929
2500,50,0.1,2.73,2,0.25,0.0125,1000,50,0.50337,0.72986
3000,50,0.1,2.73,2,0.25,0.0125,1000,60,0.51813,0.71627
1000,100,0.1,2.73,2,0.25,0.0125,1000,10,0.69162,0.58282
1500,100,0.1,2.73,2,0.25,0.0125,1000,15,0.74537,0.54207
2000,100,0.1,2.73,2,0.25,0.0125,1000,20,0.78462,0.51934
2500,100,0.1,2.73,2,0.25,0.0125,1000,25,0.787,0.50501
3000,100,0.1,2.73,2,0.25,0.0125,1000,30,0.8095,0.49493
1000,25,0.5,2.73,2,0.25,0.0125,1000,40,0.29912,1.11638
1500,25,0.5,2.73,2,0.25,0.0125,1000,60,0.31037,1.07933
2000,25,0.5,2.73,2,0.25,0.0125,1000,80,0.31938,1.06035
2500,25,0.5,2.73,2,0.25,0.0125,1000,100,0.32375,1.06
3000,25,0.5,2.73,2,0.25,0.0125,1000,120,0.32162,1.04581
1000,50,0.5,2.73,2,0.25,0.0125,1000,20,0.50025,0.73712
1500,50,0.5,2.73,2,0.25,0.0125,1000,30,0.527,0.70603
2000,50,0.5,2.73,2,0.25,0.0125,1000,40,0.53725,0.69607
2500,50,0.5,2.73,2,0.25,0.0125,1000,50,0.55075,0.68539
3000,50,0.5,2.73,2,0.25,0.0125,1000,60,0.55725,0.67685
1000,100,0.5,2.73,2,0.25,0.0125,1000,10,0.77975,0.51957
1500,100,0.5,2.73,2,0.25,0.0125,1000,15,0.81613,0.49061
2000,100,0.5,2.73,2,0.25,0.0125,1000,20,0.83663,0.47503
2500,100,0.5,2.73,2,0.25,0.0125,1000,25,0.84712,0.46829
3000,100,0.5,2.73,2,0.25,0.0125,1000,30,0.86125,0.46005
