n,p,or,r,alpha,n.sim,prop.drivers
500,0.05,1,0.25,0.005,10,0
1000,0.05,1,0.25,0.005,10,0
1500,0.05,1,0.25,0.005,10,0
2000,0.05,1,0.25,0.005,10,0.01
2500,0.05,1,0.25,0.005,10,0.01
3000,0.05,1,0.25,0.005,10,0.01
500,0.1,1,0.25,0.005,10,0
1000,0.1,1,0.25,0.005,10,0
1500,0.1,1,0.25,0.005,10,0.03
2000,0.1,1,0.25,0.005,10,0
2500,0.1,1,0.25,0.005,10,0.01
3000,0.1,1,0.25,0.005,10,0.01
500,0.15,1,0.25,0.005,10,0.02
1000,0.15,1,0.25,0.005,10,0.01
1500,0.15,1,0.25,0.005,10,0.02
2000,0.15,1,0.25,0.005,10,0
2500,0.15,1,0.25,0.005,10,0.01
3000,0.15,1,0.25,0.005,10,0
500,0.2,1,0.25,0.005,10,0
1000,0.2,1,0.25,0.005,10,0
1500,0.2,1,0.25,0.005,10,0.01
2000,0.2,1,0.25,0.005,10,0
2500,0.2,1,0.25,0.005,10,0
3000,0.2,1,0.25,0.005,10,0
500,0.25,1,0.25,0.005,10,0.01
1000,0.25,1,0.25,0.005,10,0
1500,0.25,1,0.25,0.005,10,0
2000,0.25,1,0.25,0.005,10,0.01
2500,0.25,1,0.25,0.005,10,0
3000,0.25,1,0.25,0.005,10,0
500,0.3,1,0.25,0.005,10,0.01
1000,0.3,1,0.25,0.005,10,0.01
1500,0.3,1,0.25,0.005,10,0.01
2000,0.3,1,0.25,0.005,10,0.01
2500,0.3,1,0.25,0.005,10,0.01
3000,0.3,1,0.25,0.005,10,0.02
500,0.05,1.25,0.25,0.005,10,0.02
1000,0.05,1.25,0.25,0.005,10,0.05
1500,0.05,1.25,0.25,0.005,10,0.1
2000,0.05,1.25,0.25,0.005,10,0.18
2500,0.05,1.25,0.25,0.005,10,0.14
3000,0.05,1.25,0.25,0.005,10,0.21
500,0.1,1.25,0.25,0.005,10,0.02
1000,0.1,1.25,0.25,0.005,10,0.09
1500,0.1,1.25,0.25,0.005,10,0.22
2000,0.1,1.25,0.25,0.005,10,0.31
2500,0.1,1.25,0.25,0.005,10,0.41
3000,0.1,1.25,0.25,0.005,10,0.44
500,0.15,1.25,0.25,0.005,10,0.05
1000,0.15,1.25,0.25,0.005,10,0.13
1500,0.15,1.25,0.25,0.005,10,0.25
2000,0.15,1.25,0.25,0.005,10,0.43
2500,0.15,1.25,0.25,0.005,10,0.46
3000,0.15,1.25,0.25,0.005,10,0.56
500,0.2,1.25,0.25,0.005,10,0.1
1000,0.2,1.25,0.25,0.005,10,0.24
1500,0.2,1.25,0.25,0.005,10,0.38
2000,0.2,1.25,0.25,0.005,10,0.47
2500,0.2,1.25,0.25,0.005,10,0.63
3000,0.2,1.25,0.25,0.005,10,0.6
500,0.25,1.25,0.25,0.005,10,0.16
1000,0.25,1.25,0.25,0.005,10,0.34
1500,0.25,1.25,0.25,0.005,10,0.45
2000,0.25,1.25,0.25,0.005,10,0.51
2500,0.25,1.25,0.25,0.005,10,0.62
3000,0.25,1.25,0.25,0.005,10,0.67
500,0.3,1.25,0.25,0.005,10,0.09
1000,0.3,1.25,0.25,0.005,10,0.28
1500,0.3,1.25,0.25,0.005,10,0.49
2000,0.3,1.25,0.25,0.005,10,0.61
2500,0.3,1.25,0.25,0.005,10,0.6
3000,0.3,1.25,0.25,0.005,10,0.65
500,0.05,1.5,0.25,0.005,10,0.14
1000,0.05,1.5,0.25,0.005,10,0.28
1500,0.05,1.5,0.25,0.005,10,0.44
2000,0.05,1.5,0.25,0.005,10,0.59
2500,0.05,1.5,0.25,0.005,10,0.65
3000,0.05,1.5,0.25,0.005,10,0.71
500,0.1,1.5,0.25,0.005,10,0.24
1000,0.1,1.5,0.25,0.005,10,0.5
1500,0.1,1.5,0.25,0.005,10,0.58
2000,0.1,1.5,0.25,0.005,10,0.68
2500,0.1,1.5,0.25,0.005,10,0.68
3000,0.1,1.5,0.25,0.005,10,0.68
500,0.15,1.5,0.25,0.005,10,0.3
1000,0.15,1.5,0.25,0.005,10,0.53
1500,0.15,1.5,0.25,0.005,10,0.68
2000,0.15,1.5,0.25,0.005,10,0.74
2500,0.15,1.5,0.25,0.005,10,0.78
3000,0.15,1.5,0.25,0.005,10,0.83
500,0.2,1.5,0.25,0.005,10,0.45
1000,0.2,1.5,0.25,0.005,10,0.59
1500,0.2,1.5,0.25,0.005,10,0.72
2000,0.2,1.5,0.25,0.005,10,0.75
2500,0.2,1.5,0.25,0.005,10,0.8
3000,0.2,1.5,0.25,0.005,10,0.82
500,0.25,1.5,0.25,0.005,10,0.43
1000,0.25,1.5,0.25,0.005,10,0.69
1500,0.25,1.5,0.25,0.005,10,0.77
2000,0.25,1.5,0.25,0.005,10,0.78
2500,0.25,1.5,0.25,0.005,10,0.85
3000,0.25,1.5,0.25,0.005,10,0.8
500,0.3,1.5,0.25,0.005,10,0.44
1000,0.3,1.5,0.25,0.005,10,0.65
1500,0.3,1.5,0.25,0.005,10,0.73
2000,0.3,1.5,0.25,0.005,10,0.8
2500,0.3,1.5,0.25,0.005,10,0.86
3000,0.3,1.5,0.25,0.005,10,0.85
500,0.05,1.75,0.25,0.005,10,0.26
1000,0.05,1.75,0.25,0.005,10,0.63
1500,0.05,1.75,0.25,0.005,10,0.68
2000,0.05,1.75,0.25,0.005,10,0.73
2500,0.05,1.75,0.25,0.005,10,0.83
3000,0.05,1.75,0.25,0.005,10,0.82
500,0.1,1.75,0.25,0.005,10,0.45
1000,0.1,1.75,0.25,0.005,10,0.68
1500,0.1,1.75,0.25,0.005,10,0.73
2000,0.1,1.75,0.25,0.005,10,0.8
2500,0.1,1.75,0.25,0.005,10,0.85
3000,0.1,1.75,0.25,0.005,10,0.87
500,0.15,1.75,0.25,0.005,10,0.53
1000,0.15,1.75,0.25,0.005,10,0.7
1500,0.15,1.75,0.25,0.005,10,0.83
2000,0.15,1.75,0.25,0.005,10,0.84
2500,0.15,1.75,0.25,0.005,10,0.89
3000,0.15,1.75,0.25,0.005,10,0.93
500,0.2,1.75,0.25,0.005,10,0.55
1000,0.2,1.75,0.25,0.005,10,0.78
1500,0.2,1.75,0.25,0.005,10,0.8
2000,0.2,1.75,0.25,0.005,10,0.86
2500,0.2,1.75,0.25,0.005,10,0.92
3000,0.2,1.75,0.25,0.005,10,0.93
500,0.25,1.75,0.25,0.005,10,0.6
1000,0.25,1.75,0.25,0.005,10,0.79
1500,0.25,1.75,0.25,0.005,10,0.86
2000,0.25,1.75,0.25,0.005,10,0.9
2500,0.25,1.75,0.25,0.005,10,0.94
3000,0.25,1.75,0.25,0.005,10,0.94
500,0.3,1.75,0.25,0.005,10,0.61
1000,0.3,1.75,0.25,0.005,10,0.79
1500,0.3,1.75,0.25,0.005,10,0.81
2000,0.3,1.75,0.25,0.005,10,0.92
2500,0.3,1.75,0.25,0.005,10,0.92
3000,0.3,1.75,0.25,0.005,10,1
500,0.05,2,0.25,0.005,10,0.5
1000,0.05,2,0.25,0.005,10,0.71
1500,0.05,2,0.25,0.005,10,0.77
2000,0.05,2,0.25,0.005,10,0.81
2500,0.05,2,0.25,0.005,10,0.86
3000,0.05,2,0.25,0.005,10,0.89
500,0.1,2,0.25,0.005,10,0.59
1000,0.1,2,0.25,0.005,10,0.75
1500,0.1,2,0.25,0.005,10,0.85
2000,0.1,2,0.25,0.005,10,0.87
2500,0.1,2,0.25,0.005,10,0.91
3000,0.1,2,0.25,0.005,10,0.95
500,0.15,2,0.25,0.005,10,0.62
1000,0.15,2,0.25,0.005,10,0.76
1500,0.15,2,0.25,0.005,10,0.86
2000,0.15,2,0.25,0.005,10,0.9
2500,0.15,2,0.25,0.005,10,0.91
3000,0.15,2,0.25,0.005,10,0.94
500,0.2,2,0.25,0.005,10,0.66
1000,0.2,2,0.25,0.005,10,0.77
1500,0.2,2,0.25,0.005,10,0.8
2000,0.2,2,0.25,0.005,10,0.96
2500,0.2,2,0.25,0.005,10,0.98
3000,0.2,2,0.25,0.005,10,0.99
500,0.25,2,0.25,0.005,10,0.63
1000,0.25,2,0.25,0.005,10,0.8
1500,0.25,2,0.25,0.005,10,0.89
2000,0.25,2,0.25,0.005,10,0.97
2500,0.25,2,0.25,0.005,10,0.96
3000,0.25,2,0.25,0.005,10,1
500,0.3,2,0.25,0.005,10,0.69
1000,0.3,2,0.25,0.005,10,0.78
1500,0.3,2,0.25,0.005,10,0.94
2000,0.3,2,0.25,0.005,10,0.95
2500,0.3,2,0.25,0.005,10,0.96
3000,0.3,2,0.25,0.005,10,1
