n,n.communities,p,community.var,or,r,alpha,n.sim,n.per.community,prop.drivers,or.margin.of.error
600,25,0.1,2.73,1.25,0.25,0.0125,25,24,0.04,1.15279
1200,25,0.1,2.73,1.25,0.25,0.0125,25,48,0.045,1.14176
1800,25,0.1,2.73,1.25,0.25,0.0125,25,72,0.035,1.11169
2400,25,0.1,2.73,1.25,0.25,0.0125,25,96,0.06,1.02827
3600,25,0.1,2.73,1.25,0.25,0.0125,25,144,0.035,1.06623
4800,25,0.1,2.73,1.25,0.25,0.0125,25,192,0.06,0.99709
6000,25,0.1,2.73,1.25,0.25,0.0125,25,240,0.07,0.93715
7200,25,0.1,2.73,1.25,0.25,0.0125,25,288,0.07,1.04343
8400,25,0.1,2.73,1.25,0.25,0.0125,25,336,0.075,1.04308
9600,25,0.1,2.73,1.25,0.25,0.0125,25,384,0.07,0.99709
600,50,0.1,2.73,1.25,0.25,0.0125,25,12,0.05,0.78889
1200,50,0.1,2.73,1.25,0.25,0.0125,25,24,0.06,0.72656
1800,50,0.1,2.73,1.25,0.25,0.0125,25,36,0.045,0.73498
2400,50,0.1,2.73,1.25,0.25,0.0125,25,48,0.07,0.65873
3600,50,0.1,2.73,1.25,0.25,0.0125,25,72,0.035,0.68326
4800,50,0.1,2.73,1.25,0.25,0.0125,25,96,0.075,0.66803
6000,50,0.1,2.73,1.25,0.25,0.0125,25,120,0.065,0.64313
7200,50,0.1,2.73,1.25,0.25,0.0125,25,144,0.055,0.6762
8400,50,0.1,2.73,1.25,0.25,0.0125,25,168,0.055,0.66952
9600,50,0.1,2.73,1.25,0.25,0.0125,25,192,0.075,0.6414
600,100,0.1,2.73,1.25,0.25,0.0125,25,6,0.03,0.60813
1200,100,0.1,2.73,1.25,0.25,0.0125,25,12,0.065,0.51978
1800,100,0.1,2.73,1.25,0.25,0.0125,25,18,0.12,0.48661
2400,100,0.1,2.73,1.25,0.25,0.0125,25,24,0.085,0.47801
3600,100,0.1,2.73,1.25,0.25,0.0125,25,36,0.12,0.47198
4800,100,0.1,2.73,1.25,0.25,0.0125,25,48,0.105,0.44259
6000,100,0.1,2.73,1.25,0.25,0.0125,25,60,0.13,0.44487
7200,100,0.1,2.73,1.25,0.25,0.0125,25,72,0.12,0.43232
