n,p,or,r,alpha,n.sim,prop.drivers
1000,0.05,1,0.25,0.005,1000,0.0041
1500,0.05,1,0.25,0.005,1000,0.0058
2000,0.05,1,0.25,0.005,1000,0.0047
2500,0.05,1,0.25,0.005,1000,0.0045
3000,0.05,1,0.25,0.005,1000,0.0051
1000,0.1,1,0.25,0.005,1000,0.0058
1500,0.1,1,0.25,0.005,1000,0.0056
2000,0.1,1,0.25,0.005,1000,0.0041
2500,0.1,1,0.25,0.005,1000,0.0051
3000,0.1,1,0.25,0.005,1000,0.0054
1000,0.15,1,0.25,0.005,1000,0.0041
1500,0.15,1,0.25,0.005,1000,0.0039
2000,0.15,1,0.25,0.005,1000,0.0057
2500,0.15,1,0.25,0.005,1000,0.0045
3000,0.15,1,0.25,0.005,1000,0.0058
1000,0.2,1,0.25,0.005,1000,0.0052
1500,0.2,1,0.25,0.005,1000,0.0045
2000,0.2,1,0.25,0.005,1000,0.0071
2500,0.2,1,0.25,0.005,1000,0.0042
3000,0.2,1,0.25,0.005,1000,0.0051
1000,0.25,1,0.25,0.005,1000,0.004
1500,0.25,1,0.25,0.005,1000,0.0063
2000,0.25,1,0.25,0.005,1000,0.0058
2500,0.25,1,0.25,0.005,1000,0.0066
3000,0.25,1,0.25,0.005,1000,0.0063
1000,0.3,1,0.25,0.005,1000,0.0048
1500,0.3,1,0.25,0.005,1000,0.0043
2000,0.3,1,0.25,0.005,1000,0.0045
2500,0.3,1,0.25,0.005,1000,0.0052
3000,0.3,1,0.25,0.005,1000,0.0058
1000,0.05,1.25,0.25,0.005,1000,0.0665
1500,0.05,1.25,0.25,0.005,1000,0.1134
2000,0.05,1.25,0.25,0.005,1000,0.1711
2500,0.05,1.25,0.25,0.005,1000,0.2359
3000,0.05,1.25,0.25,0.005,1000,0.2921
1000,0.1,1.25,0.25,0.005,1000,0.141
1500,0.1,1.25,0.25,0.005,1000,0.2424
2000,0.1,1.25,0.25,0.005,1000,0.3511
2500,0.1,1.25,0.25,0.005,1000,0.4457
3000,0.1,1.25,0.25,0.005,1000,0.5321
