n,n.communities,p,community.var,or,r,alpha.i,alpha.c,n.sim,n.per.community,prop.drivers.i,prop.drivers.c,or.margin.of.error.i,or.margin.of.error.c
1700,25,0.5,2.73,1.25,0.25,0.01,0.0125,25,68,0.656,0.06,0.1834,1.04828
1700,50,0.5,2.73,1.25,0.25,0.01,0.0125,25,34,0.672,0.06,0.18272,0.65072
1700,100,0.5,2.73,1.25,0.25,0.01,0.0125,25,17,0.648,0.05,0.18647,0.47278
1700,25,0.5,2.73,1.5,0.25,0.01,0.0125,25,68,0.896,0.17,0.19625,0.97401
1700,50,0.5,2.73,1.5,0.25,0.01,0.0125,25,34,0.88,0.22,0.19836,0.67057
1700,100,0.5,2.73,1.5,0.25,0.01,0.0125,25,17,0.84,0.38,0.20294,0.45681
1700,25,0.5,2.73,1.75,0.25,0.01,0.0125,25,68,0.904,0.21,0.2132,0.98772
1700,50,0.5,2.73,1.75,0.25,0.01,0.0125,25,34,0.92,0.39,0.2178,0.71203
1700,100,0.5,2.73,1.75,0.25,0.01,0.0125,25,17,0.936,0.67,0.21987,0.45962
1700,25,0.5,2.73,2,0.25,0.01,0.0125,25,68,0.992,0.33,0.22643,0.99435
1700,50,0.5,2.73,2,0.25,0.01,0.0125,25,34,0.968,0.6,0.23545,0.70589
1700,100,0.5,2.73,2,0.25,0.01,0.0125,25,17,0.976,0.89,0.23702,0.47667
