n,n.neg,p,or,r,alpha,n.sim,prop.drivers,n.pos
2400,240,0.5,1.25,0.25,0.005,50,0.334,1126
2400,360,0.5,1.25,0.25,0.005,50,0.46,1132
2400,480,0.5,1.25,0.25,0.005,50,0.56,1134
2400,600,0.5,1.25,0.25,0.005,50,0.618,1136
2400,720,0.5,1.25,0.25,0.005,50,0.65,1133
2400,840,0.5,1.25,0.25,0.005,50,0.698,1132
2400,960,0.5,1.25,0.25,0.005,50,0.73,1127
2400,1080,0.5,1.25,0.25,0.005,50,0.728,1131
2400,1200,0.5,1.25,0.25,0.005,50,0.73,1131
2400,240,0.5,1.5,0.25,0.005,50,0.732,1100
2400,360,0.5,1.5,0.25,0.005,50,0.804,1092
2400,480,0.5,1.5,0.25,0.005,50,0.812,1096
2400,600,0.5,1.5,0.25,0.005,50,0.882,1093
2400,720,0.5,1.5,0.25,0.005,50,0.862,1094
2400,840,0.5,1.5,0.25,0.005,50,0.888,1098
2400,960,0.5,1.5,0.25,0.005,50,0.898,1094
2400,1080,0.5,1.5,0.25,0.005,50,0.882,1090
2400,1200,0.5,1.5,0.25,0.005,50,0.914,1096
2400,240,0.5,1.75,0.25,0.005,50,0.838,1080
2400,360,0.5,1.75,0.25,0.005,50,0.878,1077
2400,480,0.5,1.75,0.25,0.005,50,0.912,1081
2400,600,0.5,1.75,0.25,0.005,50,0.904,1086
2400,720,0.5,1.75,0.25,0.005,50,0.944,1079
2400,840,0.5,1.75,0.25,0.005,50,0.928,1084
2400,960,0.5,1.75,0.25,0.005,50,0.936,1072
2400,1080,0.5,1.75,0.25,0.005,50,0.962,1082
2400,1200,0.5,1.75,0.25,0.005,50,0.97,1083
2400,240,0.5,2,0.25,0.005,50,0.896,1071
2400,360,0.5,2,0.25,0.005,50,0.922,1066
2400,480,0.5,2,0.25,0.005,50,0.944,1067
2400,600,0.5,2,0.25,0.005,50,0.954,1069
2400,720,0.5,2,0.25,0.005,50,0.99,1068
2400,840,0.5,2,0.25,0.005,50,0.972,1070
2400,960,0.5,2,0.25,0.005,50,0.984,1078
2400,1080,0.5,2,0.25,0.005,50,0.986,1073
2400,1200,0.5,2,0.25,0.005,50,0.992,1074
