n,p,or,r,alpha,n.sim,prop.drivers
500,0.05,1,0.25,0.005,1000,0.0043
1000,0.05,1,0.25,0.005,1000,0.0043
1500,0.05,1,0.25,0.005,1000,0.0052
2000,0.05,1,0.25,0.005,1000,0.0045
2500,0.05,1,0.25,0.005,1000,0.0056
3000,0.05,1,0.25,0.005,1000,0.0053
500,0.1,1,0.25,0.005,1000,0.0058
1000,0.1,1,0.25,0.005,1000,0.0053
1500,0.1,1,0.25,0.005,1000,0.0047
2000,0.1,1,0.25,0.005,1000,0.0053
2500,0.1,1,0.25,0.005,1000,0.004
3000,0.1,1,0.25,0.005,1000,0.0046
500,0.15,1,0.25,0.005,1000,0.0047
1000,0.15,1,0.25,0.005,1000,0.0043
1500,0.15,1,0.25,0.005,1000,0.0043
2000,0.15,1,0.25,0.005,1000,0.0033
2500,0.15,1,0.25,0.005,1000,0.0051
3000,0.15,1,0.25,0.005,1000,0.0052
500,0.2,1,0.25,0.005,1000,0.0043
1000,0.2,1,0.25,0.005,1000,0.0052
1500,0.2,1,0.25,0.005,1000,0.0043
2000,0.2,1,0.25,0.005,1000,0.0053
2500,0.2,1,0.25,0.005,1000,0.0045
3000,0.2,1,0.25,0.005,1000,0.0042
500,0.25,1,0.25,0.005,1000,0.0052
1000,0.25,1,0.25,0.005,1000,0.0043
1500,0.25,1,0.25,0.005,1000,0.0059
2000,0.25,1,0.25,0.005,1000,0.0043
2500,0.25,1,0.25,0.005,1000,0.0054
3000,0.25,1,0.25,0.005,1000,0.0046
500,0.3,1,0.25,0.005,1000,0.0042
1000,0.3,1,0.25,0.005,1000,0.0045
1500,0.3,1,0.25,0.005,1000,0.0039
2000,0.3,1,0.25,0.005,1000,0.0053
2500,0.3,1,0.25,0.005,1000,0.005
3000,0.3,1,0.25,0.005,1000,0.0062
500,0.05,1.25,0.25,0.005,1000,0.0231
1000,0.05,1.25,0.25,0.005,1000,0.0511
1500,0.05,1.25,0.25,0.005,1000,0.0913
2000,0.05,1.25,0.25,0.005,1000,0.1312
2500,0.05,1.25,0.25,0.005,1000,0.1786
3000,0.05,1.25,0.25,0.005,1000,0.224
500,0.1,1.25,0.25,0.005,1000,0.0471
1000,0.1,1.25,0.25,0.005,1000,0.1218
1500,0.1,1.25,0.25,0.005,1000,0.1904
2000,0.1,1.25,0.25,0.005,1000,0.2831
2500,0.1,1.25,0.25,0.005,1000,0.3655
3000,0.1,1.25,0.25,0.005,1000,0.4381
500,0.15,1.25,0.25,0.005,1000,0.0648
1000,0.15,1.25,0.25,0.005,1000,0.1631
1500,0.15,1.25,0.25,0.005,1000,0.288
2000,0.15,1.25,0.25,0.005,1000,0.395
2500,0.15,1.25,0.25,0.005,1000,0.4834
3000,0.15,1.25,0.25,0.005,1000,0.5532
500,0.2,1.25,0.25,0.005,1000,0.0918
1000,0.2,1.25,0.25,0.005,1000,0.2244
1500,0.2,1.25,0.25,0.005,1000,0.357
2000,0.2,1.25,0.25,0.005,1000,0.4794
2500,0.2,1.25,0.25,0.005,1000,0.5622
3000,0.2,1.25,0.25,0.005,1000,0.6146
500,0.25,1.25,0.25,0.005,1000,0.111
1000,0.25,1.25,0.25,0.005,1000,0.2611
1500,0.25,1.25,0.25,0.005,1000,0.4191
2000,0.25,1.25,0.25,0.005,1000,0.5314
2500,0.25,1.25,0.25,0.005,1000,0.6054
3000,0.25,1.25,0.25,0.005,1000,0.6554
500,0.3,1.25,0.25,0.005,1000,0.1271
1000,0.3,1.25,0.25,0.005,1000,0.3043
1500,0.3,1.25,0.25,0.005,1000,0.4621
2000,0.3,1.25,0.25,0.005,1000,0.5679
2500,0.3,1.25,0.25,0.005,1000,0.6388
3000,0.3,1.25,0.25,0.005,1000,0.6819
500,0.05,1.5,0.25,0.005,1000,0.1137
1000,0.05,1.5,0.25,0.005,1000,0.2979
1500,0.05,1.5,0.25,0.005,1000,0.4508
2000,0.05,1.5,0.25,0.005,1000,0.5695
2500,0.05,1.5,0.25,0.005,1000,0.6239
3000,0.05,1.5,0.25,0.005,1000,0.6656
500,0.1,1.5,0.25,0.005,1000,0.2259
1000,0.1,1.5,0.25,0.005,1000,0.4729
1500,0.1,1.5,0.25,0.005,1000,0.6121
2000,0.1,1.5,0.25,0.005,1000,0.6829
2500,0.1,1.5,0.25,0.005,1000,0.726
3000,0.1,1.5,0.25,0.005,1000,0.7556
500,0.15,1.5,0.25,0.005,1000,0.292
1000,0.15,1.5,0.25,0.005,1000,0.5644
1500,0.15,1.5,0.25,0.005,1000,0.6762
2000,0.15,1.5,0.25,0.005,1000,0.7257
2500,0.15,1.5,0.25,0.005,1000,0.7669
3000,0.15,1.5,0.25,0.005,1000,0.8067
500,0.2,1.5,0.25,0.005,1000,0.3432
1000,0.2,1.5,0.25,0.005,1000,0.6185
1500,0.2,1.5,0.25,0.005,1000,0.7059
2000,0.2,1.5,0.25,0.005,1000,0.7575
2500,0.2,1.5,0.25,0.005,1000,0.7998
3000,0.2,1.5,0.25,0.005,1000,0.8423
500,0.25,1.5,0.25,0.005,1000,0.3971
1000,0.25,1.5,0.25,0.005,1000,0.6386
1500,0.25,1.5,0.25,0.005,1000,0.7224
2000,0.25,1.5,0.25,0.005,1000,0.7774
2500,0.25,1.5,0.25,0.005,1000,0.8212
3000,0.25,1.5,0.25,0.005,1000,0.8663
500,0.3,1.5,0.25,0.005,1000,0.4231
1000,0.3,1.5,0.25,0.005,1000,0.6538
1500,0.3,1.5,0.25,0.005,1000,0.7464
2000,0.3,1.5,0.25,0.005,1000,0.7966
2500,0.3,1.5,0.25,0.005,1000,0.8452
3000,0.3,1.5,0.25,0.005,1000,0.8889
500,0.05,1.75,0.25,0.005,1000,0.2919
1000,0.05,1.75,0.25,0.005,1000,0.567
1500,0.05,1.75,0.25,0.005,1000,0.6722
2000,0.05,1.75,0.25,0.005,1000,0.7225
2500,0.05,1.75,0.25,0.005,1000,0.7649
3000,0.05,1.75,0.25,0.005,1000,0.7883
500,0.1,1.75,0.25,0.005,1000,0.4435
1000,0.1,1.75,0.25,0.005,1000,0.6724
1500,0.1,1.75,0.25,0.005,1000,0.7407
2000,0.1,1.75,0.25,0.005,1000,0.8026
2500,0.1,1.75,0.25,0.005,1000,0.8356
3000,0.1,1.75,0.25,0.005,1000,0.8747
500,0.15,1.75,0.25,0.005,1000,0.5093
1000,0.15,1.75,0.25,0.005,1000,0.7016
1500,0.15,1.75,0.25,0.005,1000,0.7757
