n,p,or,r,alpha,n.sim,prop.drivers
600,0.1,1.25,0.25,0.005,50,0.068
1200,0.1,1.25,0.25,0.005,50,0.194
1800,0.1,1.25,0.25,0.005,50,0.31
2400,0.1,1.25,0.25,0.005,50,0.418
3600,0.1,1.25,0.25,0.005,50,0.634
4800,0.1,1.25,0.25,0.005,50,0.698
6000,0.1,1.25,0.25,0.005,50,0.744
7200,0.1,1.25,0.25,0.005,50,0.796
8400,0.1,1.25,0.25,0.005,50,0.794
9600,0.1,1.25,0.25,0.005,50,0.822
600,0.2,1.25,0.25,0.005,50,0.152
1200,0.2,1.25,0.25,0.005,50,0.318
1800,0.2,1.25,0.25,0.005,50,0.532
2400,0.2,1.25,0.25,0.005,50,0.632
3600,0.2,1.25,0.25,0.005,50,0.772
4800,0.2,1.25,0.25,0.005,50,0.796
6000,0.2,1.25,0.25,0.005,50,0.842
7200,0.2,1.25,0.25,0.005,50,0.844
8400,0.2,1.25,0.25,0.005,50,0.864
9600,0.2,1.25,0.25,0.005,50,0.894
600,0.3,1.25,0.25,0.005,50,0.198
1200,0.3,1.25,0.25,0.005,50,0.41
1800,0.3,1.25,0.25,0.005,50,0.602
2400,0.3,1.25,0.25,0.005,50,0.722
3600,0.3,1.25,0.25,0.005,50,0.79
4800,0.3,1.25,0.25,0.005,50,0.796
6000,0.3,1.25,0.25,0.005,50,0.88
7200,0.3,1.25,0.25,0.005,50,0.89
8400,0.3,1.25,0.25,0.005,50,0.92
9600,0.3,1.25,0.25,0.005,50,0.936
600,0.1,1.5,0.25,0.005,50,0.332
1200,0.1,1.5,0.25,0.005,50,0.646
1800,0.1,1.5,0.25,0.005,50,0.756
2400,0.1,1.5,0.25,0.005,50,0.784
3600,0.1,1.5,0.25,0.005,50,0.872
4800,0.1,1.5,0.25,0.005,50,0.912
6000,0.1,1.5,0.25,0.005,50,0.938
7200,0.1,1.5,0.25,0.005,50,0.954
8400,0.1,1.5,0.25,0.005,50,0.966
9600,0.1,1.5,0.25,0.005,50,0.966
600,0.2,1.5,0.25,0.005,50,0.498
1200,0.2,1.5,0.25,0.005,50,0.758
1800,0.2,1.5,0.25,0.005,50,0.814
2400,0.2,1.5,0.25,0.005,50,0.856
3600,0.2,1.5,0.25,0.005,50,0.904
4800,0.2,1.5,0.25,0.005,50,0.956
6000,0.2,1.5,0.25,0.005,50,0.98
7200,0.2,1.5,0.25,0.005,50,0.986
8400,0.2,1.5,0.25,0.005,50,0.988
9600,0.2,1.5,0.25,0.005,50,0.994
600,0.3,1.5,0.25,0.005,50,0.558
1200,0.3,1.5,0.25,0.005,50,0.776
1800,0.3,1.5,0.25,0.005,50,0.842
2400,0.3,1.5,0.25,0.005,50,0.892
3600,0.3,1.5,0.25,0.005,50,0.96
4800,0.3,1.5,0.25,0.005,50,0.99
6000,0.3,1.5,0.25,0.005,50,0.994
7200,0.3,1.5,0.25,0.005,50,0.996
8400,0.3,1.5,0.25,0.005,50,1
9600,0.3,1.5,0.25,0.005,50,1
600,0.1,1.75,0.25,0.005,50,0.624
1200,0.1,1.75,0.25,0.005,50,0.762
1800,0.1,1.75,0.25,0.005,50,0.834
2400,0.1,1.75,0.25,0.005,50,0.892
3600,0.1,1.75,0.25,0.005,50,0.946
4800,0.1,1.75,0.25,0.005,50,0.966
6000,0.1,1.75,0.25,0.005,50,0.998
7200,0.1,1.75,0.25,0.005,50,0.998
8400,0.1,1.75,0.25,0.005,50,0.994
9600,0.1,1.75,0.25,0.005,50,1
600,0.2,1.75,0.25,0.005,50,0.7
1200,0.2,1.75,0.25,0.005,50,0.848
1800,0.2,1.75,0.25,0.005,50,0.89
2400,0.2,1.75,0.25,0.005,50,0.934
3600,0.2,1.75,0.25,0.005,50,0.982
4800,0.2,1.75,0.25,0.005,50,0.99
6000,0.2,1.75,0.25,0.005,50,0.998
7200,0.2,1.75,0.25,0.005,50,1
8400,0.2,1.75,0.25,0.005,50,1
9600,0.2,1.75,0.25,0.005,50,1
600,0.3,1.75,0.25,0.005,50,0.696
1200,0.3,1.75,0.25,0.005,50,0.852
1800,0.3,1.75,0.25,0.005,50,0.918
2400,0.3,1.75,0.25,0.005,50,0.948
3600,0.3,1.75,0.25,0.005,50,0.986
4800,0.3,1.75,0.25,0.005,50,1
6000,0.3,1.75,0.25,0.005,50,0.998
7200,0.3,1.75,0.25,0.005,50,1
8400,0.3,1.75,0.25,0.005,50,1
9600,0.3,1.75,0.25,0.005,50,1
600,0.1,2,0.25,0.005,50,0.724
1200,0.1,2,0.25,0.005,50,0.828
1800,0.1,2,0.25,0.005,50,0.902
2400,0.1,2,0.25,0.005,50,0.942
3600,0.1,2,0.25,0.005,50,0.98
4800,0.1,2,0.25,0.005,50,0.994
6000,0.1,2,0.25,0.005,50,1
7200,0.1,2,0.25,0.005,50,1
8400,0.1,2,0.25,0.005,50,1
9600,0.1,2,0.25,0.005,50,1
600,0.2,2,0.25,0.005,50,0.764
1200,0.2,2,0.25,0.005,50,0.856
1800,0.2,2,0.25,0.005,50,0.946
2400,0.2,2,0.25,0.005,50,0.966
3600,0.2,2,0.25,0.005,50,0.996
4800,0.2,2,0.25,0.005,50,0.998
6000,0.2,2,0.25,0.005,50,1
7200,0.2,2,0.25,0.005,50,1
8400,0.2,2,0.25,0.005,50,1
9600,0.2,2,0.25,0.005,50,1
600,0.3,2,0.25,0.005,50,0.796
1200,0.3,2,0.25,0.005,50,0.898
1800,0.3,2,0.25,0.005,50,0.948
2400,0.3,2,0.25,0.005,50,0.984
3600,0.3,2,0.25,0.005,50,1
4800,0.3,2,0.25,0.005,50,0.998
6000,0.3,2,0.25,0.005,50,1
7200,0.3,2,0.25,0.005,50,1
8400,0.3,2,0.25,0.005,50,1
9600,0.3,2,0.25,0.005,50,1
