n,p,or,r,alpha,n.sim,prop.drivers
1200,0.1,1.25,0.25,0.005,1000,0.1816
1300,0.1,1.25,0.25,0.005,1000,0.2078
1400,0.1,1.25,0.25,0.005,1000,0.2235
1500,0.1,1.25,0.25,0.005,1000,0.2412
1600,0.1,1.25,0.25,0.005,1000,0.2618
1700,0.1,1.25,0.25,0.005,1000,0.2818
1800,0.1,1.25,0.25,0.005,1000,0.3047
1900,0.1,1.25,0.25,0.005,1000,0.3264
2000,0.1,1.25,0.25,0.005,1000,0.344
1200,0.2,1.25,0.25,0.005,1000,0.3304
1300,0.2,1.25,0.25,0.005,1000,0.3609
1400,0.2,1.25,0.25,0.005,1000,0.394
1500,0.2,1.25,0.25,0.005,1000,0.4195
1600,0.2,1.25,0.25,0.005,1000,0.4591
1700,0.2,1.25,0.25,0.005,1000,0.4784
1800,0.2,1.25,0.25,0.005,1000,0.5039
1900,0.2,1.25,0.25,0.005,1000,0.534
2000,0.2,1.25,0.25,0.005,1000,0.5567
1200,0.3,1.25,0.25,0.005,1000,0.4258
1300,0.3,1.25,0.25,0.005,1000,0.447
1400,0.3,1.25,0.25,0.005,1000,0.4923
1500,0.3,1.25,0.25,0.005,1000,0.5226
1600,0.3,1.25,0.25,0.005,1000,0.5547
1700,0.3,1.25,0.25,0.005,1000,0.5756
1800,0.3,1.25,0.25,0.005,1000,0.6037
1900,0.3,1.25,0.25,0.005,1000,0.6207
2000,0.3,1.25,0.25,0.005,1000,0.6435
1200,0.1,1.5,0.25,0.005,1000,0.6431
1300,0.1,1.5,0.25,0.005,1000,0.6723
1400,0.1,1.5,0.25,0.005,1000,0.7037
1500,0.1,1.5,0.25,0.005,1000,0.7143
1600,0.1,1.5,0.25,0.005,1000,0.7341
1700,0.1,1.5,0.25,0.005,1000,0.7412
1800,0.1,1.5,0.25,0.005,1000,0.7579
1900,0.1,1.5,0.25,0.005,1000,0.7616
2000,0.1,1.5,0.25,0.005,1000,0.7718
1200,0.2,1.5,0.25,0.005,1000,0.7433
1300,0.2,1.5,0.25,0.005,1000,0.7544
1400,0.2,1.5,0.25,0.005,1000,0.7688
1500,0.2,1.5,0.25,0.005,1000,0.777
1600,0.2,1.5,0.25,0.005,1000,0.7885
1700,0.2,1.5,0.25,0.005,1000,0.801
1800,0.2,1.5,0.25,0.005,1000,0.8091
