n,n.communities,p,community.var,or,r,alpha,n.sim,n.per.community,prop.drivers,or.margin.of.error
1200,20,0.1,2.73,1.25,0.25,0.0125,500,60,0.06725,1.27762
1300,20,0.1,2.73,1.25,0.25,0.0125,500,65,0.0665,1.2689
1400,20,0.1,2.73,1.25,0.25,0.0125,500,70,0.067,1.24744
1500,20,0.1,2.73,1.25,0.25,0.0125,500,75,0.068,1.25155
1600,20,0.1,2.73,1.25,0.25,0.0125,500,80,0.07475,1.25556
1700,20,0.1,2.73,1.25,0.25,0.0125,500,85,0.07025,1.2271
1800,20,0.1,2.73,1.25,0.25,0.0125,500,90,0.07175,1.23015
1900,20,0.1,2.73,1.25,0.25,0.0125,500,95,0.06675,1.22513
2000,20,0.1,2.73,1.25,0.25,0.0125,500,100,0.07775,1.22546
1200,22,0.1,2.73,1.25,0.25,0.0125,500,55,0.067,1.18961
1300,22,0.1,2.73,1.25,0.25,0.0125,500,59,0.063,1.18718
1400,22,0.1,2.73,1.25,0.25,0.0125,500,64,0.06475,1.17657
1500,22,0.1,2.73,1.25,0.25,0.0125,500,68,0.0615,1.1787
1600,22,0.1,2.73,1.25,0.25,0.0125,500,73,0.06675,1.18998
1700,22,0.1,2.73,1.25,0.25,0.0125,500,77,0.06225,1.17711
1800,22,0.1,2.73,1.25,0.25,0.0125,500,82,0.055,1.16651
1900,22,0.1,2.73,1.25,0.25,0.0125,500,86,0.061,1.18277
2000,22,0.1,2.73,1.25,0.25,0.0125,500,91,0.06625,1.14759
1200,24,0.1,2.73,1.25,0.25,0.0125,500,50,0.05725,1.13484
1300,24,0.1,2.73,1.25,0.25,0.0125,500,54,0.062,1.13844
1400,24,0.1,2.73,1.25,0.25,0.0125,500,58,0.0635,1.11781
1500,24,0.1,2.73,1.25,0.25,0.0125,500,62,0.06825,1.10175
1600,24,0.1,2.73,1.25,0.25,0.0125,500,67,0.0605,1.10811
1700,24,0.1,2.73,1.25,0.25,0.0125,500,71,0.0615,1.09905
1800,24,0.1,2.73,1.25,0.25,0.0125,500,75,0.06875,1.10217
1900,24,0.1,2.73,1.25,0.25,0.0125,500,79,0.058,1.10069
2000,24,0.1,2.73,1.25,0.25,0.0125,500,83,0.057,1.08116
1200,26,0.1,2.73,1.25,0.25,0.0125,500,46,0.058,1.07146
1300,26,0.1,2.73,1.25,0.25,0.0125,500,50,0.05475,1.08744
1400,26,0.1,2.73,1.25,0.25,0.0125,500,54,0.062,1.04793
1500,26,0.1,2.73,1.25,0.25,0.0125,500,58,0.05925,1.04973
1600,26,0.1,2.73,1.25,0.25,0.0125,500,62,0.05525,1.06084
1700,26,0.1,2.73,1.25,0.25,0.0125,500,65,0.06375,1.04616
1800,26,0.1,2.73,1.25,0.25,0.0125,500,69,0.0595,1.04703
1900,26,0.1,2.73,1.25,0.25,0.0125,500,73,0.0545,1.03294
2000,26,0.1,2.73,1.25,0.25,0.0125,500,77,0.0635,1.03977
1200,28,0.1,2.73,1.25,0.25,0.0125,500,43,0.0555,1.04199
1300,28,0.1,2.73,1.25,0.25,0.0125,500,46,0.06,1.03118
1400,28,0.1,2.73,1.25,0.25,0.0125,500,50,0.0595,1.01677
1500,28,0.1,2.73,1.25,0.25,0.0125,500,54,0.06375,1.0073
1600,28,0.1,2.73,1.25,0.25,0.0125,500,57,0.05425,1.01833
1700,28,0.1,2.73,1.25,0.25,0.0125,500,61,0.05975,1.00694
1800,28,0.1,2.73,1.25,0.25,0.0125,500,64,0.0585,0.99624
1900,28,0.1,2.73,1.25,0.25,0.0125,500,68,0.06125,0.98629
2000,28,0.1,2.73,1.25,0.25,0.0125,500,71,0.04975,1.00376
1200,30,0.1,2.73,1.25,0.25,0.0125,500,40,0.058,0.98671
1300,30,0.1,2.73,1.25,0.25,0.0125,500,43,0.0485,0.98225
1400,30,0.1,2.73,1.25,0.25,0.0125,500,47,0.0565,0.97806
1500,30,0.1,2.73,1.25,0.25,0.0125,500,50,0.05725,0.97935
1600,30,0.1,2.73,1.25,0.25,0.0125,500,53,0.06375,0.96511
1700,30,0.1,2.73,1.25,0.25,0.0125,500,57,0.0575,0.95412
1800,30,0.1,2.73,1.25,0.25,0.0125,500,60,0.06075,0.95158
1900,30,0.1,2.73,1.25,0.25,0.0125,500,63,0.06175,0.95966
2000,30,0.1,2.73,1.25,0.25,0.0125,500,67,0.0605,0.95237
1200,20,0.5,2.73,1.25,0.25,0.0125,500,60,0.06325,1.19702
1300,20,0.5,2.73,1.25,0.25,0.0125,500,65,0.075,1.18772
1400,20,0.5,2.73,1.25,0.25,0.0125,500,70,0.069,1.19868
1500,20,0.5,2.73,1.25,0.25,0.0125,500,75,0.06975,1.20614
1600,20,0.5,2.73,1.25,0.25,0.0125,500,80,0.06925,1.20247
1700,20,0.5,2.73,1.25,0.25,0.0125,500,85,0.068,1.20359
1800,20,0.5,2.73,1.25,0.25,0.0125,500,90,0.068,1.1902
1900,20,0.5,2.73,1.25,0.25,0.0125,500,95,0.067,1.20333
2000,20,0.5,2.73,1.25,0.25,0.0125,500,100,0.072,1.18023
1200,22,0.5,2.73,1.25,0.25,0.0125,500,55,0.0635,1.12926
1300,22,0.5,2.73,1.25,0.25,0.0125,500,59,0.0655,1.12692
1400,22,0.5,2.73,1.25,0.25,0.0125,500,64,0.067,1.10849
1500,22,0.5,2.73,1.25,0.25,0.0125,500,68,0.06425,1.11642
1600,22,0.5,2.73,1.25,0.25,0.0125,500,73,0.0635,1.1259
1700,22,0.5,2.73,1.25,0.25,0.0125,500,77,0.06775,1.11889
1800,22,0.5,2.73,1.25,0.25,0.0125,500,82,0.07,1.1312
1900,22,0.5,2.73,1.25,0.25,0.0125,500,86,0.06475,1.10524
2000,22,0.5,2.73,1.25,0.25,0.0125,500,91,0.05775,1.11957
1200,24,0.5,2.73,1.25,0.25,0.0125,500,50,0.0675,1.06704
1300,24,0.5,2.73,1.25,0.25,0.0125,500,54,0.0625,1.07044
1400,24,0.5,2.73,1.25,0.25,0.0125,500,58,0.0645,1.07237
1500,24,0.5,2.73,1.25,0.25,0.0125,500,62,0.06,1.06401
1600,24,0.5,2.73,1.25,0.25,0.0125,500,67,0.05825,1.05556
1700,24,0.5,2.73,1.25,0.25,0.0125,500,71,0.064,1.0598
1800,24,0.5,2.73,1.25,0.25,0.0125,500,75,0.06425,1.04309
1900,24,0.5,2.73,1.25,0.25,0.0125,500,79,0.068,1.04731
2000,24,0.5,2.73,1.25,0.25,0.0125,500,83,0.062,1.04612
1200,26,0.5,2.73,1.25,0.25,0.0125,500,46,0.07175,0.98297
1300,26,0.5,2.73,1.25,0.25,0.0125,500,50,0.0625,1.00797
1400,26,0.5,2.73,1.25,0.25,0.0125,500,54,0.06075,1.00666
1500,26,0.5,2.73,1.25,0.25,0.0125,500,58,0.06275,0.99964
1600,26,0.5,2.73,1.25,0.25,0.0125,500,62,0.06075,0.99655
1700,26,0.5,2.73,1.25,0.25,0.0125,500,65,0.05875,0.99909
1800,26,0.5,2.73,1.25,0.25,0.0125,500,69,0.05975,1.01443
1900,26,0.5,2.73,1.25,0.25,0.0125,500,73,0.0635,0.99126
2000,26,0.5,2.73,1.25,0.25,0.0125,500,77,0.0685,1.00266
1200,28,0.5,2.73,1.25,0.25,0.0125,500,43,0.061,0.96642
1300,28,0.5,2.73,1.25,0.25,0.0125,500,46,0.0675,0.96857
1400,28,0.5,2.73,1.25,0.25,0.0125,500,50,0.065,0.97255
1500,28,0.5,2.73,1.25,0.25,0.0125,500,54,0.071,0.94185
1600,28,0.5,2.73,1.25,0.25,0.0125,500,57,0.06325,0.948
1700,28,0.5,2.73,1.25,0.25,0.0125,500,61,0.062,0.95541
1800,28,0.5,2.73,1.25,0.25,0.0125,500,64,0.0625,0.94195
1900,28,0.5,2.73,1.25,0.25,0.0125,500,68,0.0575,0.94943
2000,28,0.5,2.73,1.25,0.25,0.0125,500,71,0.0565,0.95634
1200,30,0.5,2.73,1.25,0.25,0.0125,500,40,0.05675,0.92953
1300,30,0.5,2.73,1.25,0.25,0.0125,500,43,0.056,0.92283
1400,30,0.5,2.73,1.25,0.25,0.0125,500,47,0.069,0.90434
1500,30,0.5,2.73,1.25,0.25,0.0125,500,50,0.06425,0.91838
1600,30,0.5,2.73,1.25,0.25,0.0125,500,53,0.05775,0.91825
1700,30,0.5,2.73,1.25,0.25,0.0125,500,57,0.06,0.90337
1800,30,0.5,2.73,1.25,0.25,0.0125,500,60,0.05775,0.91122
1900,30,0.5,2.73,1.25,0.25,0.0125,500,63,0.06425,0.89323
2000,30,0.5,2.73,1.25,0.25,0.0125,500,67,0.06925,0.89574
1200,20,0.1,2.73,1.5,0.25,0.0125,500,60,0.11425,1.30355
1300,20,0.1,2.73,1.5,0.25,0.0125,500,65,0.11575,1.3175
1400,20,0.1,2.73,1.5,0.25,0.0125,500,70,0.11725,1.28349
1500,20,0.1,2.73,1.5,0.25,0.0125,500,75,0.1255,1.27481
1600,20,0.1,2.73,1.5,0.25,0.0125,500,80,0.114,1.27588
1700,20,0.1,2.73,1.5,0.25,0.0125,500,85,0.1065,1.28832
1800,20,0.1,2.73,1.5,0.25,0.0125,500,90,0.11075,1.25096
1900,20,0.1,2.73,1.5,0.25,0.0125,500,95,0.10775,1.25436
2000,20,0.1,2.73,1.5,0.25,0.0125,500,100,0.11575,1.26955
1200,22,0.1,2.73,1.5,0.25,0.0125,500,55,0.119,1.20776
1300,22,0.1,2.73,1.5,0.25,0.0125,500,59,0.105,1.22307
1400,22,0.1,2.73,1.5,0.25,0.0125,500,64,0.10975,1.19939
1500,22,0.1,2.73,1.5,0.25,0.0125,500,68,0.1125,1.19364
1600,22,0.1,2.73,1.5,0.25,0.0125,500,73,0.1235,1.2028
1700,22,0.1,2.73,1.5,0.25,0.0125,500,77,0.11575,1.20442
1800,22,0.1,2.73,1.5,0.25,0.0125,500,82,0.1185,1.18339
1900,22,0.1,2.73,1.5,0.25,0.0125,500,86,0.1145,1.17459
2000,22,0.1,2.73,1.5,0.25,0.0125,500,91,0.12025,1.18375
1200,24,0.1,2.73,1.5,0.25,0.0125,500,50,0.113,1.14039
1300,24,0.1,2.73,1.5,0.25,0.0125,500,54,0.12125,1.1678
1400,24,0.1,2.73,1.5,0.25,0.0125,500,58,0.119,1.15573
1500,24,0.1,2.73,1.5,0.25,0.0125,500,62,0.1145,1.14276
1600,24,0.1,2.73,1.5,0.25,0.0125,500,67,0.1245,1.12625
1700,24,0.1,2.73,1.5,0.25,0.0125,500,71,0.12475,1.12354
1800,24,0.1,2.73,1.5,0.25,0.0125,500,75,0.11425,1.14767
1900,24,0.1,2.73,1.5,0.25,0.0125,500,79,0.127,1.091
2000,24,0.1,2.73,1.5,0.25,0.0125,500,83,0.12175,1.11551
1200,26,0.1,2.73,1.5,0.25,0.0125,500,46,0.1125,1.11288
1300,26,0.1,2.73,1.5,0.25,0.0125,500,50,0.11225,1.11129
1400,26,0.1,2.73,1.5,0.25,0.0125,500,54,0.11,1.08451
1500,26,0.1,2.73,1.5,0.25,0.0125,500,58,0.12825,1.08421
1600,26,0.1,2.73,1.5,0.25,0.0125,500,62,0.12275,1.06755
1700,26,0.1,2.73,1.5,0.25,0.0125,500,65,0.11425,1.08229
1800,26,0.1,2.73,1.5,0.25,0.0125,500,69,0.12425,1.04376
1900,26,0.1,2.73,1.5,0.25,0.0125,500,73,0.11975,1.06203
2000,26,0.1,2.73,1.5,0.25,0.0125,500,77,0.12175,1.05412
1200,28,0.1,2.73,1.5,0.25,0.0125,500,43,0.12525,1.04369
1300,28,0.1,2.73,1.5,0.25,0.0125,500,46,0.123,1.02712
1400,28,0.1,2.73,1.5,0.25,0.0125,500,50,0.12975,1.02028
1500,28,0.1,2.73,1.5,0.25,0.0125,500,54,0.12575,1.02836
1600,28,0.1,2.73,1.5,0.25,0.0125,500,57,0.12525,1.02133
1700,28,0.1,2.73,1.5,0.25,0.0125,500,61,0.12675,1.01618
1800,28,0.1,2.73,1.5,0.25,0.0125,500,64,0.12425,1.01202
1900,28,0.1,2.73,1.5,0.25,0.0125,500,68,0.131,1.00071
2000,28,0.1,2.73,1.5,0.25,0.0125,500,71,0.12525,1.01719
1200,30,0.1,2.73,1.5,0.25,0.0125,500,40,0.12525,1.00361
1300,30,0.1,2.73,1.5,0.25,0.0125,500,43,0.119,0.99177
1400,30,0.1,2.73,1.5,0.25,0.0125,500,47,0.1275,0.99199
