n,n.communities,p,community.var,or,r,alpha,n.sim,n.per.community,prop.drivers,or.margin.of.error
1000,25,0.1,2.73,1,0.25,0.0125,1000,40,0.03212,1.12586
1500,25,0.1,2.73,1,0.25,0.0125,1000,60,0.035,1.07529
2000,25,0.1,2.73,1,0.25,0.0125,1000,80,0.04025,1.04602
2500,25,0.1,2.73,1,0.25,0.0125,1000,100,0.04313,1.04064
3000,25,0.1,2.73,1,0.25,0.0125,1000,120,0.037,1.04015
1000,50,0.1,2.73,1,0.25,0.0125,1000,20,0.02125,0.7402
1500,50,0.1,2.73,1,0.25,0.0125,1000,30,0.02425,0.71039
2000,50,0.1,2.73,1,0.25,0.0125,1000,40,0.02088,0.68976
2500,50,0.1,2.73,1,0.25,0.0125,1000,50,0.02288,0.68246
3000,50,0.1,2.73,1,0.25,0.0125,1000,60,0.02437,0.67433
1000,100,0.1,2.73,1,0.25,0.0125,1000,10,0.018,0.52169
1500,100,0.1,2.73,1,0.25,0.0125,1000,15,0.01663,0.49556
2000,100,0.1,2.73,1,0.25,0.0125,1000,20,0.01725,0.47606
2500,100,0.1,2.73,1,0.25,0.0125,1000,25,0.01837,0.4672
3000,100,0.1,2.73,1,0.25,0.0125,1000,30,0.01925,0.46147
1000,25,0.5,2.73,1,0.25,0.0125,1000,40,0.03387,1.04955
1500,25,0.5,2.73,1,0.25,0.0125,1000,60,0.036,1.02008
2000,25,0.5,2.73,1,0.25,0.0125,1000,80,0.03888,1.01603
2500,25,0.5,2.73,1,0.25,0.0125,1000,100,0.03825,1.01289
3000,25,0.5,2.73,1,0.25,0.0125,1000,120,0.03637,1.01415
1000,50,0.5,2.73,1,0.25,0.0125,1000,20,0.02125,0.68051
1500,50,0.5,2.73,1,0.25,0.0125,1000,30,0.02187,0.66606
2000,50,0.5,2.73,1,0.25,0.0125,1000,40,0.02325,0.65627
2500,50,0.5,2.73,1,0.25,0.0125,1000,50,0.02138,0.6512
3000,50,0.5,2.73,1,0.25,0.0125,1000,60,0.01962,0.65347
1000,100,0.5,2.73,1,0.25,0.0125,1000,10,0.01712,0.46352
1500,100,0.5,2.73,1,0.25,0.0125,1000,15,0.01663,0.45091
2000,100,0.5,2.73,1,0.25,0.0125,1000,20,0.01888,0.44185
2500,100,0.5,2.73,1,0.25,0.0125,1000,25,0.01613,0.43578
3000,100,0.5,2.73,1,0.25,0.0125,1000,30,0.01588,0.43424
1000,25,0.1,2.73,1.25,0.25,0.0125,1000,40,0.05763,1.12038
1500,25,0.1,2.73,1.25,0.25,0.0125,1000,60,0.05775,1.08505
2000,25,0.1,2.73,1.25,0.25,0.0125,1000,80,0.0615,1.05978
2500,25,0.1,2.73,1.25,0.25,0.0125,1000,100,0.06262,1.04849
3000,25,0.1,2.73,1.25,0.25,0.0125,1000,120,0.06262,1.04531
1000,50,0.1,2.73,1.25,0.25,0.0125,1000,20,0.059,0.75056
1500,50,0.1,2.73,1.25,0.25,0.0125,1000,30,0.06063,0.71538
2000,50,0.1,2.73,1.25,0.25,0.0125,1000,40,0.06362,0.70523
2500,50,0.1,2.73,1.25,0.25,0.0125,1000,50,0.06425,0.68767
3000,50,0.1,2.73,1.25,0.25,0.0125,1000,60,0.05863,0.68634
1000,100,0.1,2.73,1.25,0.25,0.0125,1000,10,0.083,0.5261
1500,100,0.1,2.73,1.25,0.25,0.0125,1000,15,0.0945,0.49858
2000,100,0.1,2.73,1.25,0.25,0.0125,1000,20,0.09712,0.48126
2500,100,0.1,2.73,1.25,0.25,0.0125,1000,25,0.09763,0.47081
3000,100,0.1,2.73,1.25,0.25,0.0125,1000,30,0.10187,0.46574
