n,p,or,r,alpha,n.sim,prop.drivers
600,0.1,1.25,0.25,0.005,100,0.076
1200,0.1,1.25,0.25,0.005,100,0.182
1800,0.1,1.25,0.25,0.005,100,0.298
2400,0.1,1.25,0.25,0.005,100,0.418
3600,0.1,1.25,0.25,0.005,100,0.601
4800,0.1,1.25,0.25,0.005,100,0.716
6000,0.1,1.25,0.25,0.005,100,0.749
7200,0.1,1.25,0.25,0.005,100,0.78
8400,0.1,1.25,0.25,0.005,100,0.817
9600,0.1,1.25,0.25,0.005,100,0.824
600,0.2,1.25,0.25,0.005,100,0.134
1200,0.2,1.25,0.25,0.005,100,0.335
1800,0.2,1.25,0.25,0.005,100,0.517
2400,0.2,1.25,0.25,0.005,100,0.631
3600,0.2,1.25,0.25,0.005,100,0.748
4800,0.2,1.25,0.25,0.005,100,0.792
6000,0.2,1.25,0.25,0.005,100,0.833
7200,0.2,1.25,0.25,0.005,100,0.862
8400,0.2,1.25,0.25,0.005,100,0.881
9600,0.2,1.25,0.25,0.005,100,0.902
600,0.3,1.25,0.25,0.005,100,0.173
1200,0.3,1.25,0.25,0.005,100,0.425
1800,0.3,1.25,0.25,0.005,100,0.601
2400,0.3,1.25,0.25,0.005,100,0.723
3600,0.3,1.25,0.25,0.005,100,0.785
4800,0.3,1.25,0.25,0.005,100,0.841
6000,0.3,1.25,0.25,0.005,100,0.871
7200,0.3,1.25,0.25,0.005,100,0.909
8400,0.3,1.25,0.25,0.005,100,0.926
9600,0.3,1.25,0.25,0.005,100,0.937
600,0.1,1.5,0.25,0.005,100,0.36
1200,0.1,1.5,0.25,0.005,100,0.633
1800,0.1,1.5,0.25,0.005,100,0.752
2400,0.1,1.5,0.25,0.005,100,0.795
3600,0.1,1.5,0.25,0.005,100,0.853
4800,0.1,1.5,0.25,0.005,100,0.897
6000,0.1,1.5,0.25,0.005,100,0.938
7200,0.1,1.5,0.25,0.005,100,0.952
8400,0.1,1.5,0.25,0.005,100,0.971
9600,0.1,1.5,0.25,0.005,100,0.982
600,0.2,1.5,0.25,0.005,100,0.497
1200,0.2,1.5,0.25,0.005,100,0.729
1800,0.2,1.5,0.25,0.005,100,0.812
2400,0.2,1.5,0.25,0.005,100,0.843
3600,0.2,1.5,0.25,0.005,100,0.912
4800,0.2,1.5,0.25,0.005,100,0.945
6000,0.2,1.5,0.25,0.005,100,0.978
7200,0.2,1.5,0.25,0.005,100,0.993
8400,0.2,1.5,0.25,0.005,100,0.99
9600,0.2,1.5,0.25,0.005,100,0.998
600,0.3,1.5,0.25,0.005,100,0.553
1200,0.3,1.5,0.25,0.005,100,0.754
1800,0.3,1.5,0.25,0.005,100,0.841
2400,0.3,1.5,0.25,0.005,100,0.879
3600,0.3,1.5,0.25,0.005,100,0.934
4800,0.3,1.5,0.25,0.005,100,0.969
6000,0.3,1.5,0.25,0.005,100,0.988
7200,0.3,1.5,0.25,0.005,100,0.992
8400,0.3,1.5,0.25,0.005,100,0.998
9600,0.3,1.5,0.25,0.005,100,1
600,0.1,1.75,0.25,0.005,100,0.59
1200,0.1,1.75,0.25,0.005,100,0.788
1800,0.1,1.75,0.25,0.005,100,0.85
2400,0.1,1.75,0.25,0.005,100,0.886
3600,0.1,1.75,0.25,0.005,100,0.948
4800,0.1,1.75,0.25,0.005,100,0.973
6000,0.1,1.75,0.25,0.005,100,0.988
7200,0.1,1.75,0.25,0.005,100,0.997
8400,0.1,1.75,0.25,0.005,100,0.997
9600,0.1,1.75,0.25,0.005,100,0.998
600,0.2,1.75,0.25,0.005,100,0.7
1200,0.2,1.75,0.25,0.005,100,0.835
1800,0.2,1.75,0.25,0.005,100,0.89
2400,0.2,1.75,0.25,0.005,100,0.947
3600,0.2,1.75,0.25,0.005,100,0.979
4800,0.2,1.75,0.25,0.005,100,0.994
6000,0.2,1.75,0.25,0.005,100,0.992
7200,0.2,1.75,0.25,0.005,100,0.999
8400,0.2,1.75,0.25,0.005,100,1
9600,0.2,1.75,0.25,0.005,100,1
600,0.3,1.75,0.25,0.005,100,0.723
1200,0.3,1.75,0.25,0.005,100,0.844
1800,0.3,1.75,0.25,0.005,100,0.917
2400,0.3,1.75,0.25,0.005,100,0.947
3600,0.3,1.75,0.25,0.005,100,0.986
4800,0.3,1.75,0.25,0.005,100,0.999
6000,0.3,1.75,0.25,0.005,100,0.999
7200,0.3,1.75,0.25,0.005,100,0.999
8400,0.3,1.75,0.25,0.005,100,1
9600,0.3,1.75,0.25,0.005,100,1
600,0.1,2,0.25,0.005,100,0.721
1200,0.1,2,0.25,0.005,100,0.845
1800,0.1,2,0.25,0.005,100,0.896
2400,0.1,2,0.25,0.005,100,0.95
3600,0.1,2,0.25,0.005,100,0.982
4800,0.1,2,0.25,0.005,100,0.996
6000,0.1,2,0.25,0.005,100,0.999
7200,0.1,2,0.25,0.005,100,0.998
8400,0.1,2,0.25,0.005,100,1
9600,0.1,2,0.25,0.005,100,1
600,0.2,2,0.25,0.005,100,0.759
1200,0.2,2,0.25,0.005,100,0.878
1800,0.2,2,0.25,0.005,100,0.936
2400,0.2,2,0.25,0.005,100,0.965
3600,0.2,2,0.25,0.005,100,0.994
4800,0.2,2,0.25,0.005,100,1
6000,0.2,2,0.25,0.005,100,1
7200,0.2,2,0.25,0.005,100,1
