n.screened,n.neg,p,or,r,alpha,n.sim,prop.drivers,n.pos
2400,240,0.5,1.25,0.25,0.005,10,0.31,1129
2400,360,0.5,1.25,0.25,0.005,10,0.49,1143
2400,480,0.5,1.25,0.25,0.005,10,0.54,1129
2400,600,0.5,1.25,0.25,0.005,10,0.66,1135
2400,720,0.5,1.25,0.25,0.005,10,0.7,1127
2400,840,0.5,1.25,0.25,0.005,10,0.64,1133
2400,960,0.5,1.25,0.25,0.005,10,0.69,1124
2400,1080,0.5,1.25,0.25,0.005,10,0.67,1122
2400,1200,0.5,1.25,0.25,0.005,10,0.71,1131
2400,240,0.5,1.5,0.25,0.005,10,0.75,1095
2400,360,0.5,1.5,0.25,0.005,10,0.82,1090
2400,480,0.5,1.5,0.25,0.005,10,0.8,1097
2400,600,0.5,1.5,0.25,0.005,10,0.86,1116
2400,720,0.5,1.5,0.25,0.005,10,0.91,1112
2400,840,0.5,1.5,0.25,0.005,10,0.91,1092
2400,960,0.5,1.5,0.25,0.005,10,0.92,1101
2400,1080,0.5,1.5,0.25,0.005,10,0.91,1095
2400,1200,0.5,1.5,0.25,0.005,10,0.94,1076
2400,240,0.5,1.75,0.25,0.005,10,0.89,1088
2400,360,0.5,1.75,0.25,0.005,10,0.86,1098
2400,480,0.5,1.75,0.25,0.005,10,0.91,1083
2400,600,0.5,1.75,0.25,0.005,10,0.95,1085
2400,720,0.5,1.75,0.25,0.005,10,0.94,1082
2400,840,0.5,1.75,0.25,0.005,10,0.97,1086
2400,960,0.5,1.75,0.25,0.005,10,0.97,1088
2400,1080,0.5,1.75,0.25,0.005,10,0.98,1077
2400,1200,0.5,1.75,0.25,0.005,10,0.96,1079
2400,240,0.5,2,0.25,0.005,10,0.89,1072
2400,360,0.5,2,0.25,0.005,10,0.88,1060
2400,480,0.5,2,0.25,0.005,10,0.97,1079
2400,600,0.5,2,0.25,0.005,10,0.95,1063
2400,720,0.5,2,0.25,0.005,10,0.95,1075
2400,840,0.5,2,0.25,0.005,10,0.96,1082
2400,960,0.5,2,0.25,0.005,10,1,1072
2400,1080,0.5,2,0.25,0.005,10,1,1078
2400,1200,0.5,2,0.25,0.005,10,1,1082
