n,p,or,r,alpha,n.sim,prop.drivers
500,0.05,1,0.25,0.005,1000,0.0042
1000,0.05,1,0.25,0.005,1000,0.0043
1500,0.05,1,0.25,0.005,1000,0.0044
2000,0.05,1,0.25,0.005,1000,0.0048
2500,0.05,1,0.25,0.005,1000,0.0039
3000,0.05,1,0.25,0.005,1000,0.0057
500,0.1,1,0.25,0.005,1000,0.0048
1000,0.1,1,0.25,0.005,1000,0.0045
1500,0.1,1,0.25,0.005,1000,0.0055
2000,0.1,1,0.25,0.005,1000,0.0051
2500,0.1,1,0.25,0.005,1000,0.004
3000,0.1,1,0.25,0.005,1000,0.0047
500,0.15,1,0.25,0.005,1000,0.0038
1000,0.15,1,0.25,0.005,1000,0.0042
1500,0.15,1,0.25,0.005,1000,0.0042
2000,0.15,1,0.25,0.005,1000,0.0047
2500,0.15,1,0.25,0.005,1000,0.0048
3000,0.15,1,0.25,0.005,1000,0.0048
500,0.2,1,0.25,0.005,1000,0.0047
1000,0.2,1,0.25,0.005,1000,0.0057
1500,0.2,1,0.25,0.005,1000,0.0049
2000,0.2,1,0.25,0.005,1000,0.0049
2500,0.2,1,0.25,0.005,1000,0.0056
3000,0.2,1,0.25,0.005,1000,0.0049
500,0.25,1,0.25,0.005,1000,0.0059
1000,0.25,1,0.25,0.005,1000,0.0048
1500,0.25,1,0.25,0.005,1000,0.0041
2000,0.25,1,0.25,0.005,1000,0.0052
2500,0.25,1,0.25,0.005,1000,0.0039
3000,0.25,1,0.25,0.005,1000,0.0051
500,0.3,1,0.25,0.005,1000,0.0056
1000,0.3,1,0.25,0.005,1000,0.0044
1500,0.3,1,0.25,0.005,1000,0.0047
2000,0.3,1,0.25,0.005,1000,0.0053
2500,0.3,1,0.25,0.005,1000,0.0047
3000,0.3,1,0.25,0.005,1000,0.0052
500,0.05,1.25,0.25,0.005,1000,0.0233
1000,0.05,1.25,0.25,0.005,1000,0.0538
1500,0.05,1.25,0.25,0.005,1000,0.0941
2000,0.05,1.25,0.25,0.005,1000,0.1339
2500,0.05,1.25,0.25,0.005,1000,0.1772
3000,0.05,1.25,0.25,0.005,1000,0.2304
500,0.1,1.25,0.25,0.005,1000,0.0421
1000,0.1,1.25,0.25,0.005,1000,0.1151
1500,0.1,1.25,0.25,0.005,1000,0.199
2000,0.1,1.25,0.25,0.005,1000,0.2819
2500,0.1,1.25,0.25,0.005,1000,0.3622
3000,0.1,1.25,0.25,0.005,1000,0.4418
