n.screened,n.neg,p,or,r,alpha,n.sim,prop.drivers,n.pos
2400,240,0.5,1.25,0.25,0.005,50,0.322,1134
2400,360,0.5,1.25,0.25,0.005,50,0.454,1127
2400,480,0.5,1.25,0.25,0.005,50,0.566,1128
2400,600,0.5,1.25,0.25,0.005,50,0.602,1129
2400,720,0.5,1.25,0.25,0.005,50,0.666,1130
2400,840,0.5,1.25,0.25,0.005,50,0.672,1133
2400,960,0.5,1.25,0.25,0.005,50,0.718,1131
2400,1080,0.5,1.25,0.25,0.005,50,0.72,1125
2400,1200,0.5,1.25,0.25,0.005,50,0.754,1133
2400,240,0.5,1.5,0.25,0.005,50,0.742,1108
2400,360,0.5,1.5,0.25,0.005,50,0.796,1094
2400,480,0.5,1.5,0.25,0.005,50,0.85,1095
2400,600,0.5,1.5,0.25,0.005,50,0.828,1097
2400,720,0.5,1.5,0.25,0.005,50,0.864,1097
2400,840,0.5,1.5,0.25,0.005,50,0.862,1096
2400,960,0.5,1.5,0.25,0.005,50,0.884,1095
2400,1080,0.5,1.5,0.25,0.005,50,0.892,1096
2400,1200,0.5,1.5,0.25,0.005,50,0.92,1095
2400,240,0.5,1.75,0.25,0.005,50,0.84,1076
2400,360,0.5,1.75,0.25,0.005,50,0.86,1083
2400,480,0.5,1.75,0.25,0.005,50,0.902,1083
2400,600,0.5,1.75,0.25,0.005,50,0.924,1080
2400,720,0.5,1.75,0.25,0.005,50,0.928,1083
2400,840,0.5,1.75,0.25,0.005,50,0.94,1081
2400,960,0.5,1.75,0.25,0.005,50,0.958,1081
2400,1080,0.5,1.75,0.25,0.005,50,0.948,1080
2400,1200,0.5,1.75,0.25,0.005,50,0.96,1086
2400,240,0.5,2,0.25,0.005,50,0.904,1070
2400,360,0.5,2,0.25,0.005,50,0.918,1073
2400,480,0.5,2,0.25,0.005,50,0.968,1072
2400,600,0.5,2,0.25,0.005,50,0.962,1068
2400,720,0.5,2,0.25,0.005,50,0.962,1071
2400,840,0.5,2,0.25,0.005,50,0.976,1068
2400,960,0.5,2,0.25,0.005,50,0.98,1067
2400,1080,0.5,2,0.25,0.005,50,0.982,1074
2400,1200,0.5,2,0.25,0.005,50,0.988,1072
