n,p,or,r,alpha,n.sim,prop.drivers
600,0.1,1.25,0.25,0.005,50,0.078
1200,0.1,1.25,0.25,0.005,50,0.18
1800,0.1,1.25,0.25,0.005,50,0.286
2400,0.1,1.25,0.25,0.005,50,0.432
3600,0.1,1.25,0.25,0.005,50,0.61
4800,0.1,1.25,0.25,0.005,50,0.7
6000,0.1,1.25,0.25,0.005,50,0.776
7200,0.1,1.25,0.25,0.005,50,0.774
8400,0.1,1.25,0.25,0.005,50,0.804
9600,0.1,1.25,0.25,0.005,50,0.804
600,0.2,1.25,0.25,0.005,50,0.14
1200,0.2,1.25,0.25,0.005,50,0.314
1800,0.2,1.25,0.25,0.005,50,0.5
2400,0.2,1.25,0.25,0.005,50,0.602
3600,0.2,1.25,0.25,0.005,50,0.764
4800,0.2,1.25,0.25,0.005,50,0.812
6000,0.2,1.25,0.25,0.005,50,0.832
7200,0.2,1.25,0.25,0.005,50,0.844
8400,0.2,1.25,0.25,0.005,50,0.864
9600,0.2,1.25,0.25,0.005,50,0.888
600,0.3,1.25,0.25,0.005,50,0.162
1200,0.3,1.25,0.25,0.005,50,0.414
1800,0.3,1.25,0.25,0.005,50,0.612
2400,0.3,1.25,0.25,0.005,50,0.706
3600,0.3,1.25,0.25,0.005,50,0.796
4800,0.3,1.25,0.25,0.005,50,0.834
6000,0.3,1.25,0.25,0.005,50,0.86
7200,0.3,1.25,0.25,0.005,50,0.892
8400,0.3,1.25,0.25,0.005,50,0.908
9600,0.3,1.25,0.25,0.005,50,0.944
600,0.1,1.5,0.25,0.005,50,0.344
1200,0.1,1.5,0.25,0.005,50,0.652
1800,0.1,1.5,0.25,0.005,50,0.748
2400,0.1,1.5,0.25,0.005,50,0.792
3600,0.1,1.5,0.25,0.005,50,0.872
4800,0.1,1.5,0.25,0.005,50,0.92
6000,0.1,1.5,0.25,0.005,50,0.938
7200,0.1,1.5,0.25,0.005,50,0.946
8400,0.1,1.5,0.25,0.005,50,0.964
9600,0.1,1.5,0.25,0.005,50,0.988
600,0.2,1.5,0.25,0.005,50,0.51
1200,0.2,1.5,0.25,0.005,50,0.742
1800,0.2,1.5,0.25,0.005,50,0.816
2400,0.2,1.5,0.25,0.005,50,0.866
3600,0.2,1.5,0.25,0.005,50,0.918
4800,0.2,1.5,0.25,0.005,50,0.962
6000,0.2,1.5,0.25,0.005,50,0.978
7200,0.2,1.5,0.25,0.005,50,0.984
8400,0.2,1.5,0.25,0.005,50,0.992
9600,0.2,1.5,0.25,0.005,50,0.996
600,0.3,1.5,0.25,0.005,50,0.53
1200,0.3,1.5,0.25,0.005,50,0.766
1800,0.3,1.5,0.25,0.005,50,0.846
2400,0.3,1.5,0.25,0.005,50,0.888
3600,0.3,1.5,0.25,0.005,50,0.938
4800,0.3,1.5,0.25,0.005,50,0.982
6000,0.3,1.5,0.25,0.005,50,0.994
7200,0.3,1.5,0.25,0.005,50,0.994
8400,0.3,1.5,0.25,0.005,50,0.998
9600,0.3,1.5,0.25,0.005,50,1
600,0.1,1.75,0.25,0.005,50,0.6
1200,0.1,1.75,0.25,0.005,50,0.802
1800,0.1,1.75,0.25,0.005,50,0.85
2400,0.1,1.75,0.25,0.005,50,0.896
3600,0.1,1.75,0.25,0.005,50,0.952
4800,0.1,1.75,0.25,0.005,50,0.972
6000,0.1,1.75,0.25,0.005,50,0.984
7200,0.1,1.75,0.25,0.005,50,0.988
8400,0.1,1.75,0.25,0.005,50,0.998
9600,0.1,1.75,0.25,0.005,50,1
600,0.2,1.75,0.25,0.005,50,0.706
1200,0.2,1.75,0.25,0.005,50,0.816
1800,0.2,1.75,0.25,0.005,50,0.884
2400,0.2,1.75,0.25,0.005,50,0.95
3600,0.2,1.75,0.25,0.005,50,0.98
4800,0.2,1.75,0.25,0.005,50,0.992
6000,0.2,1.75,0.25,0.005,50,0.998
7200,0.2,1.75,0.25,0.005,50,1
8400,0.2,1.75,0.25,0.005,50,1
9600,0.2,1.75,0.25,0.005,50,1
600,0.3,1.75,0.25,0.005,50,0.714
1200,0.3,1.75,0.25,0.005,50,0.854
1800,0.3,1.75,0.25,0.005,50,0.936
2400,0.3,1.75,0.25,0.005,50,0.95
3600,0.3,1.75,0.25,0.005,50,0.994
4800,0.3,1.75,0.25,0.005,50,1
6000,0.3,1.75,0.25,0.005,50,1
7200,0.3,1.75,0.25,0.005,50,1
8400,0.3,1.75,0.25,0.005,50,1
9600,0.3,1.75,0.25,0.005,50,1
600,0.1,2,0.25,0.005,50,0.706
1200,0.1,2,0.25,0.005,50,0.858
1800,0.1,2,0.25,0.005,50,0.894
2400,0.1,2,0.25,0.005,50,0.944
3600,0.1,2,0.25,0.005,50,0.976
4800,0.1,2,0.25,0.005,50,0.998
6000,0.1,2,0.25,0.005,50,0.998
7200,0.1,2,0.25,0.005,50,1
8400,0.1,2,0.25,0.005,50,1
9600,0.1,2,0.25,0.005,50,1
600,0.2,2,0.25,0.005,50,0.764
1200,0.2,2,0.25,0.005,50,0.882
1800,0.2,2,0.25,0.005,50,0.922
2400,0.2,2,0.25,0.005,50,0.962
3600,0.2,2,0.25,0.005,50,0.998
4800,0.2,2,0.25,0.005,50,1
6000,0.2,2,0.25,0.005,50,1
7200,0.2,2,0.25,0.005,50,1
8400,0.2,2,0.25,0.005,50,1
9600,0.2,2,0.25,0.005,50,1
600,0.3,2,0.25,0.005,50,0.798
1200,0.3,2,0.25,0.005,50,0.9
1800,0.3,2,0.25,0.005,50,0.936
2400,0.3,2,0.25,0.005,50,0.984
3600,0.3,2,0.25,0.005,50,0.996
4800,0.3,2,0.25,0.005,50,1
6000,0.3,2,0.25,0.005,50,1
7200,0.3,2,0.25,0.005,50,1
8400,0.3,2,0.25,0.005,50,1
9600,0.3,2,0.25,0.005,50,1
