n,n.communities,p,community.var,or,r,alpha,n.sim,n.per.community,prop.drivers,or.margin.of.error
600,25,0.1,2.73,1.25,0.25,0.0125,250,24,0.05,1.17752
1200,25,0.1,2.73,1.25,0.25,0.0125,250,48,0.0645,1.07588
1800,25,0.1,2.73,1.25,0.25,0.0125,250,72,0.0645,1.05245
2400,25,0.1,2.73,1.25,0.25,0.0125,250,96,0.057,1.04251
3600,25,0.1,2.73,1.25,0.25,0.0125,250,144,0.071,1.02986
4800,25,0.1,2.73,1.25,0.25,0.0125,250,192,0.07,1.01996
6000,25,0.1,2.73,1.25,0.25,0.0125,250,240,0.0675,1.00241
7200,25,0.1,2.73,1.25,0.25,0.0125,250,288,0.07,1.01201
8400,25,0.1,2.73,1.25,0.25,0.0125,250,336,0.06,1.00198
9600,25,0.1,2.73,1.25,0.25,0.0125,250,384,0.0665,1.0178
600,50,0.1,2.73,1.25,0.25,0.0125,250,12,0.0515,0.8055
1200,50,0.1,2.73,1.25,0.25,0.0125,250,24,0.0635,0.74043
1800,50,0.1,2.73,1.25,0.25,0.0125,250,36,0.069,0.70863
2400,50,0.1,2.73,1.25,0.25,0.0125,250,48,0.0665,0.69132
3600,50,0.1,2.73,1.25,0.25,0.0125,250,72,0.071,0.66683
4800,50,0.1,2.73,1.25,0.25,0.0125,250,96,0.0725,0.66001
6000,50,0.1,2.73,1.25,0.25,0.0125,250,120,0.0705,0.6556
7200,50,0.1,2.73,1.25,0.25,0.0125,250,144,0.0725,0.64398
8400,50,0.1,2.73,1.25,0.25,0.0125,250,168,0.0605,0.65255
9600,50,0.1,2.73,1.25,0.25,0.0125,250,192,0.07,0.64441
600,100,0.1,2.73,1.25,0.25,0.0125,250,6,0.066,0.59525
1200,100,0.1,2.73,1.25,0.25,0.0125,250,12,0.081,0.51844
1800,100,0.1,2.73,1.25,0.25,0.0125,250,18,0.0775,0.4905
2400,100,0.1,2.73,1.25,0.25,0.0125,250,24,0.1065,0.47125
3600,100,0.1,2.73,1.25,0.25,0.0125,250,36,0.091,0.45671
4800,100,0.1,2.73,1.25,0.25,0.0125,250,48,0.1095,0.447
6000,100,0.1,2.73,1.25,0.25,0.0125,250,60,0.104,0.43838
7200,100,0.1,2.73,1.25,0.25,0.0125,250,72,0.097,0.44195
8400,100,0.1,2.73,1.25,0.25,0.0125,250,84,0.1105,0.43681
9600,100,0.1,2.73,1.25,0.25,0.0125,250,96,0.1105,0.43367
600,25,0.5,2.73,1.25,0.25,0.0125,250,24,0.0675,1.06897
1200,25,0.5,2.73,1.25,0.25,0.0125,250,48,0.054,1.05457
1800,25,0.5,2.73,1.25,0.25,0.0125,250,72,0.056,1.02393
2400,25,0.5,2.73,1.25,0.25,0.0125,250,96,0.062,1.03072
3600,25,0.5,2.73,1.25,0.25,0.0125,250,144,0.055,1.00264
4800,25,0.5,2.73,1.25,0.25,0.0125,250,192,0.0595,1.01438
6000,25,0.5,2.73,1.25,0.25,0.0125,250,240,0.062,0.99598
7200,25,0.5,2.73,1.25,0.25,0.0125,250,288,0.061,1.0064
8400,25,0.5,2.73,1.25,0.25,0.0125,250,336,0.0655,1.01374
9600,25,0.5,2.73,1.25,0.25,0.0125,250,384,0.061,0.99501
600,50,0.5,2.73,1.25,0.25,0.0125,250,12,0.066,0.71687
1200,50,0.5,2.73,1.25,0.25,0.0125,250,24,0.0635,0.68316
1800,50,0.5,2.73,1.25,0.25,0.0125,250,36,0.057,0.6616
2400,50,0.5,2.73,1.25,0.25,0.0125,250,48,0.0725,0.6572
3600,50,0.5,2.73,1.25,0.25,0.0125,250,72,0.0695,0.64601
4800,50,0.5,2.73,1.25,0.25,0.0125,250,96,0.0765,0.65087
6000,50,0.5,2.73,1.25,0.25,0.0125,250,120,0.0615,0.64273
7200,50,0.5,2.73,1.25,0.25,0.0125,250,144,0.064,0.63618
8400,50,0.5,2.73,1.25,0.25,0.0125,250,168,0.0765,0.63437
9600,50,0.5,2.73,1.25,0.25,0.0125,250,192,0.0665,0.62796
600,100,0.5,2.73,1.25,0.25,0.0125,250,6,0.084,0.49737
1200,100,0.5,2.73,1.25,0.25,0.0125,250,12,0.108,0.45949
1800,100,0.5,2.73,1.25,0.25,0.0125,250,18,0.1255,0.44369
2400,100,0.5,2.73,1.25,0.25,0.0125,250,24,0.099,0.4435
3600,100,0.5,2.73,1.25,0.25,0.0125,250,36,0.117,0.43249
4800,100,0.5,2.73,1.25,0.25,0.0125,250,48,0.108,0.42983
6000,100,0.5,2.73,1.25,0.25,0.0125,250,60,0.117,0.42327
7200,100,0.5,2.73,1.25,0.25,0.0125,250,72,0.1065,0.42415
8400,100,0.5,2.73,1.25,0.25,0.0125,250,84,0.1205,0.42254
9600,100,0.5,2.73,1.25,0.25,0.0125,250,96,0.109,0.42394
600,25,0.1,2.73,1.5,0.25,0.0125,250,24,0.0975,1.20541
1200,25,0.1,2.73,1.5,0.25,0.0125,250,48,0.107,1.12475
1800,25,0.1,2.73,1.5,0.25,0.0125,250,72,0.117,1.08865
2400,25,0.1,2.73,1.5,0.25,0.0125,250,96,0.1235,1.07235
3600,25,0.1,2.73,1.5,0.25,0.0125,250,144,0.1275,1.04591
4800,25,0.1,2.73,1.5,0.25,0.0125,250,192,0.129,1.02037
6000,25,0.1,2.73,1.5,0.25,0.0125,250,240,0.1295,1.0128
7200,25,0.1,2.73,1.5,0.25,0.0125,250,288,0.1335,1.01898
8400,25,0.1,2.73,1.5,0.25,0.0125,250,336,0.1325,1.01859
9600,25,0.1,2.73,1.5,0.25,0.0125,250,384,0.133,1.02414
600,50,0.1,2.73,1.5,0.25,0.0125,250,12,0.1515,0.82285
1200,50,0.1,2.73,1.5,0.25,0.0125,250,24,0.166,0.74087
1800,50,0.1,2.73,1.5,0.25,0.0125,250,36,0.1595,0.71879
2400,50,0.1,2.73,1.5,0.25,0.0125,250,48,0.1905,0.69949
3600,50,0.1,2.73,1.5,0.25,0.0125,250,72,0.215,0.67788
4800,50,0.1,2.73,1.5,0.25,0.0125,250,96,0.1935,0.67451
6000,50,0.1,2.73,1.5,0.25,0.0125,250,120,0.197,0.66161
7200,50,0.1,2.73,1.5,0.25,0.0125,250,144,0.212,0.66145
8400,50,0.1,2.73,1.5,0.25,0.0125,250,168,0.2125,0.65625
9600,50,0.1,2.73,1.5,0.25,0.0125,250,192,0.213,0.65299
600,100,0.1,2.73,1.5,0.25,0.0125,250,6,0.215,0.60161
1200,100,0.1,2.73,1.5,0.25,0.0125,250,12,0.28,0.52061
1800,100,0.1,2.73,1.5,0.25,0.0125,250,18,0.304,0.49951
2400,100,0.1,2.73,1.5,0.25,0.0125,250,24,0.318,0.47944
3600,100,0.1,2.73,1.5,0.25,0.0125,250,36,0.355,0.46956
4800,100,0.1,2.73,1.5,0.25,0.0125,250,48,0.3815,0.45392
6000,100,0.1,2.73,1.5,0.25,0.0125,250,60,0.36,0.45113
7200,100,0.1,2.73,1.5,0.25,0.0125,250,72,0.3655,0.44438
8400,100,0.1,2.73,1.5,0.25,0.0125,250,84,0.385,0.44663
9600,100,0.1,2.73,1.5,0.25,0.0125,250,96,0.39,0.43884
600,25,0.5,2.73,1.5,0.25,0.0125,250,24,0.121,1.09327
1200,25,0.5,2.73,1.5,0.25,0.0125,250,48,0.135,1.01902
1800,25,0.5,2.73,1.5,0.25,0.0125,250,72,0.1265,1.04374
2400,25,0.5,2.73,1.5,0.25,0.0125,250,96,0.1415,1.02703
3600,25,0.5,2.73,1.5,0.25,0.0125,250,144,0.1285,1.00731
4800,25,0.5,2.73,1.5,0.25,0.0125,250,192,0.131,1.01522
6000,25,0.5,2.73,1.5,0.25,0.0125,250,240,0.1305,1.00877
7200,25,0.5,2.73,1.5,0.25,0.0125,250,288,0.1275,0.98447
8400,25,0.5,2.73,1.5,0.25,0.0125,250,336,0.146,0.98051
9600,25,0.5,2.73,1.5,0.25,0.0125,250,384,0.144,1.02071
600,50,0.5,2.73,1.5,0.25,0.0125,250,12,0.1755,0.73248
1200,50,0.5,2.73,1.5,0.25,0.0125,250,24,0.1715,0.6941
1800,50,0.5,2.73,1.5,0.25,0.0125,250,36,0.1955,0.67428
2400,50,0.5,2.73,1.5,0.25,0.0125,250,48,0.1995,0.66005
3600,50,0.5,2.73,1.5,0.25,0.0125,250,72,0.2045,0.65039
4800,50,0.5,2.73,1.5,0.25,0.0125,250,96,0.198,0.65008
6000,50,0.5,2.73,1.5,0.25,0.0125,250,120,0.205,0.63958
7200,50,0.5,2.73,1.5,0.25,0.0125,250,144,0.218,0.63673
8400,50,0.5,2.73,1.5,0.25,0.0125,250,168,0.211,0.64092
9600,50,0.5,2.73,1.5,0.25,0.0125,250,192,0.2085,0.63441
600,100,0.5,2.73,1.5,0.25,0.0125,250,6,0.2955,0.51394
1200,100,0.5,2.73,1.5,0.25,0.0125,250,12,0.3445,0.47855
1800,100,0.5,2.73,1.5,0.25,0.0125,250,18,0.3595,0.45385
2400,100,0.5,2.73,1.5,0.25,0.0125,250,24,0.389,0.44745
3600,100,0.5,2.73,1.5,0.25,0.0125,250,36,0.396,0.43994
4800,100,0.5,2.73,1.5,0.25,0.0125,250,48,0.392,0.431
6000,100,0.5,2.73,1.5,0.25,0.0125,250,60,0.4015,0.43246
7200,100,0.5,2.73,1.5,0.25,0.0125,250,72,0.397,0.42796
8400,100,0.5,2.73,1.5,0.25,0.0125,250,84,0.418,0.42477
9600,100,0.5,2.73,1.5,0.25,0.0125,250,96,0.4035,0.42368
600,25,0.1,2.73,1.75,0.25,0.0125,250,24,0.188,1.25308
1200,25,0.1,2.73,1.75,0.25,0.0125,250,48,0.2025,1.14578
1800,25,0.1,2.73,1.75,0.25,0.0125,250,72,0.207,1.12149
2400,25,0.1,2.73,1.75,0.25,0.0125,250,96,0.2105,1.06971
3600,25,0.1,2.73,1.75,0.25,0.0125,250,144,0.22,1.07904
4800,25,0.1,2.73,1.75,0.25,0.0125,250,192,0.234,1.05258
6000,25,0.1,2.73,1.75,0.25,0.0125,250,240,0.2295,1.03751
7200,25,0.1,2.73,1.75,0.25,0.0125,250,288,0.2145,1.00365
8400,25,0.1,2.73,1.75,0.25,0.0125,250,336,0.234,1.0309
9600,25,0.1,2.73,1.75,0.25,0.0125,250,384,0.221,1.03072
600,50,0.1,2.73,1.75,0.25,0.0125,250,12,0.2615,0.86927
1200,50,0.1,2.73,1.75,0.25,0.0125,250,24,0.3085,0.75965
1800,50,0.1,2.73,1.75,0.25,0.0125,250,36,0.333,0.73702
2400,50,0.1,2.73,1.75,0.25,0.0125,250,48,0.35,0.71055
3600,50,0.1,2.73,1.75,0.25,0.0125,250,72,0.3555,0.69883
4800,50,0.1,2.73,1.75,0.25,0.0125,250,96,0.355,0.67539
6000,50,0.1,2.73,1.75,0.25,0.0125,250,120,0.38,0.67628
7200,50,0.1,2.73,1.75,0.25,0.0125,250,144,0.3915,0.67404
8400,50,0.1,2.73,1.75,0.25,0.0125,250,168,0.3835,0.66341
9600,50,0.1,2.73,1.75,0.25,0.0125,250,192,0.3835,0.66995
600,100,0.1,2.73,1.75,0.25,0.0125,250,6,0.426,0.63257
1200,100,0.1,2.73,1.75,0.25,0.0125,250,12,0.5265,0.54197
1800,100,0.1,2.73,1.75,0.25,0.0125,250,18,0.5735,0.51771
2400,100,0.1,2.73,1.75,0.25,0.0125,250,24,0.596,0.49792
3600,100,0.1,2.73,1.75,0.25,0.0125,250,36,0.633,0.47144
4800,100,0.1,2.73,1.75,0.25,0.0125,250,48,0.6385,0.46523
6000,100,0.1,2.73,1.75,0.25,0.0125,250,60,0.651,0.45663
7200,100,0.1,2.73,1.75,0.25,0.0125,250,72,0.675,0.45507
8400,100,0.1,2.73,1.75,0.25,0.0125,250,84,0.679,0.45113
9600,100,0.1,2.73,1.75,0.25,0.0125,250,96,0.684,0.44372
600,25,0.5,2.73,1.75,0.25,0.0125,250,24,0.188,1.14708
1200,25,0.5,2.73,1.75,0.25,0.0125,250,48,0.208,1.05756
1800,25,0.5,2.73,1.75,0.25,0.0125,250,72,0.2125,1.04471
2400,25,0.5,2.73,1.75,0.25,0.0125,250,96,0.227,1.06135
3600,25,0.5,2.73,1.75,0.25,0.0125,250,144,0.2205,1.01587
4800,25,0.5,2.73,1.75,0.25,0.0125,250,192,0.24,1.00828
6000,25,0.5,2.73,1.75,0.25,0.0125,250,240,0.2155,1.04294
7200,25,0.5,2.73,1.75,0.25,0.0125,250,288,0.239,1.01061
8400,25,0.5,2.73,1.75,0.25,0.0125,250,336,0.22,1.00755
9600,25,0.5,2.73,1.75,0.25,0.0125,250,384,0.2385,1.00127
600,50,0.5,2.73,1.75,0.25,0.0125,250,12,0.317,0.7614
1200,50,0.5,2.73,1.75,0.25,0.0125,250,24,0.345,0.70712
1800,50,0.5,2.73,1.75,0.25,0.0125,250,36,0.3675,0.68858
2400,50,0.5,2.73,1.75,0.25,0.0125,250,48,0.39,0.67151
3600,50,0.5,2.73,1.75,0.25,0.0125,250,72,0.386,0.66103
