n,n.communities,p,community.var,or,r,alpha.i,alpha.c,n.sim,n.per.community,prop.drivers.i,prop.drivers.c,or.margin.of.error.i,or.margin.of.error.c
400,25,0.5,2.73,1.25,0.25,0.01,0.0125,500,16,0.1364,0.0515,0.43313,1.13661
800,25,0.5,2.73,1.25,0.25,0.01,0.0125,500,32,0.3184,0.055,0.28121,1.06942
1300,25,0.5,2.73,1.25,0.25,0.01,0.0125,500,52,0.5272,0.067,0.21237,1.03939
1700,25,0.5,2.73,1.25,0.25,0.01,0.0125,500,68,0.6448,0.0565,0.18288,1.02807
2500,25,0.5,2.73,1.25,0.25,0.01,0.0125,500,100,0.784,0.071,0.14748,0.99393
3400,25,0.5,2.73,1.25,0.25,0.01,0.0125,500,136,0.8384,0.068,0.12515,1.00116
4200,25,0.5,2.73,1.25,0.25,0.01,0.0125,500,168,0.8676,0.0635,0.11127,0.97204
5000,25,0.5,2.73,1.25,0.25,0.01,0.0125,500,200,0.8932,0.062,0.1016,0.98222
5900,25,0.5,2.73,1.25,0.25,0.01,0.0125,500,236,0.9008,0.061,0.09333,1.00172
6700,25,0.5,2.73,1.25,0.25,0.01,0.0125,500,268,0.9164,0.0685,0.08745,0.99728
400,50,0.5,2.73,1.25,0.25,0.01,0.0125,500,8,0.1132,0.057,0.44611,0.77715
800,50,0.5,2.73,1.25,0.25,0.01,0.0125,500,16,0.312,0.059,0.28578,0.70676
1300,50,0.5,2.73,1.25,0.25,0.01,0.0125,500,26,0.5184,0.065,0.21466,0.68052
1700,50,0.5,2.73,1.25,0.25,0.01,0.0125,500,34,0.644,0.061,0.18308,0.65633
2500,50,0.5,2.73,1.25,0.25,0.01,0.0125,500,50,0.782,0.0695,0.14806,0.65328
3400,50,0.5,2.73,1.25,0.25,0.01,0.0125,500,68,0.8392,0.0665,0.12545,0.64776
4200,50,0.5,2.73,1.25,0.25,0.01,0.0125,500,84,0.868,0.0825,0.11212,0.64649
5000,50,0.5,2.73,1.25,0.25,0.01,0.0125,500,100,0.8836,0.0675,0.10231,0.64493
5900,50,0.5,2.73,1.25,0.25,0.01,0.0125,500,118,0.9048,0.0765,0.09333,0.63447
6700,50,0.5,2.73,1.25,0.25,0.01,0.0125,500,134,0.9216,0.076,0.08763,0.64853
400,100,0.5,2.73,1.25,0.25,0.01,0.0125,500,4,0.1092,0.066,0.46166,0.54948
800,100,0.5,2.73,1.25,0.25,0.01,0.0125,500,8,0.2944,0.091,0.29383,0.48937
1300,100,0.5,2.73,1.25,0.25,0.01,0.0125,500,13,0.5016,0.0955,0.2181,0.46265
1700,100,0.5,2.73,1.25,0.25,0.01,0.0125,500,17,0.6288,0.1085,0.18664,0.45167
2500,100,0.5,2.73,1.25,0.25,0.01,0.0125,500,25,0.7752,0.108,0.15005,0.44451
3400,100,0.5,2.73,1.25,0.25,0.01,0.0125,500,34,0.8344,0.1105,0.12639,0.43343
4200,100,0.5,2.73,1.25,0.25,0.01,0.0125,500,42,0.8656,0.114,0.1125,0.42905
5000,100,0.5,2.73,1.25,0.25,0.01,0.0125,500,50,0.888,0.1125,0.10253,0.42645
5900,100,0.5,2.73,1.25,0.25,0.01,0.0125,500,59,0.9084,0.1145,0.09398,0.42922
6700,100,0.5,2.73,1.25,0.25,0.01,0.0125,500,67,0.9236,0.1165,0.08763,0.42206
400,25,0.5,2.73,1.5,0.25,0.01,0.0125,500,16,0.4576,0.1115,0.47585,1.18819
800,25,0.5,2.73,1.5,0.25,0.01,0.0125,500,32,0.7548,0.118,0.30506,1.10046
1300,25,0.5,2.73,1.5,0.25,0.01,0.0125,500,52,0.8584,0.1245,0.23002,1.05837
1700,25,0.5,2.73,1.5,0.25,0.01,0.0125,500,68,0.8744,0.129,0.19729,1.0394
2500,25,0.5,2.73,1.5,0.25,0.01,0.0125,500,100,0.9256,0.137,0.15908,1.03247
3400,25,0.5,2.73,1.5,0.25,0.01,0.0125,500,136,0.9624,0.137,0.1352,1.02712
4200,25,0.5,2.73,1.5,0.25,0.01,0.0125,500,168,0.9796,0.1215,0.1201,1.01426
5000,25,0.5,2.73,1.5,0.25,0.01,0.0125,500,200,0.9872,0.132,0.10972,1.01227
5900,25,0.5,2.73,1.5,0.25,0.01,0.0125,500,236,0.9936,0.1425,0.10049,1.00016
6700,25,0.5,2.73,1.5,0.25,0.01,0.0125,500,268,0.9964,0.1485,0.0939,0.97683
400,50,0.5,2.73,1.5,0.25,0.01,0.0125,500,8,0.4212,0.148,0.48705,0.78639
800,50,0.5,2.73,1.5,0.25,0.01,0.0125,500,16,0.7476,0.165,0.3099,0.71298
1300,50,0.5,2.73,1.5,0.25,0.01,0.0125,500,26,0.8548,0.1865,0.23229,0.68668
1700,50,0.5,2.73,1.5,0.25,0.01,0.0125,500,34,0.8896,0.1925,0.1987,0.67081
2500,50,0.5,2.73,1.5,0.25,0.01,0.0125,500,50,0.932,0.2145,0.16008,0.65635
3400,50,0.5,2.73,1.5,0.25,0.01,0.0125,500,68,0.958,0.2155,0.13533,0.65132
4200,50,0.5,2.73,1.5,0.25,0.01,0.0125,500,84,0.9796,0.209,0.12036,0.64551
5000,50,0.5,2.73,1.5,0.25,0.01,0.0125,500,100,0.9832,0.2135,0.10991,0.64515
5900,50,0.5,2.73,1.5,0.25,0.01,0.0125,500,118,0.9956,0.209,0.10073,0.6489
6700,50,0.5,2.73,1.5,0.25,0.01,0.0125,500,134,0.9976,0.2045,0.09406,0.64691
400,100,0.5,2.73,1.5,0.25,0.01,0.0125,500,4,0.3764,0.2425,0.5031,0.57465
