n,p,or,r,alpha,n.sim,prop.drivers
1000,0.05,1,0.25,0.005,500,0.0036
1500,0.05,1,0.25,0.005,500,0.0066
2000,0.05,1,0.25,0.005,500,0.0062
2500,0.05,1,0.25,0.005,500,0.006
3000,0.05,1,0.25,0.005,500,0.0048
1000,0.1,1,0.25,0.005,500,0.004
1500,0.1,1,0.25,0.005,500,0.0038
2000,0.1,1,0.25,0.005,500,0.005
2500,0.1,1,0.25,0.005,500,0.0054
3000,0.1,1,0.25,0.005,500,0.0054
1000,0.15,1,0.25,0.005,500,0.0046
1500,0.15,1,0.25,0.005,500,0.0042
2000,0.15,1,0.25,0.005,500,0.0052
2500,0.15,1,0.25,0.005,500,0.0046
3000,0.15,1,0.25,0.005,500,0.0056
1000,0.2,1,0.25,0.005,500,0.0066
1500,0.2,1,0.25,0.005,500,0.0046
2000,0.2,1,0.25,0.005,500,0.0054
2500,0.2,1,0.25,0.005,500,0.0054
3000,0.2,1,0.25,0.005,500,0.004
1000,0.25,1,0.25,0.005,500,0.004
1500,0.25,1,0.25,0.005,500,0.0042
2000,0.25,1,0.25,0.005,500,0.0046
2500,0.25,1,0.25,0.005,500,0.0032
3000,0.25,1,0.25,0.005,500,0.0044
1000,0.3,1,0.25,0.005,500,0.0062
1500,0.3,1,0.25,0.005,500,0.0058
2000,0.3,1,0.25,0.005,500,0.004
2500,0.3,1,0.25,0.005,500,0.0056
3000,0.3,1,0.25,0.005,500,0.0048
1000,0.05,1.25,0.25,0.005,500,0.072
1500,0.05,1.25,0.25,0.005,500,0.1152
2000,0.05,1.25,0.25,0.005,500,0.1714
2500,0.05,1.25,0.25,0.005,500,0.2256
3000,0.05,1.25,0.25,0.005,500,0.2912
1000,0.1,1.25,0.25,0.005,500,0.1432
1500,0.1,1.25,0.25,0.005,500,0.2424
2000,0.1,1.25,0.25,0.005,500,0.3456
2500,0.1,1.25,0.25,0.005,500,0.4512
3000,0.1,1.25,0.25,0.005,500,0.5202
1000,0.15,1.25,0.25,0.005,500,0.2068
1500,0.15,1.25,0.25,0.005,500,0.3464
2000,0.15,1.25,0.25,0.005,500,0.4674
2500,0.15,1.25,0.25,0.005,500,0.5744
3000,0.15,1.25,0.25,0.005,500,0.638
1000,0.2,1.25,0.25,0.005,500,0.2662
1500,0.2,1.25,0.25,0.005,500,0.43
2000,0.2,1.25,0.25,0.005,500,0.5604
2500,0.2,1.25,0.25,0.005,500,0.6456
3000,0.2,1.25,0.25,0.005,500,0.7078
1000,0.25,1.25,0.25,0.005,500,0.3012
1500,0.25,1.25,0.25,0.005,500,0.4802
2000,0.25,1.25,0.25,0.005,500,0.607
2500,0.25,1.25,0.25,0.005,500,0.6854
3000,0.25,1.25,0.25,0.005,500,0.7372
1000,0.3,1.25,0.25,0.005,500,0.3414
1500,0.3,1.25,0.25,0.005,500,0.5206
2000,0.3,1.25,0.25,0.005,500,0.6388
2500,0.3,1.25,0.25,0.005,500,0.7118
3000,0.3,1.25,0.25,0.005,500,0.7552
1000,0.05,1.5,0.25,0.005,500,0.3922
1500,0.05,1.5,0.25,0.005,500,0.5752
2000,0.05,1.5,0.25,0.005,500,0.6792
2500,0.05,1.5,0.25,0.005,500,0.7384
3000,0.05,1.5,0.25,0.005,500,0.779
1000,0.1,1.5,0.25,0.005,500,0.5718
1500,0.1,1.5,0.25,0.005,500,0.7192
2000,0.1,1.5,0.25,0.005,500,0.77
2500,0.1,1.5,0.25,0.005,500,0.8096
3000,0.1,1.5,0.25,0.005,500,0.8304
1000,0.15,1.5,0.25,0.005,500,0.6564
1500,0.15,1.5,0.25,0.005,500,0.7594
2000,0.15,1.5,0.25,0.005,500,0.8072
2500,0.15,1.5,0.25,0.005,500,0.8348
3000,0.15,1.5,0.25,0.005,500,0.859
1000,0.2,1.5,0.25,0.005,500,0.697
1500,0.2,1.5,0.25,0.005,500,0.7822
2000,0.2,1.5,0.25,0.005,500,0.8254
2500,0.2,1.5,0.25,0.005,500,0.866
3000,0.2,1.5,0.25,0.005,500,0.895
1000,0.25,1.5,0.25,0.005,500,0.7156
1500,0.25,1.5,0.25,0.005,500,0.7982
2000,0.25,1.5,0.25,0.005,500,0.8388
2500,0.25,1.5,0.25,0.005,500,0.8772
3000,0.25,1.5,0.25,0.005,500,0.9094
1000,0.3,1.5,0.25,0.005,500,0.7318
1500,0.3,1.5,0.25,0.005,500,0.8114
2000,0.3,1.5,0.25,0.005,500,0.851
2500,0.3,1.5,0.25,0.005,500,0.8828
3000,0.3,1.5,0.25,0.005,500,0.9194
1000,0.05,1.75,0.25,0.005,500,0.6834
1500,0.05,1.75,0.25,0.005,500,0.7784
2000,0.05,1.75,0.25,0.005,500,0.8096
2500,0.05,1.75,0.25,0.005,500,0.8404
3000,0.05,1.75,0.25,0.005,500,0.8672
1000,0.1,1.75,0.25,0.005,500,0.7574
1500,0.1,1.75,0.25,0.005,500,0.8204
2000,0.1,1.75,0.25,0.005,500,0.8598
2500,0.1,1.75,0.25,0.005,500,0.8932
3000,0.1,1.75,0.25,0.005,500,0.9176
1000,0.15,1.75,0.25,0.005,500,0.7772
1500,0.15,1.75,0.25,0.005,500,0.8404
2000,0.15,1.75,0.25,0.005,500,0.8896
2500,0.15,1.75,0.25,0.005,500,0.9228
3000,0.15,1.75,0.25,0.005,500,0.9456
1000,0.2,1.75,0.25,0.005,500,0.8054
1500,0.2,1.75,0.25,0.005,500,0.8624
2000,0.2,1.75,0.25,0.005,500,0.9074
2500,0.2,1.75,0.25,0.005,500,0.937
3000,0.2,1.75,0.25,0.005,500,0.9654
1000,0.25,1.75,0.25,0.005,500,0.8066
1500,0.25,1.75,0.25,0.005,500,0.8786
2000,0.25,1.75,0.25,0.005,500,0.9226
2500,0.25,1.75,0.25,0.005,500,0.9558
3000,0.25,1.75,0.25,0.005,500,0.9688
1000,0.3,1.75,0.25,0.005,500,0.8208
1500,0.3,1.75,0.25,0.005,500,0.8862
2000,0.3,1.75,0.25,0.005,500,0.9292
2500,0.3,1.75,0.25,0.005,500,0.9614
3000,0.3,1.75,0.25,0.005,500,0.9754
1000,0.05,2,0.25,0.005,500,0.777
1500,0.05,2,0.25,0.005,500,0.8312
2000,0.05,2,0.25,0.005,500,0.878
2500,0.05,2,0.25,0.005,500,0.911
3000,0.05,2,0.25,0.005,500,0.9342
1000,0.1,2,0.25,0.005,500,0.814
1500,0.1,2,0.25,0.005,500,0.876
2000,0.1,2,0.25,0.005,500,0.9132
2500,0.1,2,0.25,0.005,500,0.9432
3000,0.1,2,0.25,0.005,500,0.9694
1000,0.15,2,0.25,0.005,500,0.8392
1500,0.15,2,0.25,0.005,500,0.8992
2000,0.15,2,0.25,0.005,500,0.9378
2500,0.15,2,0.25,0.005,500,0.9646
3000,0.15,2,0.25,0.005,500,0.9744
1000,0.2,2,0.25,0.005,500,0.8498
1500,0.2,2,0.25,0.005,500,0.9104
2000,0.2,2,0.25,0.005,500,0.9458
2500,0.2,2,0.25,0.005,500,0.9714
3000,0.2,2,0.25,0.005,500,0.985
1000,0.25,2,0.25,0.005,500,0.8622
1500,0.25,2,0.25,0.005,500,0.9202
2000,0.25,2,0.25,0.005,500,0.9594
2500,0.25,2,0.25,0.005,500,0.9798
3000,0.25,2,0.25,0.005,500,0.9916
1000,0.3,2,0.25,0.005,500,0.8696
1500,0.3,2,0.25,0.005,500,0.9302
2000,0.3,2,0.25,0.005,500,0.9696
2500,0.3,2,0.25,0.005,500,0.9848
3000,0.3,2,0.25,0.005,500,0.9928
