n,p,or,r,alpha,n.sim,prop.drivers
600,0.1,1.25,0.25,0.005,1000,0.0755
1200,0.1,1.25,0.25,0.005,1000,0.1808
1800,0.1,1.25,0.25,0.005,1000,0.3133
2400,0.1,1.25,0.25,0.005,1000,0.4232
3600,0.1,1.25,0.25,0.005,1000,0.6032
4800,0.1,1.25,0.25,0.005,1000,0.7059
6000,0.1,1.25,0.25,0.005,1000,0.7506
7200,0.1,1.25,0.25,0.005,1000,0.7815
8400,0.1,1.25,0.25,0.005,1000,0.8082
9600,0.1,1.25,0.25,0.005,1000,0.8222
600,0.2,1.25,0.25,0.005,1000,0.1325
1200,0.2,1.25,0.25,0.005,1000,0.3264
1800,0.2,1.25,0.25,0.005,1000,0.5107
2400,0.2,1.25,0.25,0.005,1000,0.6241
3600,0.2,1.25,0.25,0.005,1000,0.7518
4800,0.2,1.25,0.25,0.005,1000,0.7992
6000,0.2,1.25,0.25,0.005,1000,0.8324
7200,0.2,1.25,0.25,0.005,1000,0.8548
8400,0.2,1.25,0.25,0.005,1000,0.8809
9600,0.2,1.25,0.25,0.005,1000,0.902
600,0.3,1.25,0.25,0.005,1000,0.1764
1200,0.3,1.25,0.25,0.005,1000,0.4241
1800,0.3,1.25,0.25,0.005,1000,0.6027
2400,0.3,1.25,0.25,0.005,1000,0.7002
3600,0.3,1.25,0.25,0.005,1000,0.7885
4800,0.3,1.25,0.25,0.005,1000,0.8336
6000,0.3,1.25,0.25,0.005,1000,0.8676
7200,0.3,1.25,0.25,0.005,1000,0.8977
8400,0.3,1.25,0.25,0.005,1000,0.9224
9600,0.3,1.25,0.25,0.005,1000,0.9372
600,0.1,1.5,0.25,0.005,1000,0.3462
1200,0.1,1.5,0.25,0.005,1000,0.6399
1800,0.1,1.5,0.25,0.005,1000,0.7566
2400,0.1,1.5,0.25,0.005,1000,0.8023
3600,0.1,1.5,0.25,0.005,1000,0.8587
4800,0.1,1.5,0.25,0.005,1000,0.9027
6000,0.1,1.5,0.25,0.005,1000,0.933
7200,0.1,1.5,0.25,0.005,1000,0.9566
8400,0.1,1.5,0.25,0.005,1000,0.9694
9600,0.1,1.5,0.25,0.005,1000,0.9811
600,0.2,1.5,0.25,0.005,1000,0.4823
1200,0.2,1.5,0.25,0.005,1000,0.7459
1800,0.2,1.5,0.25,0.005,1000,0.8138
2400,0.2,1.5,0.25,0.005,1000,0.8512
3600,0.2,1.5,0.25,0.005,1000,0.9143
4800,0.2,1.5,0.25,0.005,1000,0.9507
6000,0.2,1.5,0.25,0.005,1000,0.978
7200,0.2,1.5,0.25,0.005,1000,0.9882
8400,0.2,1.5,0.25,0.005,1000,0.9938
9600,0.2,1.5,0.25,0.005,1000,0.9977
600,0.3,1.5,0.25,0.005,1000,0.5522
1200,0.3,1.5,0.25,0.005,1000,0.7718
1800,0.3,1.5,0.25,0.005,1000,0.8385
2400,0.3,1.5,0.25,0.005,1000,0.884
3600,0.3,1.5,0.25,0.005,1000,0.9398
4800,0.3,1.5,0.25,0.005,1000,0.9733
6000,0.3,1.5,0.25,0.005,1000,0.9889
7200,0.3,1.5,0.25,0.005,1000,0.9954
8400,0.3,1.5,0.25,0.005,1000,0.9979
9600,0.3,1.5,0.25,0.005,1000,0.9992
600,0.1,1.75,0.25,0.005,1000,0.613
1200,0.1,1.75,0.25,0.005,1000,0.7896
1800,0.1,1.75,0.25,0.005,1000,0.8483
2400,0.1,1.75,0.25,0.005,1000,0.8915
3600,0.1,1.75,0.25,0.005,1000,0.9457
4800,0.1,1.75,0.25,0.005,1000,0.9747
6000,0.1,1.75,0.25,0.005,1000,0.9893
7200,0.1,1.75,0.25,0.005,1000,0.9949
8400,0.1,1.75,0.25,0.005,1000,0.9977
9600,0.1,1.75,0.25,0.005,1000,0.9993
600,0.2,1.75,0.25,0.005,1000,0.6948
1200,0.2,1.75,0.25,0.005,1000,0.8247
1800,0.2,1.75,0.25,0.005,1000,0.8896
2400,0.2,1.75,0.25,0.005,1000,0.9352
3600,0.2,1.75,0.25,0.005,1000,0.9748
4800,0.2,1.75,0.25,0.005,1000,0.9914
6000,0.2,1.75,0.25,0.005,1000,0.9984
7200,0.2,1.75,0.25,0.005,1000,0.9997
8400,0.2,1.75,0.25,0.005,1000,1
9600,0.2,1.75,0.25,0.005,1000,1
600,0.3,1.75,0.25,0.005,1000,0.7235
1200,0.3,1.75,0.25,0.005,1000,0.8466
1800,0.3,1.75,0.25,0.005,1000,0.9105
2400,0.3,1.75,0.25,0.005,1000,0.9518
3600,0.3,1.75,0.25,0.005,1000,0.9894
4800,0.3,1.75,0.25,0.005,1000,0.9976
6000,0.3,1.75,0.25,0.005,1000,0.9994
7200,0.3,1.75,0.25,0.005,1000,1
8400,0.3,1.75,0.25,0.005,1000,1
9600,0.3,1.75,0.25,0.005,1000,1
600,0.1,2,0.25,0.005,1000,0.7235
1200,0.1,2,0.25,0.005,1000,0.8405
1800,0.1,2,0.25,0.005,1000,0.9063
2400,0.1,2,0.25,0.005,1000,0.9397
3600,0.1,2,0.25,0.005,1000,0.9806
4800,0.1,2,0.25,0.005,1000,0.9963
6000,0.1,2,0.25,0.005,1000,0.9992
7200,0.1,2,0.25,0.005,1000,0.9997
8400,0.1,2,0.25,0.005,1000,0.9999
9600,0.1,2,0.25,0.005,1000,1
600,0.2,2,0.25,0.005,1000,0.7651
1200,0.2,2,0.25,0.005,1000,0.8763
1800,0.2,2,0.25,0.005,1000,0.939
2400,0.2,2,0.25,0.005,1000,0.9693
3600,0.2,2,0.25,0.005,1000,0.9948
4800,0.2,2,0.25,0.005,1000,0.9992
6000,0.2,2,0.25,0.005,1000,0.9998
7200,0.2,2,0.25,0.005,1000,1
8400,0.2,2,0.25,0.005,1000,1
9600,0.2,2,0.25,0.005,1000,1
600,0.3,2,0.25,0.005,1000,0.7813
1200,0.3,2,0.25,0.005,1000,0.8951
1800,0.3,2,0.25,0.005,1000,0.9546
2400,0.3,2,0.25,0.005,1000,0.9792
3600,0.3,2,0.25,0.005,1000,0.9984
4800,0.3,2,0.25,0.005,1000,1
6000,0.3,2,0.25,0.005,1000,1
7200,0.3,2,0.25,0.005,1000,1
8400,0.3,2,0.25,0.005,1000,1
9600,0.3,2,0.25,0.005,1000,1
