n,n.neg,p,or,r,alpha,n.sim,prop.drivers
2400,240,0.5,1.25,0.25,0.005,50,0.308
2400,360,0.5,1.25,0.25,0.005,50,0.434
2400,480,0.5,1.25,0.25,0.005,50,0.552
2400,600,0.5,1.25,0.25,0.005,50,0.62
2400,720,0.5,1.25,0.25,0.005,50,0.654
2400,840,0.5,1.25,0.25,0.005,50,0.682
2400,960,0.5,1.25,0.25,0.005,50,0.698
2400,1080,0.5,1.25,0.25,0.005,50,0.716
2400,1200,0.5,1.25,0.25,0.005,50,0.728
2400,240,0.5,1.5,0.25,0.005,50,0.72
2400,360,0.5,1.5,0.25,0.005,50,0.792
2400,480,0.5,1.5,0.25,0.005,50,0.828
2400,600,0.5,1.5,0.25,0.005,50,0.83
2400,720,0.5,1.5,0.25,0.005,50,0.858
2400,840,0.5,1.5,0.25,0.005,50,0.866
2400,960,0.5,1.5,0.25,0.005,50,0.882
2400,1080,0.5,1.5,0.25,0.005,50,0.886
2400,1200,0.5,1.5,0.25,0.005,50,0.922
2400,240,0.5,1.75,0.25,0.005,50,0.818
2400,360,0.5,1.75,0.25,0.005,50,0.874
2400,480,0.5,1.75,0.25,0.005,50,0.902
2400,600,0.5,1.75,0.25,0.005,50,0.914
2400,720,0.5,1.75,0.25,0.005,50,0.912
2400,840,0.5,1.75,0.25,0.005,50,0.94
2400,960,0.5,1.75,0.25,0.005,50,0.958
2400,1080,0.5,1.75,0.25,0.005,50,0.968
2400,1200,0.5,1.75,0.25,0.005,50,0.964
2400,240,0.5,2,0.25,0.005,50,0.86
2400,360,0.5,2,0.25,0.005,50,0.926
2400,480,0.5,2,0.25,0.005,50,0.94
2400,600,0.5,2,0.25,0.005,50,0.956
2400,720,0.5,2,0.25,0.005,50,0.978
2400,840,0.5,2,0.25,0.005,50,0.982
2400,960,0.5,2,0.25,0.005,50,0.98
2400,1080,0.5,2,0.25,0.005,50,0.988
2400,1200,0.5,2,0.25,0.005,50,0.99
