n,n.communities,p,community.var,or,r,alpha,n.sim,n.per.community,prop.drivers,or.margin.of.error
500,10,0.1,2.73,1,0.25,0.0125,5,50,0.075,4.74159796660393
1000,10,0.1,2.73,1,0.25,0.0125,5,100,0.275,2.39543844028283
1500,10,0.1,2.73,1,0.25,0.0125,5,150,0.1,4.42987609436581
2000,10,0.1,2.73,1,0.25,0.0125,5,200,0.25,2.12827187858363
500,25,0.1,2.73,1,0.25,0.0125,5,20,0,1.34406113938581
1000,25,0.1,2.73,1,0.25,0.0125,5,40,0.075,1.07393457182397
1500,25,0.1,2.73,1,0.25,0.0125,5,60,0.025,1.0272875570232
2000,25,0.1,2.73,1,0.25,0.0125,5,80,0.075,1.17525583185087
500,50,0.1,2.73,1,0.25,0.0125,5,10,0,0.791553838362456
1000,50,0.1,2.73,1,0.25,0.0125,5,20,0,0.674257488403942
1500,50,0.1,2.73,1,0.25,0.0125,5,30,0,0.758395620166288
2000,50,0.1,2.73,1,0.25,0.0125,5,40,0,0.784816526829176
500,10,0.5,2.73,1,0.25,0.0125,5,50,0.25,2.31930811875252
1000,10,0.5,2.73,1,0.25,0.0125,5,100,0.15,1.47408925254873
1500,10,0.5,2.73,1,0.25,0.0125,5,150,0.15,3.53293271590617
2000,10,0.5,2.73,1,0.25,0.0125,5,200,0.125,2.19631141738752
500,25,0.5,2.73,1,0.25,0.0125,5,20,0,1.27717219700302
1000,25,0.5,2.73,1,0.25,0.0125,5,40,0.075,0.930912800936146
1500,25,0.5,2.73,1,0.25,0.0125,5,60,0,1.02620608538931
2000,25,0.5,2.73,1,0.25,0.0125,5,80,0.025,1.07723691141041
500,50,0.5,2.73,1,0.25,0.0125,5,10,0.05,0.682028347796844
1000,50,0.5,2.73,1,0.25,0.0125,5,20,0.025,0.686935880627437
1500,50,0.5,2.73,1,0.25,0.0125,5,30,0.025,0.665608542686165
2000,50,0.5,2.73,1,0.25,0.0125,5,40,0,0.664050717464666
500,10,0.1,2.73,1.25,0.25,0.0125,5,50,0.275,3.07627381330613
1000,10,0.1,2.73,1.25,0.25,0.0125,5,100,0.15,2.24931204423158
1500,10,0.1,2.73,1.25,0.25,0.0125,5,150,0.1,2.39992547411163
2000,10,0.1,2.73,1.25,0.25,0.0125,5,200,0.2,1.96364041107898
500,25,0.1,2.73,1.25,0.25,0.0125,5,20,0.025,1.46819137097092
1000,25,0.1,2.73,1.25,0.25,0.0125,5,40,0.05,1.07808693635478
1500,25,0.1,2.73,1.25,0.25,0.0125,5,60,0.075,1.02230942856915
2000,25,0.1,2.73,1.25,0.25,0.0125,5,80,0.075,1.15170106678161
500,50,0.1,2.73,1.25,0.25,0.0125,5,10,0.075,0.850024929541723
1000,50,0.1,2.73,1.25,0.25,0.0125,5,20,0.125,0.680626206805315
1500,50,0.1,2.73,1.25,0.25,0.0125,5,30,0.025,0.691326042821793
2000,50,0.1,2.73,1.25,0.25,0.0125,5,40,0.075,0.697562261168394
500,10,0.5,2.73,1.25,0.25,0.0125,5,50,0.125,3.30871225974186
1000,10,0.5,2.73,1.25,0.25,0.0125,5,100,0.15,2.69970378710585
1500,10,0.5,2.73,1.25,0.25,0.0125,5,150,0.1,2.42395201023269
2000,10,0.5,2.73,1.25,0.25,0.0125,5,200,0.175,2.4807208588047
500,25,0.5,2.73,1.25,0.25,0.0125,5,20,0.05,0.977751372995322
1000,25,0.5,2.73,1.25,0.25,0.0125,5,40,0.125,1.22517828676279
1500,25,0.5,2.73,1.25,0.25,0.0125,5,60,0.1,1.21763474657842
2000,25,0.5,2.73,1.25,0.25,0.0125,5,80,0.075,1.03050839812384
500,50,0.5,2.73,1.25,0.25,0.0125,5,10,0.05,0.731149616600892
1000,50,0.5,2.73,1.25,0.25,0.0125,5,20,0.025,0.683353089509904
1500,50,0.5,2.73,1.25,0.25,0.0125,5,30,0,0.670207706652271
2000,50,0.5,2.73,1.25,0.25,0.0125,5,40,0,0.682794371920688
500,10,0.1,2.73,1.5,0.25,0.0125,5,50,0.25,4.4559185500563
1000,10,0.1,2.73,1.5,0.25,0.0125,5,100,0.3,2.03740695226851
1500,10,0.1,2.73,1.5,0.25,0.0125,5,150,0.175,4.37902921321329
2000,10,0.1,2.73,1.5,0.25,0.0125,5,200,0.15,2.21426819139674
500,25,0.1,2.73,1.5,0.25,0.0125,5,20,0.05,1.32151172871988
1000,25,0.1,2.73,1.5,0.25,0.0125,5,40,0.125,1.06721000702233
1500,25,0.1,2.73,1.5,0.25,0.0125,5,60,0.175,1.03668945582947
2000,25,0.1,2.73,1.5,0.25,0.0125,5,80,0.1,0.994232047261369
500,50,0.1,2.73,1.5,0.25,0.0125,5,10,0.175,0.823463054990769
1000,50,0.1,2.73,1.5,0.25,0.0125,5,20,0.175,0.72339309094605
1500,50,0.1,2.73,1.5,0.25,0.0125,5,30,0.225,0.689881750895633
2000,50,0.1,2.73,1.5,0.25,0.0125,5,40,0.15,0.710949269294327
500,10,0.5,2.73,1.5,0.25,0.0125,5,50,0.125,2.62769984710373
1000,10,0.5,2.73,1.5,0.25,0.0125,5,100,0.275,1.679501092543
1500,10,0.5,2.73,1.5,0.25,0.0125,5,150,0.275,1.87256850581666
2000,10,0.5,2.73,1.5,0.25,0.0125,5,200,0.3,3.2255194466145
500,25,0.5,2.73,1.5,0.25,0.0125,5,20,0.05,1.38760186341439
1000,25,0.5,2.73,1.5,0.25,0.0125,5,40,0.175,1.1922183760235
1500,25,0.5,2.73,1.5,0.25,0.0125,5,60,0.075,0.981952579858881
2000,25,0.5,2.73,1.5,0.25,0.0125,5,80,0.1,1.0493005896773
500,50,0.5,2.73,1.5,0.25,0.0125,5,10,0.175,0.777397125090893
1000,50,0.5,2.73,1.5,0.25,0.0125,5,20,0.175,0.721947483287275
1500,50,0.5,2.73,1.5,0.25,0.0125,5,30,0.175,0.704439373000394
2000,50,0.5,2.73,1.5,0.25,0.0125,5,40,0.275,0.726633431334764
500,10,0.1,2.73,1.75,0.25,0.0125,5,50,0.25,3.2617965651858
1000,10,0.1,2.73,1.75,0.25,0.0125,5,100,0.1,3.08386219304289
1500,10,0.1,2.73,1.75,0.25,0.0125,5,150,0.125,2.19895328551286
2000,10,0.1,2.73,1.75,0.25,0.0125,5,200,0.1,6.15313046140496
500,25,0.1,2.73,1.75,0.25,0.0125,5,20,0.075,1.26391477486809
1000,25,0.1,2.73,1.75,0.25,0.0125,5,40,0.175,1.26643671508831
1500,25,0.1,2.73,1.75,0.25,0.0125,5,60,0.25,1.11875780190881
2000,25,0.1,2.73,1.75,0.25,0.0125,5,80,0.2,1.19237104281663
500,50,0.1,2.73,1.75,0.25,0.0125,5,10,0.275,0.819098701292419
1000,50,0.1,2.73,1.75,0.25,0.0125,5,20,0.375,0.744936967995441
1500,50,0.1,2.73,1.75,0.25,0.0125,5,30,0.225,0.827230399618988
2000,50,0.1,2.73,1.75,0.25,0.0125,5,40,0.425,0.734180199885171
500,10,0.5,2.73,1.75,0.25,0.0125,5,50,0.15,2.69495539034357
1000,10,0.5,2.73,1.75,0.25,0.0125,5,100,0.15,2.50237315588303
1500,10,0.5,2.73,1.75,0.25,0.0125,5,150,0.275,1.36152957038772
2000,10,0.5,2.73,1.75,0.25,0.0125,5,200,0.075,3.6415804623769
500,25,0.5,2.73,1.75,0.25,0.0125,5,20,0.1,1.38174610429063
1000,25,0.5,2.73,1.75,0.25,0.0125,5,40,0.2,1.0883732444893
1500,25,0.5,2.73,1.75,0.25,0.0125,5,60,0.275,1.07608852857942
2000,25,0.5,2.73,1.75,0.25,0.0125,5,80,0.175,1.12314719938473
500,50,0.5,2.73,1.75,0.25,0.0125,5,10,0.25,0.770474600959294
1000,50,0.5,2.73,1.75,0.25,0.0125,5,20,0.45,0.757796186535801
