n,n.communities,p,community.var,or,r,alpha.i,alpha.c,n.sim,n.per.community,prop.drivers.i,prop.drivers.c,or.margin.of.error.i,or.margin.of.error.c
400,25,0.5,2.73,1.25,0.25,0.01,0.0125,50,16,0.132,0.04,0.42783,1.1587
800,25,0.5,2.73,1.25,0.25,0.01,0.0125,50,32,0.34,0.085,0.28366,1.0314
1300,25,0.5,2.73,1.25,0.25,0.01,0.0125,50,52,0.496,0.075,0.21052,0.99689
1700,25,0.5,2.73,1.25,0.25,0.01,0.0125,50,68,0.712,0.08,0.184,1.05738
2500,25,0.5,2.73,1.25,0.25,0.01,0.0125,50,100,0.772,0.075,0.14853,1.00613
3400,25,0.5,2.73,1.25,0.25,0.01,0.0125,50,136,0.864,0.07,0.12593,1.07032
4200,25,0.5,2.73,1.25,0.25,0.01,0.0125,50,168,0.872,0.065,0.11162,1.00971
5000,25,0.5,2.73,1.25,0.25,0.01,0.0125,50,200,0.86,0.075,0.10268,1.05545
5900,25,0.5,2.73,1.25,0.25,0.01,0.0125,50,236,0.884,0.03,0.09265,1.01869
6700,25,0.5,2.73,1.25,0.25,0.01,0.0125,50,268,0.912,0.095,0.087,0.94483
400,50,0.5,2.73,1.25,0.25,0.01,0.0125,50,8,0.132,0.04,0.44191,0.76017
800,50,0.5,2.73,1.25,0.25,0.01,0.0125,50,16,0.296,0.065,0.2838,0.70284
1300,50,0.5,2.73,1.25,0.25,0.01,0.0125,50,26,0.468,0.035,0.21564,0.70529
1700,50,0.5,2.73,1.25,0.25,0.01,0.0125,50,34,0.616,0.035,0.18479,0.7039
2500,50,0.5,2.73,1.25,0.25,0.01,0.0125,50,50,0.784,0.075,0.1488,0.66913
3400,50,0.5,2.73,1.25,0.25,0.01,0.0125,50,68,0.868,0.085,0.12514,0.64108
4200,50,0.5,2.73,1.25,0.25,0.01,0.0125,50,84,0.848,0.085,0.11225,0.65623
5000,50,0.5,2.73,1.25,0.25,0.01,0.0125,50,100,0.896,0.07,0.10172,0.65678
5900,50,0.5,2.73,1.25,0.25,0.01,0.0125,50,118,0.912,0.055,0.09421,0.63844
6700,50,0.5,2.73,1.25,0.25,0.01,0.0125,50,134,0.936,0.09,0.08687,0.62134
400,100,0.5,2.73,1.25,0.25,0.01,0.0125,50,4,0.116,0.09,0.46394,0.55337
800,100,0.5,2.73,1.25,0.25,0.01,0.0125,50,8,0.26,0.07,0.29412,0.49647
1300,100,0.5,2.73,1.25,0.25,0.01,0.0125,50,13,0.528,0.13,0.21914,0.46431
1700,100,0.5,2.73,1.25,0.25,0.01,0.0125,50,17,0.636,0.115,0.18614,0.45187
2500,100,0.5,2.73,1.25,0.25,0.01,0.0125,50,25,0.768,0.1,0.14907,0.42884
3400,100,0.5,2.73,1.25,0.25,0.01,0.0125,50,34,0.836,0.055,0.12567,0.43244
4200,100,0.5,2.73,1.25,0.25,0.01,0.0125,50,42,0.88,0.095,0.11284,0.42919
5000,100,0.5,2.73,1.25,0.25,0.01,0.0125,50,50,0.892,0.075,0.10251,0.43561
5900,100,0.5,2.73,1.25,0.25,0.01,0.0125,50,59,0.912,0.15,0.09331,0.41369
6700,100,0.5,2.73,1.25,0.25,0.01,0.0125,50,67,0.924,0.115,0.08808,0.42842
400,25,0.5,2.73,1.5,0.25,0.01,0.0125,50,16,0.428,0.125,0.47494,1.20206
800,25,0.5,2.73,1.5,0.25,0.01,0.0125,50,32,0.752,0.14,0.30641,1.11468
1300,25,0.5,2.73,1.5,0.25,0.01,0.0125,50,52,0.852,0.105,0.23086,1.10117
1700,25,0.5,2.73,1.5,0.25,0.01,0.0125,50,68,0.9,0.13,0.19588,0.96625
2500,25,0.5,2.73,1.5,0.25,0.01,0.0125,50,100,0.912,0.115,0.15959,1.0577
3400,25,0.5,2.73,1.5,0.25,0.01,0.0125,50,136,0.948,0.15,0.13578,0.99903
4200,25,0.5,2.73,1.5,0.25,0.01,0.0125,50,168,0.996,0.135,0.12088,1.10406
5000,25,0.5,2.73,1.5,0.25,0.01,0.0125,50,200,0.98,0.135,0.10919,0.98821
5900,25,0.5,2.73,1.5,0.25,0.01,0.0125,50,236,0.996,0.145,0.0997,0.97966
6700,25,0.5,2.73,1.5,0.25,0.01,0.0125,50,268,1,0.12,0.09385,0.98122
400,50,0.5,2.73,1.5,0.25,0.01,0.0125,50,8,0.408,0.13,0.49586,0.80587
800,50,0.5,2.73,1.5,0.25,0.01,0.0125,50,16,0.756,0.21,0.31144,0.71463
1300,50,0.5,2.73,1.5,0.25,0.01,0.0125,50,26,0.868,0.165,0.23069,0.68911
1700,50,0.5,2.73,1.5,0.25,0.01,0.0125,50,34,0.912,0.18,0.1995,0.68938
2500,50,0.5,2.73,1.5,0.25,0.01,0.0125,50,50,0.924,0.21,0.16005,0.66017
3400,50,0.5,2.73,1.5,0.25,0.01,0.0125,50,68,0.952,0.14,0.13476,0.67658
4200,50,0.5,2.73,1.5,0.25,0.01,0.0125,50,84,0.98,0.2,0.12067,0.64961
5000,50,0.5,2.73,1.5,0.25,0.01,0.0125,50,100,0.996,0.25,0.10975,0.63324
5900,50,0.5,2.73,1.5,0.25,0.01,0.0125,50,118,0.988,0.2,0.10094,0.67122
6700,50,0.5,2.73,1.5,0.25,0.01,0.0125,50,134,1,0.23,0.0946,0.64201
400,100,0.5,2.73,1.5,0.25,0.01,0.0125,50,4,0.368,0.19,0.51139,0.59349
800,100,0.5,2.73,1.5,0.25,0.01,0.0125,50,8,0.736,0.295,0.31898,0.50869
1300,100,0.5,2.73,1.5,0.25,0.01,0.0125,50,13,0.864,0.34,0.23715,0.47823
1700,100,0.5,2.73,1.5,0.25,0.01,0.0125,50,17,0.876,0.325,0.20112,0.45928
2500,100,0.5,2.73,1.5,0.25,0.01,0.0125,50,25,0.92,0.435,0.16188,0.44065
3400,100,0.5,2.73,1.5,0.25,0.01,0.0125,50,34,0.96,0.395,0.13622,0.43467
4200,100,0.5,2.73,1.5,0.25,0.01,0.0125,50,42,0.988,0.455,0.12199,0.43054
5000,100,0.5,2.73,1.5,0.25,0.01,0.0125,50,50,0.996,0.365,0.11036,0.43168
5900,100,0.5,2.73,1.5,0.25,0.01,0.0125,50,59,1,0.4,0.10112,0.4272
6700,100,0.5,2.73,1.5,0.25,0.01,0.0125,50,67,1,0.45,0.09436,0.41371
400,25,0.5,2.73,1.75,0.25,0.01,0.0125,50,16,0.716,0.17,0.52013,1.2737
800,25,0.5,2.73,1.75,0.25,0.01,0.0125,50,32,0.856,0.205,0.33073,1.08324
1300,25,0.5,2.73,1.75,0.25,0.01,0.0125,50,52,0.912,0.265,0.25019,1.00663
1700,25,0.5,2.73,1.75,0.25,0.01,0.0125,50,68,0.96,0.245,0.21452,1.03774
2500,25,0.5,2.73,1.75,0.25,0.01,0.0125,50,100,0.972,0.255,0.1739,1.00003
3400,25,0.5,2.73,1.75,0.25,0.01,0.0125,50,136,0.992,0.225,0.14581,1.05433
4200,25,0.5,2.73,1.75,0.25,0.01,0.0125,50,168,0.996,0.275,0.13068,1.00502
5000,25,0.5,2.73,1.75,0.25,0.01,0.0125,50,200,1,0.26,0.11874,1.00693
5900,25,0.5,2.73,1.75,0.25,0.01,0.0125,50,236,1,0.26,0.10845,0.98521
6700,25,0.5,2.73,1.75,0.25,0.01,0.0125,50,268,1,0.205,0.1016,1.00061
400,50,0.5,2.73,1.75,0.25,0.01,0.0125,50,8,0.608,0.27,0.5467,0.86618
800,50,0.5,2.73,1.75,0.25,0.01,0.0125,50,16,0.844,0.305,0.33491,0.7106
1300,50,0.5,2.73,1.75,0.25,0.01,0.0125,50,26,0.92,0.36,0.25183,0.68506
1700,50,0.5,2.73,1.75,0.25,0.01,0.0125,50,34,0.94,0.335,0.21447,0.67901
2500,50,0.5,2.73,1.75,0.25,0.01,0.0125,50,50,0.972,0.37,0.17333,0.66097
3400,50,0.5,2.73,1.75,0.25,0.01,0.0125,50,68,0.992,0.375,0.14692,0.65561
4200,50,0.5,2.73,1.75,0.25,0.01,0.0125,50,84,1,0.355,0.12988,0.67564
5000,50,0.5,2.73,1.75,0.25,0.01,0.0125,50,100,1,0.365,0.11872,0.66399
5900,50,0.5,2.73,1.75,0.25,0.01,0.0125,50,118,0.996,0.33,0.10909,0.66054
6700,50,0.5,2.73,1.75,0.25,0.01,0.0125,50,134,1,0.405,0.10158,0.64935
400,100,0.5,2.73,1.75,0.25,0.01,0.0125,50,4,0.64,0.53,0.55778,0.60994
800,100,0.5,2.73,1.75,0.25,0.01,0.0125,50,8,0.876,0.575,0.34943,0.51487
1300,100,0.5,2.73,1.75,0.25,0.01,0.0125,50,13,0.884,0.59,0.26042,0.514
1700,100,0.5,2.73,1.75,0.25,0.01,0.0125,50,17,0.928,0.66,0.22122,0.47696
2500,100,0.5,2.73,1.75,0.25,0.01,0.0125,50,25,0.976,0.665,0.1756,0.46973
3400,100,0.5,2.73,1.75,0.25,0.01,0.0125,50,34,0.996,0.775,0.14959,0.45125
4200,100,0.5,2.73,1.75,0.25,0.01,0.0125,50,42,1,0.655,0.13092,0.43983
5000,100,0.5,2.73,1.75,0.25,0.01,0.0125,50,50,1,0.75,0.11894,0.42168
5900,100,0.5,2.73,1.75,0.25,0.01,0.0125,50,59,1,0.73,0.10914,0.43178
6700,100,0.5,2.73,1.75,0.25,0.01,0.0125,50,67,1,0.69,0.10169,0.42457
400,25,0.5,2.73,2,0.25,0.01,0.0125,50,16,0.756,0.285,0.55655,1.17829
800,25,0.5,2.73,2,0.25,0.01,0.0125,50,32,0.896,0.335,0.3602,1.09725
1300,25,0.5,2.73,2,0.25,0.01,0.0125,50,52,0.916,0.31,0.27168,1.05113
1700,25,0.5,2.73,2,0.25,0.01,0.0125,50,68,0.976,0.31,0.23332,1.05113
2500,25,0.5,2.73,2,0.25,0.01,0.0125,50,100,0.988,0.32,0.18816,1.05713
3400,25,0.5,2.73,2,0.25,0.01,0.0125,50,136,1,0.315,0.15576,1.00271
4200,25,0.5,2.73,2,0.25,0.01,0.0125,50,168,1,0.3,0.1404,1.01596
5000,25,0.5,2.73,2,0.25,0.01,0.0125,50,200,1,0.325,0.12749,1.02995
5900,25,0.5,2.73,2,0.25,0.01,0.0125,50,236,1,0.35,0.11643,0.9628
6700,25,0.5,2.73,2,0.25,0.01,0.0125,50,268,1,0.39,0.10915,0.97795
400,50,0.5,2.73,2,0.25,0.01,0.0125,50,8,0.772,0.415,0.6049,0.92721
800,50,0.5,2.73,2,0.25,0.01,0.0125,50,16,0.872,0.505,0.37199,0.75663
1300,50,0.5,2.73,2,0.25,0.01,0.0125,50,26,0.948,0.495,0.27228,0.72722
1700,50,0.5,2.73,2,0.25,0.01,0.0125,50,34,0.98,0.555,0.23278,0.69507
2500,50,0.5,2.73,2,0.25,0.01,0.0125,50,50,0.984,0.61,0.1884,0.67201
3400,50,0.5,2.73,2,0.25,0.01,0.0125,50,68,1,0.545,0.15841,0.69485
4200,50,0.5,2.73,2,0.25,0.01,0.0125,50,84,1,0.66,0.13952,0.61777
5000,50,0.5,2.73,2,0.25,0.01,0.0125,50,100,1,0.58,0.12719,0.65442
5900,50,0.5,2.73,2,0.25,0.01,0.0125,50,118,1,0.62,0.11663,0.62168
6700,50,0.5,2.73,2,0.25,0.01,0.0125,50,134,1,0.59,0.10828,0.65583
400,100,0.5,2.73,2,0.25,0.01,0.0125,50,4,0.72,0.615,0.62273,0.67256
800,100,0.5,2.73,2,0.25,0.01,0.0125,50,8,0.884,0.775,0.3761,0.53046
1300,100,0.5,2.73,2,0.25,0.01,0.0125,50,13,0.936,0.825,0.27595,0.47893
1700,100,0.5,2.73,2,0.25,0.01,0.0125,50,17,0.984,0.83,0.23512,0.47756
2500,100,0.5,2.73,2,0.25,0.01,0.0125,50,25,0.984,0.84,0.18971,0.46618
3400,100,0.5,2.73,2,0.25,0.01,0.0125,50,34,1,0.85,0.15889,0.44948
4200,100,0.5,2.73,2,0.25,0.01,0.0125,50,42,1,0.89,0.14164,0.4457
5000,100,0.5,2.73,2,0.25,0.01,0.0125,50,50,1,0.865,0.12845,0.44996
5900,100,0.5,2.73,2,0.25,0.01,0.0125,50,59,1,0.83,0.11673,0.43445
6700,100,0.5,2.73,2,0.25,0.01,0.0125,50,67,1,0.875,0.1086,0.41705
