n,p,or,r,alpha,n.sim,prop.drivers
1200,0.1,1.25,0.25,0.005,100,0.169
1300,0.1,1.25,0.25,0.005,100,0.194
1400,0.1,1.25,0.25,0.005,100,0.212
1500,0.1,1.25,0.25,0.005,100,0.238
1600,0.1,1.25,0.25,0.005,100,0.282
1700,0.1,1.25,0.25,0.005,100,0.32
1800,0.1,1.25,0.25,0.005,100,0.304
1900,0.1,1.25,0.25,0.005,100,0.339
2000,0.1,1.25,0.25,0.005,100,0.35
1200,0.2,1.25,0.25,0.005,100,0.345
1300,0.2,1.25,0.25,0.005,100,0.369
1400,0.2,1.25,0.25,0.005,100,0.381
1500,0.2,1.25,0.25,0.005,100,0.415
1600,0.2,1.25,0.25,0.005,100,0.461
1700,0.2,1.25,0.25,0.005,100,0.487
1800,0.2,1.25,0.25,0.005,100,0.508
1900,0.2,1.25,0.25,0.005,100,0.553
2000,0.2,1.25,0.25,0.005,100,0.565
1200,0.3,1.25,0.25,0.005,100,0.426
1300,0.3,1.25,0.25,0.005,100,0.453
1400,0.3,1.25,0.25,0.005,100,0.53
1500,0.3,1.25,0.25,0.005,100,0.527
1600,0.3,1.25,0.25,0.005,100,0.568
1700,0.3,1.25,0.25,0.005,100,0.558
1800,0.3,1.25,0.25,0.005,100,0.616
1900,0.3,1.25,0.25,0.005,100,0.615
2000,0.3,1.25,0.25,0.005,100,0.647
1200,0.1,1.5,0.25,0.005,100,0.647
1300,0.1,1.5,0.25,0.005,100,0.688
1400,0.1,1.5,0.25,0.005,100,0.695
1500,0.1,1.5,0.25,0.005,100,0.727
1600,0.1,1.5,0.25,0.005,100,0.726
1700,0.1,1.5,0.25,0.005,100,0.747
1800,0.1,1.5,0.25,0.005,100,0.761
1900,0.1,1.5,0.25,0.005,100,0.759
2000,0.1,1.5,0.25,0.005,100,0.779
1200,0.2,1.5,0.25,0.005,100,0.739
1300,0.2,1.5,0.25,0.005,100,0.752
1400,0.2,1.5,0.25,0.005,100,0.764
1500,0.2,1.5,0.25,0.005,100,0.767
1600,0.2,1.5,0.25,0.005,100,0.797
1700,0.2,1.5,0.25,0.005,100,0.799
1800,0.2,1.5,0.25,0.005,100,0.805
1900,0.2,1.5,0.25,0.005,100,0.825
2000,0.2,1.5,0.25,0.005,100,0.84
1200,0.3,1.5,0.25,0.005,100,0.774
1300,0.3,1.5,0.25,0.005,100,0.787
1400,0.3,1.5,0.25,0.005,100,0.798
1500,0.3,1.5,0.25,0.005,100,0.814
1600,0.3,1.5,0.25,0.005,100,0.815
1700,0.3,1.5,0.25,0.005,100,0.832
1800,0.3,1.5,0.25,0.005,100,0.826
1900,0.3,1.5,0.25,0.005,100,0.857
2000,0.3,1.5,0.25,0.005,100,0.856
1200,0.1,1.75,0.25,0.005,100,0.81
1300,0.1,1.75,0.25,0.005,100,0.805
1400,0.1,1.75,0.25,0.005,100,0.813
1500,0.1,1.75,0.25,0.005,100,0.816
1600,0.1,1.75,0.25,0.005,100,0.825
1700,0.1,1.75,0.25,0.005,100,0.853
1800,0.1,1.75,0.25,0.005,100,0.854
1900,0.1,1.75,0.25,0.005,100,0.843
2000,0.1,1.75,0.25,0.005,100,0.87
1200,0.2,1.75,0.25,0.005,100,0.823
1300,0.2,1.75,0.25,0.005,100,0.827
1400,0.2,1.75,0.25,0.005,100,0.833
1500,0.2,1.75,0.25,0.005,100,0.862
1600,0.2,1.75,0.25,0.005,100,0.882
1700,0.2,1.75,0.25,0.005,100,0.865
1800,0.2,1.75,0.25,0.005,100,0.894
1900,0.2,1.75,0.25,0.005,100,0.901
2000,0.2,1.75,0.25,0.005,100,0.907
1200,0.3,1.75,0.25,0.005,100,0.846
1300,0.3,1.75,0.25,0.005,100,0.857
1400,0.3,1.75,0.25,0.005,100,0.882
1500,0.3,1.75,0.25,0.005,100,0.88
1600,0.3,1.75,0.25,0.005,100,0.885
1700,0.3,1.75,0.25,0.005,100,0.895
1800,0.3,1.75,0.25,0.005,100,0.909
1900,0.3,1.75,0.25,0.005,100,0.921
2000,0.3,1.75,0.25,0.005,100,0.924
1200,0.1,2,0.25,0.005,100,0.836
1300,0.1,2,0.25,0.005,100,0.854
1400,0.1,2,0.25,0.005,100,0.865
1500,0.1,2,0.25,0.005,100,0.881
1600,0.1,2,0.25,0.005,100,0.88
1700,0.1,2,0.25,0.005,100,0.894
1800,0.1,2,0.25,0.005,100,0.901
1900,0.1,2,0.25,0.005,100,0.91
2000,0.1,2,0.25,0.005,100,0.916
1200,0.2,2,0.25,0.005,100,0.871
1300,0.2,2,0.25,0.005,100,0.903
1400,0.2,2,0.25,0.005,100,0.894
1500,0.2,2,0.25,0.005,100,0.923
1600,0.2,2,0.25,0.005,100,0.917
1700,0.2,2,0.25,0.005,100,0.929
1800,0.2,2,0.25,0.005,100,0.944
1900,0.2,2,0.25,0.005,100,0.946
2000,0.2,2,0.25,0.005,100,0.944
1200,0.3,2,0.25,0.005,100,0.906
1300,0.3,2,0.25,0.005,100,0.92
1400,0.3,2,0.25,0.005,100,0.927
1500,0.3,2,0.25,0.005,100,0.933
1600,0.3,2,0.25,0.005,100,0.941
1700,0.3,2,0.25,0.005,100,0.942
1800,0.3,2,0.25,0.005,100,0.954
1900,0.3,2,0.25,0.005,100,0.971
2000,0.3,2,0.25,0.005,100,0.964
