n.screened,n.neg,p,or,r,alpha,n.sim,prop.drivers,n.pos
2400,240,0.5,1.25,0.25,0.005,100,0.351,1130
2400,360,0.5,1.25,0.25,0.005,100,0.474,1133
2400,480,0.5,1.25,0.25,0.005,100,0.562,1127
2400,600,0.5,1.25,0.25,0.005,100,0.596,1133
2400,720,0.5,1.25,0.25,0.005,100,0.654,1133
2400,840,0.5,1.25,0.25,0.005,100,0.694,1132
2400,960,0.5,1.25,0.25,0.005,100,0.713,1135
2400,1080,0.5,1.25,0.25,0.005,100,0.738,1128
2400,1200,0.5,1.25,0.25,0.005,100,0.751,1129
2400,240,0.5,1.5,0.25,0.005,100,0.723,1098
2400,360,0.5,1.5,0.25,0.005,100,0.781,1099
2400,480,0.5,1.5,0.25,0.005,100,0.828,1098
2400,600,0.5,1.5,0.25,0.005,100,0.857,1098
2400,720,0.5,1.5,0.25,0.005,100,0.851,1096
2400,840,0.5,1.5,0.25,0.005,100,0.873,1096
2400,960,0.5,1.5,0.25,0.005,100,0.882,1098
2400,1080,0.5,1.5,0.25,0.005,100,0.896,1099
2400,1200,0.5,1.5,0.25,0.005,100,0.902,1096
2400,240,0.5,1.75,0.25,0.005,100,0.826,1077
2400,360,0.5,1.75,0.25,0.005,100,0.87,1085
2400,480,0.5,1.75,0.25,0.005,100,0.892,1075
2400,600,0.5,1.75,0.25,0.005,100,0.921,1079
2400,720,0.5,1.75,0.25,0.005,100,0.939,1080
2400,840,0.5,1.75,0.25,0.005,100,0.939,1082
2400,960,0.5,1.75,0.25,0.005,100,0.954,1084
2400,1080,0.5,1.75,0.25,0.005,100,0.969,1081
2400,1200,0.5,1.75,0.25,0.005,100,0.974,1081
2400,240,0.5,2,0.25,0.005,100,0.862,1069
2400,360,0.5,2,0.25,0.005,100,0.923,1075
2400,480,0.5,2,0.25,0.005,100,0.951,1075
2400,600,0.5,2,0.25,0.005,100,0.956,1074
2400,720,0.5,2,0.25,0.005,100,0.972,1072
2400,840,0.5,2,0.25,0.005,100,0.98,1072
2400,960,0.5,2,0.25,0.005,100,0.988,1074
2400,1080,0.5,2,0.25,0.005,100,0.985,1067
2400,1200,0.5,2,0.25,0.005,100,0.99,1072
