n.screened,n.neg,p,or,r,alpha,n.sim,prop.drivers,n.pos
2400,240,0.5,1.25,0.25,0.005,100,0.328,1132
2400,360,0.5,1.25,0.25,0.005,100,0.446,1131
2400,480,0.5,1.25,0.25,0.005,100,0.567,1131
2400,600,0.5,1.25,0.25,0.005,100,0.609,1130
2400,720,0.5,1.25,0.25,0.005,100,0.675,1128
2400,840,0.5,1.25,0.25,0.005,100,0.662,1130
2400,960,0.5,1.25,0.25,0.005,100,0.701,1130
2400,1080,0.5,1.25,0.25,0.005,100,0.731,1132
2400,1200,0.5,1.25,0.25,0.005,100,0.715,1129
2400,240,0.5,1.5,0.25,0.005,100,0.736,1096
2400,360,0.5,1.5,0.25,0.005,100,0.801,1099
2400,480,0.5,1.5,0.25,0.005,100,0.815,1096
2400,600,0.5,1.5,0.25,0.005,100,0.831,1098
2400,720,0.5,1.5,0.25,0.005,100,0.855,1100
2400,840,0.5,1.5,0.25,0.005,100,0.885,1094
2400,960,0.5,1.5,0.25,0.005,100,0.884,1099
2400,1080,0.5,1.5,0.25,0.005,100,0.887,1094
2400,1200,0.5,1.5,0.25,0.005,100,0.913,1096
2400,240,0.5,1.75,0.25,0.005,100,0.827,1080
2400,360,0.5,1.75,0.25,0.005,100,0.874,1081
2400,480,0.5,1.75,0.25,0.005,100,0.91,1085
2400,600,0.5,1.75,0.25,0.005,100,0.927,1075
2400,720,0.5,1.75,0.25,0.005,100,0.929,1083
2400,840,0.5,1.75,0.25,0.005,100,0.943,1075
2400,960,0.5,1.75,0.25,0.005,100,0.952,1084
2400,1080,0.5,1.75,0.25,0.005,100,0.954,1079
2400,1200,0.5,1.75,0.25,0.005,100,0.967,1080
2400,240,0.5,2,0.25,0.005,100,0.873,1070
2400,360,0.5,2,0.25,0.005,100,0.914,1072
2400,480,0.5,2,0.25,0.005,100,0.953,1068
2400,600,0.5,2,0.25,0.005,100,0.96,1070
2400,720,0.5,2,0.25,0.005,100,0.97,1073
2400,840,0.5,2,0.25,0.005,100,0.969,1070
2400,960,0.5,2,0.25,0.005,100,0.985,1071
2400,1080,0.5,2,0.25,0.005,100,0.992,1073
2400,1200,0.5,2,0.25,0.005,100,0.987,1072
