n,n.communities,p,community.var,or,r,alpha,n.sim,n.per.community,prop.drivers,or.margin.of.error
1000,25,0.1,2.73,1,0.25,0.0125,500,40,0.03525,1.10431541028677
1500,25,0.1,2.73,1,0.25,0.0125,500,60,0.03675,1.0687751122253
2000,25,0.1,2.73,1,0.25,0.0125,500,80,0.0375,1.05730158217011
2500,25,0.1,2.73,1,0.25,0.0125,500,100,0.0335,1.05332083237768
3000,25,0.1,2.73,1,0.25,0.0125,500,120,0.03025,1.04687725239193
1000,50,0.1,2.73,1,0.25,0.0125,500,20,0.0185,0.745094523584231
1500,50,0.1,2.73,1,0.25,0.0125,500,30,0.02275,0.703417008445723
2000,50,0.1,2.73,1,0.25,0.0125,500,40,0.022,0.684213848017287
2500,50,0.1,2.73,1,0.25,0.0125,500,50,0.02375,0.682874708231477
3000,50,0.1,2.73,1,0.25,0.0125,500,60,0.0245,0.678719356334201
1000,100,0.1,2.73,1,0.25,0.0125,500,10,0.016,0.525087744366408
1500,100,0.1,2.73,1,0.25,0.0125,500,15,0.01875,0.492953639087054
2000,100,0.1,2.73,1,0.25,0.0125,500,20,0.01275,0.481846447369391
2500,100,0.1,2.73,1,0.25,0.0125,500,25,0.02025,0.469794950189269
3000,100,0.1,2.73,1,0.25,0.0125,500,30,0.01975,0.455528912170828
1000,25,0.5,2.73,1,0.25,0.0125,500,40,0.04275,1.05170129756813
1500,25,0.5,2.73,1,0.25,0.0125,500,60,0.038,1.02604570018354
2000,25,0.5,2.73,1,0.25,0.0125,500,80,0.035,1.00863585578822
2500,25,0.5,2.73,1,0.25,0.0125,500,100,0.04925,1.00506872699877
3000,25,0.5,2.73,1,0.25,0.0125,500,120,0.039,1.01048737496798
1000,50,0.5,2.73,1,0.25,0.0125,500,20,0.02175,0.676965583518807
1500,50,0.5,2.73,1,0.25,0.0125,500,30,0.0215,0.667397092431764
2000,50,0.5,2.73,1,0.25,0.0125,500,40,0.0225,0.652159855611273
2500,50,0.5,2.73,1,0.25,0.0125,500,50,0.0195,0.652037361462397
3000,50,0.5,2.73,1,0.25,0.0125,500,60,0.0235,0.645655889286721
1000,100,0.5,2.73,1,0.25,0.0125,500,10,0.018,0.463047099589196
1500,100,0.5,2.73,1,0.25,0.0125,500,15,0.02025,0.448182101291069
2000,100,0.5,2.73,1,0.25,0.0125,500,20,0.01875,0.440138127747661
2500,100,0.5,2.73,1,0.25,0.0125,500,25,0.01575,0.440317601651475
3000,100,0.5,2.73,1,0.25,0.0125,500,30,0.01575,0.437325070362284
1000,25,0.1,2.73,1.25,0.25,0.0125,500,40,0.05925,1.11474214684222
1500,25,0.1,2.73,1.25,0.25,0.0125,500,60,0.06275,1.08345975214954
2000,25,0.1,2.73,1.25,0.25,0.0125,500,80,0.06275,1.06207601483991
2500,25,0.1,2.73,1.25,0.25,0.0125,500,100,0.0595,1.04962502534243
3000,25,0.1,2.73,1.25,0.25,0.0125,500,120,0.056,1.0484018678363
1000,50,0.1,2.73,1.25,0.25,0.0125,500,20,0.0625,0.747167609185498
1500,50,0.1,2.73,1.25,0.25,0.0125,500,30,0.0645000000000001,0.715885238964923
2000,50,0.1,2.73,1.25,0.25,0.0125,500,40,0.06875,0.702330716460154
2500,50,0.1,2.73,1.25,0.25,0.0125,500,50,0.07025,0.682069844676117
3000,50,0.1,2.73,1.25,0.25,0.0125,500,60,0.06625,0.680230138553441
1000,100,0.1,2.73,1.25,0.25,0.0125,500,10,0.0842500000000001,0.529921857770096
1500,100,0.1,2.73,1.25,0.25,0.0125,500,15,0.0945,0.502347904866911
2000,100,0.1,2.73,1.25,0.25,0.0125,500,20,0.098,0.478735231086687
2500,100,0.1,2.73,1.25,0.25,0.0125,500,25,0.10475,0.47306444749797
3000,100,0.1,2.73,1.25,0.25,0.0125,500,30,0.1075,0.46382748640005
1000,25,0.5,2.73,1.25,0.25,0.0125,500,40,0.06,1.04248535042025
1500,25,0.5,2.73,1.25,0.25,0.0125,500,60,0.06725,1.0303534025002
2000,25,0.5,2.73,1.25,0.25,0.0125,500,80,0.06325,1.02507462648714
2500,25,0.5,2.73,1.25,0.25,0.0125,500,100,0.06325,1.01817171653549
3000,25,0.5,2.73,1.25,0.25,0.0125,500,120,0.066,0.99153885185852
1000,50,0.5,2.73,1.25,0.25,0.0125,500,20,0.0625,0.686759784022781
1500,50,0.5,2.73,1.25,0.25,0.0125,500,30,0.07475,0.663951265073091
2000,50,0.5,2.73,1.25,0.25,0.0125,500,40,0.066,0.65593614964003
2500,50,0.5,2.73,1.25,0.25,0.0125,500,50,0.068,0.660155740902509
3000,50,0.5,2.73,1.25,0.25,0.0125,500,60,0.06575,0.649825858395607
1000,100,0.5,2.73,1.25,0.25,0.0125,500,10,0.10025,0.469381059529572
1500,100,0.5,2.73,1.25,0.25,0.0125,500,15,0.10175,0.453876251943551
2000,100,0.5,2.73,1.25,0.25,0.0125,500,20,0.1,0.445491145047478
2500,100,0.5,2.73,1.25,0.25,0.0125,500,25,0.106,0.437007843002424
3000,100,0.5,2.73,1.25,0.25,0.0125,500,30,0.109,0.436128402930203
1000,25,0.1,2.73,1.5,0.25,0.0125,500,40,0.11975,1.16190976433843
1500,25,0.1,2.73,1.5,0.25,0.0125,500,60,0.11775,1.11852325665272
2000,25,0.1,2.73,1.5,0.25,0.0125,500,80,0.1135,1.08573915723298
2500,25,0.1,2.73,1.5,0.25,0.0125,500,100,0.12275,1.07690924107499
3000,25,0.1,2.73,1.5,0.25,0.0125,500,120,0.1295,1.04820001243368
1000,50,0.1,2.73,1.5,0.25,0.0125,500,20,0.1455,0.767100099876283
1500,50,0.1,2.73,1.5,0.25,0.0125,500,30,0.1785,0.735344653199422
2000,50,0.1,2.73,1.5,0.25,0.0125,500,40,0.1855,0.713709656913706
2500,50,0.1,2.73,1.5,0.25,0.0125,500,50,0.186,0.692305339618978
3000,50,0.1,2.73,1.5,0.25,0.0125,500,60,0.192,0.687772022539295
1000,100,0.1,2.73,1.5,0.25,0.0125,500,10,0.2525,0.546291802391477
1500,100,0.1,2.73,1.5,0.25,0.0125,500,15,0.29475,0.51242672272201
2000,100,0.1,2.73,1.5,0.25,0.0125,500,20,0.32625,0.49242378688607
2500,100,0.1,2.73,1.5,0.25,0.0125,500,25,0.32975,0.483342923723828
3000,100,0.1,2.73,1.5,0.25,0.0125,500,30,0.34925,0.469024182735163
1000,25,0.5,2.73,1.5,0.25,0.0125,500,40,0.12325,1.0606339939639
1500,25,0.5,2.73,1.5,0.25,0.0125,500,60,0.13125,1.0430383182797
2000,25,0.5,2.73,1.5,0.25,0.0125,500,80,0.13525,1.0175793823724
2500,25,0.5,2.73,1.5,0.25,0.0125,500,100,0.1325,1.02461750444661
3000,25,0.5,2.73,1.5,0.25,0.0125,500,120,0.12975,1.01686447618145
1000,50,0.5,2.73,1.5,0.25,0.0125,500,20,0.18775,0.694474309491883
1500,50,0.5,2.73,1.5,0.25,0.0125,500,30,0.18875,0.680373177245134
2000,50,0.5,2.73,1.5,0.25,0.0125,500,40,0.1935,0.664480089943117
2500,50,0.5,2.73,1.5,0.25,0.0125,500,50,0.2115,0.651338671178618
3000,50,0.5,2.73,1.5,0.25,0.0125,500,60,0.205,0.649425590409293
1000,100,0.5,2.73,1.5,0.25,0.0125,500,10,0.3245,0.484230226454217
1500,100,0.5,2.73,1.5,0.25,0.0125,500,15,0.349,0.461688435764586
2000,100,0.5,2.73,1.5,0.25,0.0125,500,20,0.37475,0.450105224003142
2500,100,0.5,2.73,1.5,0.25,0.0125,500,25,0.37175,0.447489462180745
3000,100,0.5,2.73,1.5,0.25,0.0125,500,30,0.38075,0.442620245455435
1000,25,0.1,2.73,1.75,0.25,0.0125,500,40,0.18725,1.18143910640342
1500,25,0.1,2.73,1.75,0.25,0.0125,500,60,0.18875,1.1314691281762
2000,25,0.1,2.73,1.75,0.25,0.0125,500,80,0.20575,1.09695764713317
2500,25,0.1,2.73,1.75,0.25,0.0125,500,100,0.2105,1.0986485521224
3000,25,0.1,2.73,1.75,0.25,0.0125,500,120,0.20875,1.07700293261029
1000,50,0.1,2.73,1.75,0.25,0.0125,500,20,0.312,0.793214818558421
1500,50,0.1,2.73,1.75,0.25,0.0125,500,30,0.3225,0.752383180273528
2000,50,0.1,2.73,1.75,0.25,0.0125,500,40,0.3345,0.724132046324444
2500,50,0.1,2.73,1.75,0.25,0.0125,500,50,0.35625,0.709542458622502
3000,50,0.1,2.73,1.75,0.25,0.0125,500,60,0.346,0.707724174351498
1000,100,0.1,2.73,1.75,0.25,0.0125,500,10,0.50125,0.56137414995841
1500,100,0.1,2.73,1.75,0.25,0.0125,500,15,0.5525,0.525824594309631
2000,100,0.1,2.73,1.75,0.25,0.0125,500,20,0.581,0.502613748112554
2500,100,0.1,2.73,1.75,0.25,0.0125,500,25,0.608,0.492360126121279
3000,100,0.1,2.73,1.75,0.25,0.0125,500,30,0.62,0.485136808458843
1000,25,0.5,2.73,1.75,0.25,0.0125,500,40,0.2,1.09509044460036
1500,25,0.5,2.73,1.75,0.25,0.0125,500,60,0.21475,1.07153005579384
2000,25,0.5,2.73,1.75,0.25,0.0125,500,80,0.228,1.02739591905148
2500,25,0.5,2.73,1.75,0.25,0.0125,500,100,0.21925,1.0449527439189
3000,25,0.5,2.73,1.75,0.25,0.0125,500,120,0.225,1.03608254271235
1000,50,0.5,2.73,1.75,0.25,0.0125,500,20,0.349,0.715004895479701
1500,50,0.5,2.73,1.75,0.25,0.0125,500,30,0.35225,0.698613332312925
2000,50,0.5,2.73,1.75,0.25,0.0125,500,40,0.37125,0.676332634068611
2500,50,0.5,2.73,1.75,0.25,0.0125,500,50,0.3805,0.671934576352236
3000,50,0.5,2.73,1.75,0.25,0.0125,500,60,0.39625,0.666783961743478
1000,100,0.5,2.73,1.75,0.25,0.0125,500,10,0.5915,0.499382115858608
1500,100,0.5,2.73,1.75,0.25,0.0125,500,15,0.6445,0.477548729005724
2000,100,0.5,2.73,1.75,0.25,0.0125,500,20,0.65375,0.461079857785429
2500,100,0.5,2.73,1.75,0.25,0.0125,500,25,0.655,0.458872597387042
3000,100,0.5,2.73,1.75,0.25,0.0125,500,30,0.6685,0.451303095583356
1000,25,0.1,2.73,2,0.25,0.0125,500,40,0.2725,1.19846428267977
1500,25,0.1,2.73,2,0.25,0.0125,500,60,0.28375,1.16373716336089
2000,25,0.1,2.73,2,0.25,0.0125,500,80,0.298,1.10451018284334
2500,25,0.1,2.73,2,0.25,0.0125,500,100,0.30275,1.10854647283311
3000,25,0.1,2.73,2,0.25,0.0125,500,120,0.30325,1.09324416493572
1000,50,0.1,2.73,2,0.25,0.0125,500,20,0.434,0.815434437313693
1500,50,0.1,2.73,2,0.25,0.0125,500,30,0.47575,0.772123839556993
2000,50,0.1,2.73,2,0.25,0.0125,500,40,0.49825,0.754338472773772
2500,50,0.1,2.73,2,0.25,0.0125,500,50,0.51825,0.725787728889443
3000,50,0.1,2.73,2,0.25,0.0125,500,60,0.521,0.720076655073007
1000,100,0.1,2.73,2,0.25,0.0125,500,10,0.70125,0.580222550804391
1500,100,0.1,2.73,2,0.25,0.0125,500,15,0.7475,0.541945403763015
2000,100,0.1,2.73,2,0.25,0.0125,500,20,0.77425,0.522619417706912
2500,100,0.1,2.73,2,0.25,0.0125,500,25,0.79775,0.502830356190851
3000,100,0.1,2.73,2,0.25,0.0125,500,30,0.80275,0.497070264619821
1000,25,0.5,2.73,2,0.25,0.0125,500,40,0.3015,1.11945449010815
1500,25,0.5,2.73,2,0.25,0.0125,500,60,0.3135,1.085889491649
2000,25,0.5,2.73,2,0.25,0.0125,500,80,0.3225,1.0617056902505
2500,25,0.5,2.73,2,0.25,0.0125,500,100,0.321,1.04744737703238
3000,25,0.5,2.73,2,0.25,0.0125,500,120,0.32075,1.0528482995831
1000,50,0.5,2.73,2,0.25,0.0125,500,20,0.511,0.74322483040484
1500,50,0.5,2.73,2,0.25,0.0125,500,30,0.5335,0.715910948421452
2000,50,0.5,2.73,2,0.25,0.0125,500,40,0.547,0.691271487920922
2500,50,0.5,2.73,2,0.25,0.0125,500,50,0.54725,0.684323537467645
3000,50,0.5,2.73,2,0.25,0.0125,500,60,0.5605,0.676300833996607
1000,100,0.5,2.73,2,0.25,0.0125,500,10,0.77,0.52420180326879
1500,100,0.5,2.73,2,0.25,0.0125,500,15,0.80625,0.49027372604793
2000,100,0.5,2.73,2,0.25,0.0125,500,20,0.8375,0.476356821504706
2500,100,0.5,2.73,2,0.25,0.0125,500,25,0.843,0.466071819398623
