n,n.communities,p,community.var,or,r,alpha.i,alpha.c,n.sim,n.per.community,prop.drivers.i,prop.drivers.c,or.margin.of.error.i,or.margin.of.error.c
2100,50,0.5,2.73,1.75,0.25,0.01,0.0125,25,42,0.928,0.37,0.19368,0.72599
700,100,0.5,2.73,1.75,0.25,0.01,0.0125,25,7,0.8,0.55,0.38732,0.56637
1100,100,0.5,2.73,1.75,0.25,0.01,0.0125,25,11,0.896,0.61,0.28399,0.47201
1400,100,0.5,2.73,1.75,0.25,0.01,0.0125,25,14,0.92,0.7,0.24645,0.50477
1800,100,0.5,2.73,1.75,0.25,0.01,0.0125,25,18,0.936,0.6,0.21144,0.47263
2100,100,0.5,2.73,1.75,0.25,0.01,0.0125,25,21,0.944,0.69,0.19551,0.46198
700,25,0.5,2.73,2,0.25,0.01,0.0125,25,28,0.904,0.25,0.3917,1.13857
1100,25,0.5,2.73,2,0.25,0.01,0.0125,25,44,0.896,0.21,0.29299,1.10803
1400,25,0.5,2.73,2,0.25,0.01,0.0125,25,56,0.952,0.36,0.26182,1.05232
1800,25,0.5,2.73,2,0.25,0.01,0.0125,25,72,0.968,0.29,0.22373,1.13754
2100,25,0.5,2.73,2,0.25,0.01,0.0125,25,84,0.984,0.34,0.20555,1.07721
700,50,0.5,2.73,2,0.25,0.01,0.0125,25,14,0.904,0.53,0.40577,0.80974
1100,50,0.5,2.73,2,0.25,0.01,0.0125,25,22,0.92,0.52,0.30327,0.74426
1400,50,0.5,2.73,2,0.25,0.01,0.0125,25,28,0.976,0.51,0.25937,0.70672
1800,50,0.5,2.73,2,0.25,0.01,0.0125,25,36,0.976,0.57,0.22406,0.67164
2100,50,0.5,2.73,2,0.25,0.01,0.0125,25,42,0.984,0.51,0.20338,0.65692
700,100,0.5,2.73,2,0.25,0.01,0.0125,25,7,0.864,0.71,0.41071,0.56677
1100,100,0.5,2.73,2,0.25,0.01,0.0125,25,11,0.928,0.82,0.30741,0.52125
1400,100,0.5,2.73,2,0.25,0.01,0.0125,25,14,0.944,0.75,0.26741,0.49498
1800,100,0.5,2.73,2,0.25,0.01,0.0125,25,18,0.984,0.77,0.23081,0.49628
2100,100,0.5,2.73,2,0.25,0.01,0.0125,25,21,0.992,0.86,0.21031,0.46323
