n,n.communities,p,community.var,or,r,alpha,n.sim,n.per.community,prop.drivers,or.margin.of.error
700,25,0.5,2.73,1,0.25,0.00555555555555556,5,28,0.02222,0.65108
1100,25,0.5,2.73,1,0.25,0.00555555555555556,5,44,0.04444,0.56064
1400,25,0.5,2.73,1,0.25,0.00555555555555556,5,56,0.02222,0.56927
1800,25,0.5,2.73,1,0.25,0.00555555555555556,5,72,0,0.4887
2100,25,0.5,2.73,1,0.25,0.00555555555555556,5,84,0,0.53766
700,50,0.5,2.73,1,0.25,0.00555555555555556,5,14,0,0.45738
1100,50,0.5,2.73,1,0.25,0.00555555555555556,5,22,0,0.39311
1400,50,0.5,2.73,1,0.25,0.00555555555555556,5,28,0,0.36916
1800,50,0.5,2.73,1,0.25,0.00555555555555556,5,36,0,0.41399
2100,50,0.5,2.73,1,0.25,0.00555555555555556,5,42,0,0.33728
700,100,0.5,2.73,1,0.25,0.00555555555555556,5,7,0,0.36772
1100,100,0.5,2.73,1,0.25,0.00555555555555556,5,11,0,0.3156
1400,100,0.5,2.73,1,0.25,0.00555555555555556,5,14,0,0.29763
1800,100,0.5,2.73,1,0.25,0.00555555555555556,5,18,0,0.29016
2100,100,0.5,2.73,1,0.25,0.00555555555555556,5,21,0,0.2764
700,25,0.5,2.73,1.25,0.25,0.00555555555555556,5,28,0.13333,0.65232
1100,25,0.5,2.73,1.25,0.25,0.00555555555555556,5,44,0.31111,0.55936
1400,25,0.5,2.73,1.25,0.25,0.00555555555555556,5,56,0.31111,0.59591
1800,25,0.5,2.73,1.25,0.25,0.00555555555555556,5,72,0.35556,0.5076
2100,25,0.5,2.73,1.25,0.25,0.00555555555555556,5,84,0.37778,0.5744
700,50,0.5,2.73,1.25,0.25,0.00555555555555556,5,14,0.04444,0.46137
1100,50,0.5,2.73,1.25,0.25,0.00555555555555556,5,22,0.28889,0.46621
1400,50,0.5,2.73,1.25,0.25,0.00555555555555556,5,28,0.31111,0.37445
1800,50,0.5,2.73,1.25,0.25,0.00555555555555556,5,36,0.37778,0.36995
2100,50,0.5,2.73,1.25,0.25,0.00555555555555556,5,42,0.53333,0.36513
700,100,0.5,2.73,1.25,0.25,0.00555555555555556,5,7,0.22222,0.41741
1100,100,0.5,2.73,1.25,0.25,0.00555555555555556,5,11,0.22222,0.34303
1400,100,0.5,2.73,1.25,0.25,0.00555555555555556,5,14,0.28889,0.33297
1800,100,0.5,2.73,1.25,0.25,0.00555555555555556,5,18,0.33333,0.29261
2100,100,0.5,2.73,1.25,0.25,0.00555555555555556,5,21,0.37778,0.28496
700,25,0.5,2.73,1.5,0.25,0.00555555555555556,5,28,0.33333,0.67584
1100,25,0.5,2.73,1.5,0.25,0.00555555555555556,5,44,0.53333,0.53469
1400,25,0.5,2.73,1.5,0.25,0.00555555555555556,5,56,0.51111,0.51875
1800,25,0.5,2.73,1.5,0.25,0.00555555555555556,5,72,0.48889,0.51349
2100,25,0.5,2.73,1.5,0.25,0.00555555555555556,5,84,0.46667,0.57862
700,50,0.5,2.73,1.5,0.25,0.00555555555555556,5,14,0.46667,0.48979
1100,50,0.5,2.73,1.5,0.25,0.00555555555555556,5,22,0.46667,0.44655
1400,50,0.5,2.73,1.5,0.25,0.00555555555555556,5,28,0.51111,0.38839
1800,50,0.5,2.73,1.5,0.25,0.00555555555555556,5,36,0.55556,0.35409
2100,50,0.5,2.73,1.5,0.25,0.00555555555555556,5,42,0.62222,0.38557
700,100,0.5,2.73,1.5,0.25,0.00555555555555556,5,7,0.42222,0.42779
1100,100,0.5,2.73,1.5,0.25,0.00555555555555556,5,11,0.57778,0.34311
1400,100,0.5,2.73,1.5,0.25,0.00555555555555556,5,14,0.66667,0.33781
1800,100,0.5,2.73,1.5,0.25,0.00555555555555556,5,18,0.62222,0.30107
2100,100,0.5,2.73,1.5,0.25,0.00555555555555556,5,21,0.6,0.27684
700,25,0.5,2.73,1.75,0.25,0.00555555555555556,5,28,0.44444,0.70195
1100,25,0.5,2.73,1.75,0.25,0.00555555555555556,5,44,0.51111,0.60212
1400,25,0.5,2.73,1.75,0.25,0.00555555555555556,5,56,0.53333,0.53028
1800,25,0.5,2.73,1.75,0.25,0.00555555555555556,5,72,0.62222,0.49104
2100,25,0.5,2.73,1.75,0.25,0.00555555555555556,5,84,0.53333,0.48586
700,50,0.5,2.73,1.75,0.25,0.00555555555555556,5,14,0.62222,0.50874
1100,50,0.5,2.73,1.75,0.25,0.00555555555555556,5,22,0.57778,0.45522
1400,50,0.5,2.73,1.75,0.25,0.00555555555555556,5,28,0.66667,0.44216
1800,50,0.5,2.73,1.75,0.25,0.00555555555555556,5,36,0.71111,0.36758
2100,50,0.5,2.73,1.75,0.25,0.00555555555555556,5,42,0.62222,0.40868
700,100,0.5,2.73,1.75,0.25,0.00555555555555556,5,7,0.66667,0.42196
1100,100,0.5,2.73,1.75,0.25,0.00555555555555556,5,11,0.71111,0.3634
1400,100,0.5,2.73,1.75,0.25,0.00555555555555556,5,14,0.71111,0.37265
1800,100,0.5,2.73,1.75,0.25,0.00555555555555556,5,18,0.77778,0.31704
2100,100,0.5,2.73,1.75,0.25,0.00555555555555556,5,21,0.84444,0.28787
700,25,0.5,2.73,2,0.25,0.00555555555555556,5,28,0.6,0.63112
1100,25,0.5,2.73,2,0.25,0.00555555555555556,5,44,0.66667,0.59196
1400,25,0.5,2.73,2,0.25,0.00555555555555556,5,56,0.62222,0.50638
1800,25,0.5,2.73,2,0.25,0.00555555555555556,5,72,0.66667,0.54701
2100,25,0.5,2.73,2,0.25,0.00555555555555556,5,84,0.68889,0.5285
700,50,0.5,2.73,2,0.25,0.00555555555555556,5,14,0.6,0.57577
1100,50,0.5,2.73,2,0.25,0.00555555555555556,5,22,0.82222,0.50003
1400,50,0.5,2.73,2,0.25,0.00555555555555556,5,28,0.77778,0.45453
1800,50,0.5,2.73,2,0.25,0.00555555555555556,5,36,0.71111,0.41752
2100,50,0.5,2.73,2,0.25,0.00555555555555556,5,42,0.73333,0.42082
700,100,0.5,2.73,2,0.25,0.00555555555555556,5,7,0.8,0.4923
1100,100,0.5,2.73,2,0.25,0.00555555555555556,5,11,0.68889,0.39295
1400,100,0.5,2.73,2,0.25,0.00555555555555556,5,14,0.82222,0.35901
1800,100,0.5,2.73,2,0.25,0.00555555555555556,5,18,0.86667,0.36072
2100,100,0.5,2.73,2,0.25,0.00555555555555556,5,21,0.93333,0.30624
