n,p,or,r,alpha,n.sim,prop.drivers
400,0.3,1,0,0.05,5000,0.051
600,0.3,1,0,0.05,5000,0.0521333333333333
800,0.3,1,0,0.05,5000,0.0504666666666667
1000,0.3,1,0,0.05,5000,0.0497666666666667
1200,0.3,1,0,0.05,5000,0.0512666666666667
400,0.3,1.25,0,0.05,5000,0.389166666666667
600,0.3,1.25,0,0.05,5000,0.5167
800,0.3,1.25,0,0.05,5000,0.6174
1000,0.3,1.25,0,0.05,5000,0.6885
1200,0.3,1.25,0,0.05,5000,0.731833333333333
400,0.3,1.5,0,0.05,5000,0.735066666666667
600,0.3,1.5,0,0.05,5000,0.822
800,0.3,1.5,0,0.05,5000,0.871033333333333
1000,0.3,1.5,0,0.05,5000,0.901433333333333
1200,0.3,1.5,0,0.05,5000,0.926
400,0.3,1.75,0,0.05,5000,0.8513
600,0.3,1.75,0,0.05,5000,0.907466666666667
800,0.3,1.75,0,0.05,5000,0.944666666666667
1000,0.3,1.75,0,0.05,5000,0.9673
1200,0.3,1.75,0,0.05,5000,0.981166666666667
400,0.3,2,0,0.05,5000,0.9005
600,0.3,2,0,0.05,5000,0.951166666666667
800,0.3,2,0,0.05,5000,0.978066666666667
1000,0.3,2,0,0.05,5000,0.9899
1200,0.3,2,0,0.05,5000,0.995433333333333
400,0.3,1,0.5,0.05,5000,0.0497333333333333
600,0.3,1,0.5,0.05,5000,0.0502
800,0.3,1,0.5,0.05,5000,0.0519
1000,0.3,1,0.5,0.05,5000,0.0491333333333333
1200,0.3,1,0.5,0.05,5000,0.0495666666666667
400,0.3,1.25,0.5,0.05,5000,0.2629
600,0.3,1.25,0.5,0.05,5000,0.357866666666667
800,0.3,1.25,0.5,0.05,5000,0.450866666666667
1000,0.3,1.25,0.5,0.05,5000,0.5308
1200,0.3,1.25,0.5,0.05,5000,0.5919
400,0.3,1.5,0.5,0.05,5000,0.579633333333333
600,0.3,1.5,0.5,0.05,5000,0.7136
800,0.3,1.5,0.5,0.05,5000,0.791366666666667
1000,0.3,1.5,0.5,0.05,5000,0.836766666666667
1200,0.3,1.5,0.5,0.05,5000,0.866633333333333
400,0.3,1.75,0.5,0.05,5000,0.7476
600,0.3,1.75,0.5,0.05,5000,0.838033333333333
800,0.3,1.75,0.5,0.05,5000,0.885366666666667
1000,0.3,1.75,0.5,0.05,5000,0.916
1200,0.3,1.75,0.5,0.05,5000,0.9366
400,0.3,2,0.5,0.05,5000,0.8221
600,0.3,2,0.5,0.05,5000,0.892533333333333
800,0.3,2,0.5,0.05,5000,0.9278
1000,0.3,2,0.5,0.05,5000,0.952833333333333
1200,0.3,2,0.5,0.05,5000,0.967866666666667
400,0.3,1,0,0.00833333333333333,5000,0.00763333333333333
600,0.3,1,0,0.00833333333333333,5000,0.00863333333333333
800,0.3,1,0,0.00833333333333333,5000,0.00826666666666667
1000,0.3,1,0,0.00833333333333333,5000,0.00756666666666667
1200,0.3,1,0,0.00833333333333333,5000,0.0085
400,0.3,1.25,0,0.00833333333333333,5000,0.178333333333333
600,0.3,1.25,0,0.00833333333333333,5000,0.296633333333333
800,0.3,1.25,0,0.00833333333333333,5000,0.4022
1000,0.3,1.25,0,0.00833333333333333,5000,0.5001
1200,0.3,1.25,0,0.00833333333333333,5000,0.572533333333333
400,0.3,1.5,0,0.00833333333333333,5000,0.571533333333333
600,0.3,1.5,0,0.00833333333333333,5000,0.709266666666667
800,0.3,1.5,0,0.00833333333333333,5000,0.777033333333333
1000,0.3,1.5,0,0.00833333333333333,5000,0.817
1200,0.3,1.5,0,0.00833333333333333,5000,0.851533333333333
400,0.3,1.75,0,0.00833333333333333,5000,0.7467
600,0.3,1.75,0,0.00833333333333333,5000,0.824166666666667
800,0.3,1.75,0,0.00833333333333333,5000,0.875033333333333
1000,0.3,1.75,0,0.00833333333333333,5000,0.9158
1200,0.3,1.75,0,0.00833333333333333,5000,0.945466666666667
400,0.3,2,0,0.00833333333333333,5000,0.813233333333333
600,0.3,2,0,0.00833333333333333,5000,0.8876
800,0.3,2,0,0.00833333333333333,5000,0.9346
1000,0.3,2,0,0.00833333333333333,5000,0.965433333333333
1200,0.3,2,0,0.00833333333333333,5000,0.981533333333333
400,0.3,1,0.5,0.00833333333333333,5000,0.00743333333333333
600,0.3,1,0.5,0.00833333333333333,5000,0.0085
800,0.3,1,0.5,0.00833333333333333,5000,0.00836666666666667
1000,0.3,1,0.5,0.00833333333333333,5000,0.00916666666666667
1200,0.3,1,0.5,0.00833333333333333,5000,0.0079
400,0.3,1.25,0.5,0.00833333333333333,5000,0.0961666666666667
600,0.3,1.25,0.5,0.00833333333333333,5000,0.1621
800,0.3,1.25,0.5,0.00833333333333333,5000,0.227633333333333
1000,0.3,1.25,0.5,0.00833333333333333,5000,0.2948
1200,0.3,1.25,0.5,0.00833333333333333,5000,0.367833333333333
400,0.3,1.5,0.5,0.00833333333333333,5000,0.3506
600,0.3,1.5,0.5,0.00833333333333333,5000,0.523566666666667
800,0.3,1.5,0.5,0.00833333333333333,5000,0.640133333333333
