n,p,or,r,alpha,n.sim,prop.drivers
500,0.05,1,0.25,0.005,1000,0.0045
1000,0.05,1,0.25,0.005,1000,0.0046
1500,0.05,1,0.25,0.005,1000,0.0042
2000,0.05,1,0.25,0.005,1000,0.005
2500,0.05,1,0.25,0.005,1000,0.0052
3000,0.05,1,0.25,0.005,1000,0.0045
500,0.1,1,0.25,0.005,1000,0.0038
1000,0.1,1,0.25,0.005,1000,0.0046
1500,0.1,1,0.25,0.005,1000,0.0046
2000,0.1,1,0.25,0.005,1000,0.0052
2500,0.1,1,0.25,0.005,1000,0.0053
3000,0.1,1,0.25,0.005,1000,0.0048
500,0.15,1,0.25,0.005,1000,0.0044
1000,0.15,1,0.25,0.005,1000,0.0063
1500,0.15,1,0.25,0.005,1000,0.0041
2000,0.15,1,0.25,0.005,1000,0.0037
2500,0.15,1,0.25,0.005,1000,0.004
3000,0.15,1,0.25,0.005,1000,0.0049
500,0.2,1,0.25,0.005,1000,0.0038
1000,0.2,1,0.25,0.005,1000,0.0045
1500,0.2,1,0.25,0.005,1000,0.0043
2000,0.2,1,0.25,0.005,1000,0.0066
2500,0.2,1,0.25,0.005,1000,0.0039
3000,0.2,1,0.25,0.005,1000,0.006
500,0.25,1,0.25,0.005,1000,0.0056
1000,0.25,1,0.25,0.005,1000,0.005
1500,0.25,1,0.25,0.005,1000,0.0053
2000,0.25,1,0.25,0.005,1000,0.0051
2500,0.25,1,0.25,0.005,1000,0.0052
3000,0.25,1,0.25,0.005,1000,0.0045
500,0.3,1,0.25,0.005,1000,0.0054
1000,0.3,1,0.25,0.005,1000,0.0058
1500,0.3,1,0.25,0.005,1000,0.0056
2000,0.3,1,0.25,0.005,1000,0.0039
2500,0.3,1,0.25,0.005,1000,0.0055
3000,0.3,1,0.25,0.005,1000,0.0045
500,0.05,1.25,0.25,0.005,1000,0.0215
1000,0.05,1.25,0.25,0.005,1000,0.0505
1500,0.05,1.25,0.25,0.005,1000,0.0956
2000,0.05,1.25,0.25,0.005,1000,0.1329
2500,0.05,1.25,0.25,0.005,1000,0.1842
3000,0.05,1.25,0.25,0.005,1000,0.2274
500,0.1,1.25,0.25,0.005,1000,0.0459
1000,0.1,1.25,0.25,0.005,1000,0.1133
1500,0.1,1.25,0.25,0.005,1000,0.1957
