n,p,or,r,alpha,n.sim,prop.drivers
500,0.05,1,0.25,0.005,10,0
1000,0.05,1,0.25,0.005,10,0.01
1500,0.05,1,0.25,0.005,10,0.02
2000,0.05,1,0.25,0.005,10,0
2500,0.05,1,0.25,0.005,10,0
3000,0.05,1,0.25,0.005,10,0.01
500,0.1,1,0.25,0.005,10,0
1000,0.1,1,0.25,0.005,10,0
1500,0.1,1,0.25,0.005,10,0.01
2000,0.1,1,0.25,0.005,10,0
2500,0.1,1,0.25,0.005,10,0
3000,0.1,1,0.25,0.005,10,0.02
500,0.15,1,0.25,0.005,10,0
1000,0.15,1,0.25,0.005,10,0.02
1500,0.15,1,0.25,0.005,10,0
2000,0.15,1,0.25,0.005,10,0.02
2500,0.15,1,0.25,0.005,10,0
3000,0.15,1,0.25,0.005,10,0
500,0.2,1,0.25,0.005,10,0
1000,0.2,1,0.25,0.005,10,0
1500,0.2,1,0.25,0.005,10,0
2000,0.2,1,0.25,0.005,10,0
2500,0.2,1,0.25,0.005,10,0.01
3000,0.2,1,0.25,0.005,10,0.01
500,0.25,1,0.25,0.005,10,0
1000,0.25,1,0.25,0.005,10,0.02
1500,0.25,1,0.25,0.005,10,0
2000,0.25,1,0.25,0.005,10,0
2500,0.25,1,0.25,0.005,10,0
3000,0.25,1,0.25,0.005,10,0.01
500,0.3,1,0.25,0.005,10,0.01
1000,0.3,1,0.25,0.005,10,0.01
1500,0.3,1,0.25,0.005,10,0.02
2000,0.3,1,0.25,0.005,10,0
2500,0.3,1,0.25,0.005,10,0.01
3000,0.3,1,0.25,0.005,10,0.01
500,0.05,1.25,0.25,0.005,10,0.02
1000,0.05,1.25,0.25,0.005,10,0.07
1500,0.05,1.25,0.25,0.005,10,0.05
2000,0.05,1.25,0.25,0.005,10,0.11
2500,0.05,1.25,0.25,0.005,10,0.18
3000,0.05,1.25,0.25,0.005,10,0.22
500,0.1,1.25,0.25,0.005,10,0.06
1000,0.1,1.25,0.25,0.005,10,0.15
1500,0.1,1.25,0.25,0.005,10,0.18
2000,0.1,1.25,0.25,0.005,10,0.26
2500,0.1,1.25,0.25,0.005,10,0.36
3000,0.1,1.25,0.25,0.005,10,0.41
500,0.15,1.25,0.25,0.005,10,0.09
1000,0.15,1.25,0.25,0.005,10,0.16
1500,0.15,1.25,0.25,0.005,10,0.24
2000,0.15,1.25,0.25,0.005,10,0.43
2500,0.15,1.25,0.25,0.005,10,0.49
3000,0.15,1.25,0.25,0.005,10,0.53
500,0.2,1.25,0.25,0.005,10,0.06
1000,0.2,1.25,0.25,0.005,10,0.18
1500,0.2,1.25,0.25,0.005,10,0.36
2000,0.2,1.25,0.25,0.005,10,0.56
2500,0.2,1.25,0.25,0.005,10,0.52
3000,0.2,1.25,0.25,0.005,10,0.64
500,0.25,1.25,0.25,0.005,10,0.06
1000,0.25,1.25,0.25,0.005,10,0.26
1500,0.25,1.25,0.25,0.005,10,0.45
2000,0.25,1.25,0.25,0.005,10,0.51
2500,0.25,1.25,0.25,0.005,10,0.57
3000,0.25,1.25,0.25,0.005,10,0.66
500,0.3,1.25,0.25,0.005,10,0.08
1000,0.3,1.25,0.25,0.005,10,0.33
1500,0.3,1.25,0.25,0.005,10,0.44
2000,0.3,1.25,0.25,0.005,10,0.59
2500,0.3,1.25,0.25,0.005,10,0.64
