n,p,or,r,alpha,n.sim,prop.drivers
500,0.05,1,0.25,0.005,10,0
1000,0.05,1,0.25,0.005,10,0.01
1500,0.05,1,0.25,0.005,10,0
2000,0.05,1,0.25,0.005,10,0.01
2500,0.05,1,0.25,0.005,10,0.02
3000,0.05,1,0.25,0.005,10,0
500,0.1,1,0.25,0.005,10,0.02
1000,0.1,1,0.25,0.005,10,0.01
1500,0.1,1,0.25,0.005,10,0.01
2000,0.1,1,0.25,0.005,10,0
2500,0.1,1,0.25,0.005,10,0.01
3000,0.1,1,0.25,0.005,10,0
500,0.15,1,0.25,0.005,10,0
1000,0.15,1,0.25,0.005,10,0
1500,0.15,1,0.25,0.005,10,0
2000,0.15,1,0.25,0.005,10,0
2500,0.15,1,0.25,0.005,10,0.01
3000,0.15,1,0.25,0.005,10,0
500,0.2,1,0.25,0.005,10,0
1000,0.2,1,0.25,0.005,10,0.01
1500,0.2,1,0.25,0.005,10,0.01
2000,0.2,1,0.25,0.005,10,0.01
2500,0.2,1,0.25,0.005,10,0
3000,0.2,1,0.25,0.005,10,0.01
500,0.25,1,0.25,0.005,10,0.01
1000,0.25,1,0.25,0.005,10,0
1500,0.25,1,0.25,0.005,10,0
2000,0.25,1,0.25,0.005,10,0.01
2500,0.25,1,0.25,0.005,10,0
3000,0.25,1,0.25,0.005,10,0
500,0.3,1,0.25,0.005,10,0
1000,0.3,1,0.25,0.005,10,0
1500,0.3,1,0.25,0.005,10,0
2000,0.3,1,0.25,0.005,10,0
2500,0.3,1,0.25,0.005,10,0.01
3000,0.3,1,0.25,0.005,10,0
500,0.05,1.25,0.25,0.005,10,0.04
1000,0.05,1.25,0.25,0.005,10,0.02
1500,0.05,1.25,0.25,0.005,10,0.1
2000,0.05,1.25,0.25,0.005,10,0.1
2500,0.05,1.25,0.25,0.005,10,0.14
3000,0.05,1.25,0.25,0.005,10,0.26
500,0.1,1.25,0.25,0.005,10,0.05
1000,0.1,1.25,0.25,0.005,10,0.09
1500,0.1,1.25,0.25,0.005,10,0.15
2000,0.1,1.25,0.25,0.005,10,0.22
2500,0.1,1.25,0.25,0.005,10,0.28
3000,0.1,1.25,0.25,0.005,10,0.39
500,0.15,1.25,0.25,0.005,10,0.08
1000,0.15,1.25,0.25,0.005,10,0.17
1500,0.15,1.25,0.25,0.005,10,0.29
2000,0.15,1.25,0.25,0.005,10,0.41
2500,0.15,1.25,0.25,0.005,10,0.43
3000,0.15,1.25,0.25,0.005,10,0.61
500,0.2,1.25,0.25,0.005,10,0.06
1000,0.2,1.25,0.25,0.005,10,0.3
1500,0.2,1.25,0.25,0.005,10,0.37
2000,0.2,1.25,0.25,0.005,10,0.51
2500,0.2,1.25,0.25,0.005,10,0.61
3000,0.2,1.25,0.25,0.005,10,0.63
500,0.25,1.25,0.25,0.005,10,0.06
1000,0.25,1.25,0.25,0.005,10,0.24
1500,0.25,1.25,0.25,0.005,10,0.41
2000,0.25,1.25,0.25,0.005,10,0.57
2500,0.25,1.25,0.25,0.005,10,0.63
3000,0.25,1.25,0.25,0.005,10,0.65
500,0.3,1.25,0.25,0.005,10,0.14
1000,0.3,1.25,0.25,0.005,10,0.39
1500,0.3,1.25,0.25,0.005,10,0.42
2000,0.3,1.25,0.25,0.005,10,0.56
2500,0.3,1.25,0.25,0.005,10,0.62
