n,n.communities,p,community.var,or,r,alpha.i,alpha.c,n.sim,n.per.community,prop.drivers.i,prop.drivers.c,or.margin.of.error.i,or.margin.of.error.c
400,25,0.5,2.73,1.25,0.25,0.01,0.0125,25,16,0.152,0.05,0.44019,1.29884
800,25,0.5,2.73,1.25,0.25,0.01,0.0125,25,32,0.344,0.07,0.2794,1.02394
1300,25,0.5,2.73,1.25,0.25,0.01,0.0125,25,52,0.568,0.04,0.20943,1.07369
1700,25,0.5,2.73,1.25,0.25,0.01,0.0125,25,68,0.6,0.05,0.18118,1.0275
2500,25,0.5,2.73,1.25,0.25,0.01,0.0125,25,100,0.824,0.04,0.1527,1.10678
3400,25,0.5,2.73,1.25,0.25,0.01,0.0125,25,136,0.848,0.08,0.12537,1.04085
4200,25,0.5,2.73,1.25,0.25,0.01,0.0125,25,168,0.896,0.08,0.11,0.91391
5000,25,0.5,2.73,1.25,0.25,0.01,0.0125,25,200,0.88,0.06,0.10226,0.97666
5900,25,0.5,2.73,1.25,0.25,0.01,0.0125,25,236,0.904,0.05,0.09344,0.94417
6700,25,0.5,2.73,1.25,0.25,0.01,0.0125,25,268,0.92,0.06,0.08676,0.98229
400,50,0.5,2.73,1.25,0.25,0.01,0.0125,25,8,0.08,0.06,0.44888,0.80063
800,50,0.5,2.73,1.25,0.25,0.01,0.0125,25,16,0.304,0.07,0.28316,0.6857
1300,50,0.5,2.73,1.25,0.25,0.01,0.0125,25,26,0.488,0.06,0.21375,0.68512
1700,50,0.5,2.73,1.25,0.25,0.01,0.0125,25,34,0.656,0.05,0.18461,0.67435
2500,50,0.5,2.73,1.25,0.25,0.01,0.0125,25,50,0.776,0.08,0.14778,0.63429
3400,50,0.5,2.73,1.25,0.25,0.01,0.0125,25,68,0.808,0.09,0.12527,0.64375
4200,50,0.5,2.73,1.25,0.25,0.01,0.0125,25,84,0.848,0.06,0.11129,0.62849
5000,50,0.5,2.73,1.25,0.25,0.01,0.0125,25,100,0.88,0.07,0.10222,0.66079
5900,50,0.5,2.73,1.25,0.25,0.01,0.0125,25,118,0.896,0.04,0.09311,0.63827
6700,50,0.5,2.73,1.25,0.25,0.01,0.0125,25,134,0.92,0.05,0.0876,0.6383
400,100,0.5,2.73,1.25,0.25,0.01,0.0125,25,4,0.096,0.05,0.46661,0.57166
800,100,0.5,2.73,1.25,0.25,0.01,0.0125,25,8,0.296,0.11,0.2951,0.49315
1300,100,0.5,2.73,1.25,0.25,0.01,0.0125,25,13,0.488,0.09,0.21549,0.44979
1700,100,0.5,2.73,1.25,0.25,0.01,0.0125,25,17,0.656,0.18,0.1869,0.4517
2500,100,0.5,2.73,1.25,0.25,0.01,0.0125,25,25,0.784,0.1,0.14919,0.42329
3400,100,0.5,2.73,1.25,0.25,0.01,0.0125,25,34,0.856,0.11,0.12634,0.42464
4200,100,0.5,2.73,1.25,0.25,0.01,0.0125,25,42,0.888,0.11,0.11275,0.43508
5000,100,0.5,2.73,1.25,0.25,0.01,0.0125,25,50,0.88,0.1,0.10155,0.41212
5900,100,0.5,2.73,1.25,0.25,0.01,0.0125,25,59,0.92,0.08,0.09371,0.42585
6700,100,0.5,2.73,1.25,0.25,0.01,0.0125,25,67,0.912,0.09,0.08803,0.43635
400,25,0.5,2.73,1.5,0.25,0.01,0.0125,25,16,0.432,0.09,0.47925,1.15317
800,25,0.5,2.73,1.5,0.25,0.01,0.0125,25,32,0.768,0.12,0.31367,1.19765
1300,25,0.5,2.73,1.5,0.25,0.01,0.0125,25,52,0.872,0.08,0.23227,1.09114
1700,25,0.5,2.73,1.5,0.25,0.01,0.0125,25,68,0.904,0.14,0.19526,0.96833
2500,25,0.5,2.73,1.5,0.25,0.01,0.0125,25,100,0.944,0.16,0.16025,1.04257
3400,25,0.5,2.73,1.5,0.25,0.01,0.0125,25,136,0.984,0.22,0.13591,1.02255
4200,25,0.5,2.73,1.5,0.25,0.01,0.0125,25,168,0.976,0.11,0.1188,0.99801
5000,25,0.5,2.73,1.5,0.25,0.01,0.0125,25,200,0.984,0.16,0.11022,0.96727
5900,25,0.5,2.73,1.5,0.25,0.01,0.0125,25,236,1,0.12,0.10013,1.09088
