n,p,or,r,alpha,n.sim,prop.drivers
1000,0.05,1,0.25,0.005,10,0.01
1500,0.05,1,0.25,0.005,10,0.02
2000,0.05,1,0.25,0.005,10,0.01
2500,0.05,1,0.25,0.005,10,0
3000,0.05,1,0.25,0.005,10,0
1000,0.1,1,0.25,0.005,10,0
1500,0.1,1,0.25,0.005,10,0
2000,0.1,1,0.25,0.005,10,0
2500,0.1,1,0.25,0.005,10,0.01
3000,0.1,1,0.25,0.005,10,0.01
1000,0.15,1,0.25,0.005,10,0
1500,0.15,1,0.25,0.005,10,0.01
2000,0.15,1,0.25,0.005,10,0
2500,0.15,1,0.25,0.005,10,0
3000,0.15,1,0.25,0.005,10,0.01
1000,0.2,1,0.25,0.005,10,0
1500,0.2,1,0.25,0.005,10,0
2000,0.2,1,0.25,0.005,10,0.01
2500,0.2,1,0.25,0.005,10,0
3000,0.2,1,0.25,0.005,10,0
1000,0.25,1,0.25,0.005,10,0
1500,0.25,1,0.25,0.005,10,0.01
2000,0.25,1,0.25,0.005,10,0
2500,0.25,1,0.25,0.005,10,0
3000,0.25,1,0.25,0.005,10,0
1000,0.3,1,0.25,0.005,10,0.01
1500,0.3,1,0.25,0.005,10,0.01
2000,0.3,1,0.25,0.005,10,0
2500,0.3,1,0.25,0.005,10,0.01
3000,0.3,1,0.25,0.005,10,0.02
1000,0.05,1.25,0.25,0.005,10,0.05
1500,0.05,1.25,0.25,0.005,10,0.13
2000,0.05,1.25,0.25,0.005,10,0.13
2500,0.05,1.25,0.25,0.005,10,0.24
3000,0.05,1.25,0.25,0.005,10,0.31
1000,0.1,1.25,0.25,0.005,10,0.09
1500,0.1,1.25,0.25,0.005,10,0.28
2000,0.1,1.25,0.25,0.005,10,0.35
2500,0.1,1.25,0.25,0.005,10,0.46
3000,0.1,1.25,0.25,0.005,10,0.56
1000,0.15,1.25,0.25,0.005,10,0.19
1500,0.15,1.25,0.25,0.005,10,0.35
2000,0.15,1.25,0.25,0.005,10,0.54
2500,0.15,1.25,0.25,0.005,10,0.61
3000,0.15,1.25,0.25,0.005,10,0.57
1000,0.2,1.25,0.25,0.005,10,0.33
1500,0.2,1.25,0.25,0.005,10,0.41
2000,0.2,1.25,0.25,0.005,10,0.62
2500,0.2,1.25,0.25,0.005,10,0.64
3000,0.2,1.25,0.25,0.005,10,0.72
1000,0.25,1.25,0.25,0.005,10,0.32
1500,0.25,1.25,0.25,0.005,10,0.48
2000,0.25,1.25,0.25,0.005,10,0.63
2500,0.25,1.25,0.25,0.005,10,0.68
3000,0.25,1.25,0.25,0.005,10,0.71
1000,0.3,1.25,0.25,0.005,10,0.33
1500,0.3,1.25,0.25,0.005,10,0.55
2000,0.3,1.25,0.25,0.005,10,0.63
2500,0.3,1.25,0.25,0.005,10,0.67
3000,0.3,1.25,0.25,0.005,10,0.79
1000,0.05,1.5,0.25,0.005,10,0.41
1500,0.05,1.5,0.25,0.005,10,0.58
2000,0.05,1.5,0.25,0.005,10,0.69
2500,0.05,1.5,0.25,0.005,10,0.76
3000,0.05,1.5,0.25,0.005,10,0.77
1000,0.1,1.5,0.25,0.005,10,0.55
1500,0.1,1.5,0.25,0.005,10,0.73
2000,0.1,1.5,0.25,0.005,10,0.81
2500,0.1,1.5,0.25,0.005,10,0.77
3000,0.1,1.5,0.25,0.005,10,0.87
1000,0.15,1.5,0.25,0.005,10,0.61
1500,0.15,1.5,0.25,0.005,10,0.74
2000,0.15,1.5,0.25,0.005,10,0.82
2500,0.15,1.5,0.25,0.005,10,0.87
3000,0.15,1.5,0.25,0.005,10,0.84
1000,0.2,1.5,0.25,0.005,10,0.7
1500,0.2,1.5,0.25,0.005,10,0.74
2000,0.2,1.5,0.25,0.005,10,0.82
2500,0.2,1.5,0.25,0.005,10,0.87
3000,0.2,1.5,0.25,0.005,10,0.9
1000,0.25,1.5,0.25,0.005,10,0.68
1500,0.25,1.5,0.25,0.005,10,0.79
2000,0.25,1.5,0.25,0.005,10,0.83
2500,0.25,1.5,0.25,0.005,10,0.9
3000,0.25,1.5,0.25,0.005,10,0.93
1000,0.3,1.5,0.25,0.005,10,0.68
1500,0.3,1.5,0.25,0.005,10,0.84
2000,0.3,1.5,0.25,0.005,10,0.85
2500,0.3,1.5,0.25,0.005,10,0.9
3000,0.3,1.5,0.25,0.005,10,0.96
1000,0.05,1.75,0.25,0.005,10,0.7
1500,0.05,1.75,0.25,0.005,10,0.8
2000,0.05,1.75,0.25,0.005,10,0.82
2500,0.05,1.75,0.25,0.005,10,0.87
3000,0.05,1.75,0.25,0.005,10,0.83
1000,0.1,1.75,0.25,0.005,10,0.7
1500,0.1,1.75,0.25,0.005,10,0.75
2000,0.1,1.75,0.25,0.005,10,0.88
2500,0.1,1.75,0.25,0.005,10,0.88
3000,0.1,1.75,0.25,0.005,10,0.89
1000,0.15,1.75,0.25,0.005,10,0.76
1500,0.15,1.75,0.25,0.005,10,0.87
2000,0.15,1.75,0.25,0.005,10,0.9
2500,0.15,1.75,0.25,0.005,10,0.92
3000,0.15,1.75,0.25,0.005,10,0.93
1000,0.2,1.75,0.25,0.005,10,0.82
1500,0.2,1.75,0.25,0.005,10,0.86
2000,0.2,1.75,0.25,0.005,10,0.92
2500,0.2,1.75,0.25,0.005,10,0.91
3000,0.2,1.75,0.25,0.005,10,0.96
1000,0.25,1.75,0.25,0.005,10,0.8
1500,0.25,1.75,0.25,0.005,10,0.91
2000,0.25,1.75,0.25,0.005,10,0.93
2500,0.25,1.75,0.25,0.005,10,0.94
3000,0.25,1.75,0.25,0.005,10,0.97
1000,0.3,1.75,0.25,0.005,10,0.8
1500,0.3,1.75,0.25,0.005,10,0.9
2000,0.3,1.75,0.25,0.005,10,0.95
2500,0.3,1.75,0.25,0.005,10,0.94
3000,0.3,1.75,0.25,0.005,10,0.97
1000,0.05,2,0.25,0.005,10,0.76
1500,0.05,2,0.25,0.005,10,0.84
2000,0.05,2,0.25,0.005,10,0.88
2500,0.05,2,0.25,0.005,10,0.9
3000,0.05,2,0.25,0.005,10,0.95
1000,0.1,2,0.25,0.005,10,0.83
1500,0.1,2,0.25,0.005,10,0.87
2000,0.1,2,0.25,0.005,10,0.92
2500,0.1,2,0.25,0.005,10,0.93
3000,0.1,2,0.25,0.005,10,0.96
1000,0.15,2,0.25,0.005,10,0.82
1500,0.15,2,0.25,0.005,10,0.88
2000,0.15,2,0.25,0.005,10,0.98
2500,0.15,2,0.25,0.005,10,0.97
3000,0.15,2,0.25,0.005,10,0.97
1000,0.2,2,0.25,0.005,10,0.83
1500,0.2,2,0.25,0.005,10,0.94
2000,0.2,2,0.25,0.005,10,0.97
2500,0.2,2,0.25,0.005,10,0.98
3000,0.2,2,0.25,0.005,10,0.99
1000,0.25,2,0.25,0.005,10,0.83
1500,0.25,2,0.25,0.005,10,0.93
2000,0.25,2,0.25,0.005,10,0.97
2500,0.25,2,0.25,0.005,10,0.98
3000,0.25,2,0.25,0.005,10,1
1000,0.3,2,0.25,0.005,10,0.88
1500,0.3,2,0.25,0.005,10,0.95
2000,0.3,2,0.25,0.005,10,0.93
2500,0.3,2,0.25,0.005,10,0.98
3000,0.3,2,0.25,0.005,10,1
