n,p,or,r,alpha,n.sim,prop.drivers
600,0.1,1.25,0.25,0.005,1000,0.0737
1200,0.1,1.25,0.25,0.005,1000,0.1858
1800,0.1,1.25,0.25,0.005,1000,0.3115
2400,0.1,1.25,0.25,0.005,1000,0.4218
3600,0.1,1.25,0.25,0.005,1000,0.5896
4800,0.1,1.25,0.25,0.005,1000,0.7043
6000,0.1,1.25,0.25,0.005,1000,0.7486
7200,0.1,1.25,0.25,0.005,1000,0.7847
8400,0.1,1.25,0.25,0.005,1000,0.8057
9600,0.1,1.25,0.25,0.005,1000,0.8219
600,0.2,1.25,0.25,0.005,1000,0.1369
1200,0.2,1.25,0.25,0.005,1000,0.3373
1800,0.2,1.25,0.25,0.005,1000,0.5079
2400,0.2,1.25,0.25,0.005,1000,0.6297
3600,0.2,1.25,0.25,0.005,1000,0.7504
4800,0.2,1.25,0.25,0.005,1000,0.7971
6000,0.2,1.25,0.25,0.005,1000,0.8342
7200,0.2,1.25,0.25,0.005,1000,0.8577
8400,0.2,1.25,0.25,0.005,1000,0.879
9600,0.2,1.25,0.25,0.005,1000,0.9046
600,0.3,1.25,0.25,0.005,1000,0.1761
1200,0.3,1.25,0.25,0.005,1000,0.4192
1800,0.3,1.25,0.25,0.005,1000,0.5976
2400,0.3,1.25,0.25,0.005,1000,0.7037
3600,0.3,1.25,0.25,0.005,1000,0.7908
4800,0.3,1.25,0.25,0.005,1000,0.8295
6000,0.3,1.25,0.25,0.005,1000,0.8654
7200,0.3,1.25,0.25,0.005,1000,0.9002
8400,0.3,1.25,0.25,0.005,1000,0.921
9600,0.3,1.25,0.25,0.005,1000,0.9392
600,0.1,1.5,0.25,0.005,1000,0.3464
1200,0.1,1.5,0.25,0.005,1000,0.6413
1800,0.1,1.5,0.25,0.005,1000,0.7535
2400,0.1,1.5,0.25,0.005,1000,0.8014
3600,0.1,1.5,0.25,0.005,1000,0.8556
4800,0.1,1.5,0.25,0.005,1000,0.8969
6000,0.1,1.5,0.25,0.005,1000,0.9357
7200,0.1,1.5,0.25,0.005,1000,0.9543
8400,0.1,1.5,0.25,0.005,1000,0.9683
9600,0.1,1.5,0.25,0.005,1000,0.9813
600,0.2,1.5,0.25,0.005,1000,0.4874
1200,0.2,1.5,0.25,0.005,1000,0.7391
1800,0.2,1.5,0.25,0.005,1000,0.8126
2400,0.2,1.5,0.25,0.005,1000,0.8551
3600,0.2,1.5,0.25,0.005,1000,0.9171
4800,0.2,1.5,0.25,0.005,1000,0.9543
6000,0.2,1.5,0.25,0.005,1000,0.9761
7200,0.2,1.5,0.25,0.005,1000,0.9892
8400,0.2,1.5,0.25,0.005,1000,0.994
9600,0.2,1.5,0.25,0.005,1000,0.9975
600,0.3,1.5,0.25,0.005,1000,0.5603
1200,0.3,1.5,0.25,0.005,1000,0.7724
1800,0.3,1.5,0.25,0.005,1000,0.8353
2400,0.3,1.5,0.25,0.005,1000,0.8834
3600,0.3,1.5,0.25,0.005,1000,0.9437
4800,0.3,1.5,0.25,0.005,1000,0.9776
6000,0.3,1.5,0.25,0.005,1000,0.9889
7200,0.3,1.5,0.25,0.005,1000,0.9963
8400,0.3,1.5,0.25,0.005,1000,0.9987
9600,0.3,1.5,0.25,0.005,1000,0.9992
600,0.1,1.75,0.25,0.005,1000,0.6067
1200,0.1,1.75,0.25,0.005,1000,0.7869
1800,0.1,1.75,0.25,0.005,1000,0.8496
2400,0.1,1.75,0.25,0.005,1000,0.8871
3600,0.1,1.75,0.25,0.005,1000,0.9439
4800,0.1,1.75,0.25,0.005,1000,0.9757
6000,0.1,1.75,0.25,0.005,1000,0.9889
7200,0.1,1.75,0.25,0.005,1000,0.9963
