n,p,or,r,alpha,n.sim,prop.drivers
2500,0.3,1.5,0.25,0.005,1000,0.8478
3000,0.3,1.5,0.25,0.005,1000,0.8877
500,0.05,1.75,0.25,0.005,1000,0.2963
1000,0.05,1.75,0.25,0.005,1000,0.5642
1500,0.05,1.75,0.25,0.005,1000,0.68
2000,0.05,1.75,0.25,0.005,1000,0.7224
2500,0.05,1.75,0.25,0.005,1000,0.7571
3000,0.05,1.75,0.25,0.005,1000,0.7897
500,0.1,1.75,0.25,0.005,1000,0.4387
1000,0.1,1.75,0.25,0.005,1000,0.6679
1500,0.1,1.75,0.25,0.005,1000,0.7405
2000,0.1,1.75,0.25,0.005,1000,0.7896
2500,0.1,1.75,0.25,0.005,1000,0.8332
3000,0.1,1.75,0.25,0.005,1000,0.8693
500,0.15,1.75,0.25,0.005,1000,0.512
1000,0.15,1.75,0.25,0.005,1000,0.7079
1500,0.15,1.75,0.25,0.005,1000,0.7772
2000,0.15,1.75,0.25,0.005,1000,0.832
2500,0.15,1.75,0.25,0.005,1000,0.8882
3000,0.15,1.75,0.25,0.005,1000,0.9178
500,0.2,1.75,0.25,0.005,1000,0.5586
1000,0.2,1.75,0.25,0.005,1000,0.7319
1500,0.2,1.75,0.25,0.005,1000,0.7992
2000,0.2,1.75,0.25,0.005,1000,0.8659
2500,0.2,1.75,0.25,0.005,1000,0.9102
3000,0.2,1.75,0.25,0.005,1000,0.9442
500,0.25,1.75,0.25,0.005,1000,0.5897
1000,0.25,1.75,0.25,0.005,1000,0.7459
1500,0.25,1.75,0.25,0.005,1000,0.8216
2000,0.25,1.75,0.25,0.005,1000,0.8859
2500,0.25,1.75,0.25,0.005,1000,0.9331
3000,0.25,1.75,0.25,0.005,1000,0.9592
500,0.3,1.75,0.25,0.005,1000,0.5949
1000,0.3,1.75,0.25,0.005,1000,0.7631
1500,0.3,1.75,0.25,0.005,1000,0.8354
2000,0.3,1.75,0.25,0.005,1000,0.9027
2500,0.3,1.75,0.25,0.005,1000,0.9396
3000,0.3,1.75,0.25,0.005,1000,0.9704
500,0.05,2,0.25,0.005,1000,0.4619
1000,0.05,2,0.25,0.005,1000,0.6797
1500,0.05,2,0.25,0.005,1000,0.7482
2000,0.05,2,0.25,0.005,1000,0.7974
2500,0.05,2,0.25,0.005,1000,0.8497
3000,0.05,2,0.25,0.005,1000,0.8808
500,0.1,2,0.25,0.005,1000,0.581
1000,0.1,2,0.25,0.005,1000,0.7347
1500,0.1,2,0.25,0.005,1000,0.8098
2000,0.1,2,0.25,0.005,1000,0.8679
2500,0.1,2,0.25,0.005,1000,0.9204
3000,0.1,2,0.25,0.005,1000,0.9451
500,0.15,2,0.25,0.005,1000,0.6256
1000,0.15,2,0.25,0.005,1000,0.767
1500,0.15,2,0.25,0.005,1000,0.852
2000,0.15,2,0.25,0.005,1000,0.911
2500,0.15,2,0.25,0.005,1000,0.9447
3000,0.15,2,0.25,0.005,1000,0.9702
500,0.2,2,0.25,0.005,1000,0.6577
1000,0.2,2,0.25,0.005,1000,0.7888
1500,0.2,2,0.25,0.005,1000,0.8768
2000,0.2,2,0.25,0.005,1000,0.93
2500,0.2,2,0.25,0.005,1000,0.9621
3000,0.2,2,0.25,0.005,1000,0.9828
500,0.25,2,0.25,0.005,1000,0.668
1000,0.25,2,0.25,0.005,1000,0.8042
1500,0.25,2,0.25,0.005,1000,0.9002
2000,0.25,2,0.25,0.005,1000,0.9445
2500,0.25,2,0.25,0.005,1000,0.9708
3000,0.25,2,0.25,0.005,1000,0.9848
500,0.3,2,0.25,0.005,1000,0.6839
1000,0.3,2,0.25,0.005,1000,0.8246
1500,0.3,2,0.25,0.005,1000,0.9044
2000,0.3,2,0.25,0.005,1000,0.9601
2500,0.3,2,0.25,0.005,1000,0.9803
3000,0.3,2,0.25,0.005,1000,0.9918
