n,n.communities,p,community.var,or,r,alpha,n.sim,n.per.community,prop.drivers,or.margin.of.error
600,22,0.1,2.73,1.25,0.25,0.0125,500,27,0.05125,1.28989
1200,22,0.1,2.73,1.25,0.25,0.0125,500,55,0.0625,1.19755
1800,22,0.1,2.73,1.25,0.25,0.0125,500,82,0.06125,1.17353
2400,22,0.1,2.73,1.25,0.25,0.0125,500,109,0.0595,1.17472
3600,22,0.1,2.73,1.25,0.25,0.0125,500,164,0.07175,1.11887
4800,22,0.1,2.73,1.25,0.25,0.0125,500,218,0.05925,1.13958
6000,22,0.1,2.73,1.25,0.25,0.0125,500,273,0.0675,1.11051
7200,22,0.1,2.73,1.25,0.25,0.0125,500,327,0.059,1.10889
8400,22,0.1,2.73,1.25,0.25,0.0125,500,382,0.06375,1.11154
9600,22,0.1,2.73,1.25,0.25,0.0125,500,436,0.0655,1.10857
600,24,0.1,2.73,1.25,0.25,0.0125,500,25,0.05425,1.21171
1200,24,0.1,2.73,1.25,0.25,0.0125,500,50,0.05775,1.13353
1800,24,0.1,2.73,1.25,0.25,0.0125,500,75,0.0625,1.10218
2400,24,0.1,2.73,1.25,0.25,0.0125,500,100,0.0605,1.08098
3600,24,0.1,2.73,1.25,0.25,0.0125,500,150,0.061,1.04616
4800,24,0.1,2.73,1.25,0.25,0.0125,500,200,0.0675,1.05999
6000,24,0.1,2.73,1.25,0.25,0.0125,500,250,0.0655,1.05607
7200,24,0.1,2.73,1.25,0.25,0.0125,500,300,0.06025,1.03631
8400,24,0.1,2.73,1.25,0.25,0.0125,500,350,0.0575,1.03943
9600,24,0.1,2.73,1.25,0.25,0.0125,500,400,0.06475,1.0325
600,26,0.1,2.73,1.25,0.25,0.0125,500,23,0.06175,1.14547
1200,26,0.1,2.73,1.25,0.25,0.0125,500,46,0.05625,1.08929
1800,26,0.1,2.73,1.25,0.25,0.0125,500,69,0.05125,1.04429
2400,26,0.1,2.73,1.25,0.25,0.0125,500,92,0.05975,1.0426
3600,26,0.1,2.73,1.25,0.25,0.0125,500,138,0.0615,1.00124
4800,26,0.1,2.73,1.25,0.25,0.0125,500,185,0.07175,0.98956
6000,26,0.1,2.73,1.25,0.25,0.0125,500,231,0.0625,0.985
7200,26,0.1,2.73,1.25,0.25,0.0125,500,277,0.06,0.99544
