n,n.communities,p,community.var,or,r,alpha,n.sim,n.per.community,prop.drivers,or.margin.of.error
2400,25,0.1,2.73,1.25,0.25,0.0125,25,96,0.095,1.0943
2400,50,0.1,2.73,1.25,0.25,0.0125,25,48,0.025,0.69603
2400,100,0.1,2.73,1.25,0.25,0.0125,25,24,0.06,0.47793
2400,25,0.5,2.73,1.25,0.25,0.0125,25,96,0.04,0.99517
2400,50,0.5,2.73,1.25,0.25,0.0125,25,48,0.05,0.67632
2400,100,0.5,2.73,1.25,0.25,0.0125,25,24,0.12,0.44402
2400,25,0.1,2.73,1.5,0.25,0.0125,25,96,0.115,1.04704
2400,50,0.1,2.73,1.5,0.25,0.0125,25,48,0.19,0.71472
2400,100,0.1,2.73,1.5,0.25,0.0125,25,24,0.31,0.482
2400,25,0.5,2.73,1.5,0.25,0.0125,25,96,0.135,0.98587
2400,50,0.5,2.73,1.5,0.25,0.0125,25,48,0.21,0.66268
2400,100,0.5,2.73,1.5,0.25,0.0125,25,24,0.355,0.44791
2400,25,0.1,2.73,1.75,0.25,0.0125,25,96,0.185,1.16913
2400,50,0.1,2.73,1.75,0.25,0.0125,25,48,0.36,0.71231
2400,100,0.1,2.73,1.75,0.25,0.0125,25,24,0.585,0.51871
2400,25,0.5,2.73,1.75,0.25,0.0125,25,96,0.215,1.07429
2400,50,0.5,2.73,1.75,0.25,0.0125,25,48,0.35,0.69276
2400,100,0.5,2.73,1.75,0.25,0.0125,25,24,0.655,0.45982
2400,25,0.1,2.73,2,0.25,0.0125,25,96,0.26,1.25456
2400,50,0.1,2.73,2,0.25,0.0125,25,48,0.585,0.71025
2400,100,0.1,2.73,2,0.25,0.0125,25,24,0.84,0.51182
2400,25,0.5,2.73,2,0.25,0.0125,25,96,0.35,1.00789
2400,50,0.5,2.73,2,0.25,0.0125,25,48,0.6,0.67696
2400,100,0.5,2.73,2,0.25,0.0125,25,24,0.82,0.47182
